Timestamp,Data,Atraso(ms)
1750101288,2025-06-16 16:14:48,34.3
1750101349,2025-06-16 16:15:49,32.82
1750101407,2025-06-16 16:16:47,32.81
1750101472,2025-06-16 16:17:52,32.78
1750101530,2025-06-16 16:18:50,32.66
1750101594,2025-06-16 16:19:54,32.96
1750101652,2025-06-16 16:20:52,33.93
1750101710,2025-06-16 16:21:50,36.7
1750101768,2025-06-16 16:22:48,36.15
1750101830,2025-06-16 16:23:50,36.44
1750101891,2025-06-16 16:24:51,36.1
1750101950,2025-06-16 16:25:50,36.14
1750102010,2025-06-16 16:26:50,35.75
1750102069,2025-06-16 16:27:49,36.28
1750102127,2025-06-16 16:28:47,36.2
1750102186,2025-06-16 16:29:46,36.06
1750102244,2025-06-16 16:30:44,39.87
1750102305,2025-06-16 16:31:45,38.38
1750102366,2025-06-16 16:32:46,36.72
1750102425,2025-06-16 16:33:45,36.35
1750102481,2025-06-16 16:34:41,36.91
1750102541,2025-06-16 16:35:41,34.85
1750102598,2025-06-16 16:36:38,33.23
1750102657,2025-06-16 16:37:37,32.82
1750102720,2025-06-16 16:38:40,33.4
1750102779,2025-06-16 16:39:39,33.16
1750102842,2025-06-16 16:40:42,33.11
1750102896,2025-06-16 16:41:36,33.73
1750102951,2025-06-16 16:42:31,32.92
1750103006,2025-06-16 16:43:26,32.88
1750103069,2025-06-16 16:44:29,33.08
1750103129,2025-06-16 16:45:29,31.28
1750103186,2025-06-16 16:46:26,30.58
1750103244,2025-06-16 16:47:24,30.32
1750103311,2025-06-16 16:48:31,31.06
1750103371,2025-06-16 16:49:31,30.72
1750103434,2025-06-16 16:50:34,30.59
1750103493,2025-06-16 16:51:33,33.86
1750103553,2025-06-16 16:52:33,34.05
1750103613,2025-06-16 16:53:33,34.75
1750103671,2025-06-16 16:54:31,34.23
1750103732,2025-06-16 16:55:32,34.24
1750103791,2025-06-16 16:56:31,34.69
1750103850,2025-06-16 16:57:30,34.05
1750103910,2025-06-16 16:58:30,33.96
1750103967,2025-06-16 16:59:27,34.46
1750104025,2025-06-16 17:00:25,34.44
1750104086,2025-06-16 17:01:26,33.82
1750104148,2025-06-16 17:02:28,33.82
1750104207,2025-06-16 17:03:27,33.89
1750104268,2025-06-16 17:04:28,38.33
1750104329,2025-06-16 17:05:29,33.85
1750104387,2025-06-16 17:06:27,34.67
1750104449,2025-06-16 17:07:29,34.51
1750104506,2025-06-16 17:08:26,34.16
1750104564,2025-06-16 17:09:24,34.92
1750104621,2025-06-16 17:10:21,33.97
1750104680,2025-06-16 17:11:20,34.44
1750104732,2025-06-16 17:12:12,34.44
1750104796,2025-06-16 17:13:16,34.06
1750104857,2025-06-16 17:14:17,34.2
1750104913,2025-06-16 17:15:13,34.18
1750104969,2025-06-16 17:16:09,34.68
1750105026,2025-06-16 17:17:06,33.77
1750105090,2025-06-16 17:18:10,34.14
1750105148,2025-06-16 17:19:08,35.22
1750105209,2025-06-16 17:20:09,34.25
1750105270,2025-06-16 17:21:10,34.47
1750105330,2025-06-16 17:22:10,34.37
1750105385,2025-06-16 17:23:05,34.58
1750105448,2025-06-16 17:24:08,36.11
1750105508,2025-06-16 17:25:08,34.75
1750105567,2025-06-16 17:26:07,34.56
1750105623,2025-06-16 17:27:03,34.24
1750105686,2025-06-16 17:28:06,35.07
1750105746,2025-06-16 17:29:06,34.89
1750105804,2025-06-16 17:30:04,34.42
1750105863,2025-06-16 17:31:03,35.63
1750105917,2025-06-16 17:31:57,34.75
1750105974,2025-06-16 17:32:54,34.69
1750106033,2025-06-16 17:33:53,35.22
1750106090,2025-06-16 17:34:50,34.89
1750106148,2025-06-16 17:35:48,32.65
1750106209,2025-06-16 17:36:49,30.31
1750106266,2025-06-16 17:37:46,29.62
1750106325,2025-06-16 17:38:45,29.81
1750106389,2025-06-16 17:39:49,29.52
1750106450,2025-06-16 17:40:50,29.17
1750106510,2025-06-16 17:41:50,29.51
1750106571,2025-06-16 17:42:51,29.37
1750106634,2025-06-16 17:43:54,29.82
1750106696,2025-06-16 17:44:56,29.44
1750106762,2025-06-16 17:46:02,29.22
1750106820,2025-06-16 17:47:00,28.86
1750106876,2025-06-16 17:47:56,34.12
1750106933,2025-06-16 17:48:53,33.17
1750106994,2025-06-16 17:49:54,32.69
1750107054,2025-06-16 17:50:54,32.74
1750107110,2025-06-16 17:51:50,32.76
1750107166,2025-06-16 17:52:46,33.03
1750107227,2025-06-16 17:53:47,32.84
1750107287,2025-06-16 17:54:47,32.99
1750107343,2025-06-16 17:55:43,33.12
1750107407,2025-06-16 17:56:47,33.22
1750107469,2025-06-16 17:57:49,32.5
1750107528,2025-06-16 17:58:48,32.82
1750107590,2025-06-16 17:59:50,32.85
1750107654,2025-06-16 18:00:54,32.39
1750107717,2025-06-16 18:01:57,32.59
1750107777,2025-06-16 18:02:57,32.89
1750107836,2025-06-16 18:03:56,32.6
1750107898,2025-06-16 18:04:58,32.65
1750107958,2025-06-16 18:05:58,33.0
1750108015,2025-06-16 18:06:55,32.27
1750108074,2025-06-16 18:07:54,32.6
1750108135,2025-06-16 18:08:55,32.8
1750108191,2025-06-16 18:09:51,32.25
1750108254,2025-06-16 18:10:54,32.77
1750108318,2025-06-16 18:11:58,31.7
1750108379,2025-06-16 18:12:59,32.14
1750108440,2025-06-16 18:14:00,33.28
1750108495,2025-06-16 18:14:55,33.29
1750108558,2025-06-16 18:15:58,33.44
1750108615,2025-06-16 18:16:55,33.44
1750108681,2025-06-16 18:18:01,32.86
1750108739,2025-06-16 18:18:59,33.3
1750108797,2025-06-16 18:19:57,33.21
1750108856,2025-06-16 18:20:56,33.18
1750108918,2025-06-16 18:21:58,32.93
1750108980,2025-06-16 18:23:00,33.51
1750109036,2025-06-16 18:23:56,33.36
1750109093,2025-06-16 18:24:53,32.92
1750109153,2025-06-16 18:25:53,38.39
1750109217,2025-06-16 18:26:57,32.5
1750109277,2025-06-16 18:27:57,32.92
1750109340,2025-06-16 18:29:00,33.4
1750109401,2025-06-16 18:30:01,33.44
1750109458,2025-06-16 18:30:58,33.75
1750109518,2025-06-16 18:31:58,33.77
1750109576,2025-06-16 18:32:56,33.85
1750109639,2025-06-16 18:33:59,33.91
1750109701,2025-06-16 18:35:01,34.04
1750109757,2025-06-16 18:35:57,31.39
1750109818,2025-06-16 18:36:58,30.32
1750109878,2025-06-16 18:37:58,30.04
1750109939,2025-06-16 18:38:59,31.84
1750109994,2025-06-16 18:39:54,29.96
1750110061,2025-06-16 18:41:01,30.35
1750110122,2025-06-16 18:42:02,30.4
1750110182,2025-06-16 18:43:02,29.96
1750110238,2025-06-16 18:43:58,30.31
1750110296,2025-06-16 18:44:56,29.84
1750110364,2025-06-16 18:46:04,30.39
1750110425,2025-06-16 18:47:05,29.22
1750110486,2025-06-16 18:48:06,28.84
1750110541,2025-06-16 18:49:01,28.71
1750110603,2025-06-16 18:50:03,29.45
1750110667,2025-06-16 18:51:07,30.27
1750110723,2025-06-16 18:52:03,32.16
1750110785,2025-06-16 18:53:05,32.14
1750110844,2025-06-16 18:54:04,32.27
1750110904,2025-06-16 18:55:04,32.26
1750110961,2025-06-16 18:56:01,32.38
