Timestamp,Data,Atraso(ms)
1750952863,2025-06-26 12:47:43,7.05
1750952924,2025-06-26 12:48:44,7.22
1750952987,2025-06-26 12:49:47,7.31
1750953047,2025-06-26 12:50:47,6.63
1750953106,2025-06-26 12:51:46,7.07
1750953167,2025-06-26 12:52:47,6.72
1750953223,2025-06-26 12:53:43,6.85
1750953285,2025-06-26 12:54:45,7.09
1750953343,2025-06-26 12:55:43,7.17
1750953405,2025-06-26 12:56:45,6.66
1750953462,2025-06-26 12:57:42,6.85
1750953521,2025-06-26 12:58:41,6.82
1750953579,2025-06-26 12:59:39,7.32
1750953644,2025-06-26 13:00:44,6.88
1750953706,2025-06-26 13:01:46,6.69
1750953767,2025-06-26 13:02:47,7.2
1750953824,2025-06-26 13:03:44,7.1
1750953883,2025-06-26 13:04:43,7.03
1750953944,2025-06-26 13:05:44,7.35
1750954001,2025-06-26 13:06:41,7.68
1750954060,2025-06-26 13:07:40,6.68
1750954121,2025-06-26 13:08:41,6.76
1750954183,2025-06-26 13:09:43,7.56
1750954241,2025-06-26 13:10:41,6.84
1750954305,2025-06-26 13:11:45,7.32
1750954362,2025-06-26 13:12:42,7.22
1750954424,2025-06-26 13:13:44,7.49
1750954486,2025-06-26 13:14:46,6.99
1750954544,2025-06-26 13:15:44,7.17
1750954602,2025-06-26 13:16:42,6.42
1750954664,2025-06-26 13:17:44,6.88
1750954722,2025-06-26 13:18:42,6.55
1750954781,2025-06-26 13:19:41,7.24
1750954844,2025-06-26 13:20:44,6.79
1750954901,2025-06-26 13:21:41,6.48
1750954961,2025-06-26 13:22:41,6.91
1750955020,2025-06-26 13:23:40,6.52
1750955076,2025-06-26 13:24:36,6.44
1750955134,2025-06-26 13:25:34,6.73
1750955197,2025-06-26 13:26:37,8.1
1750955256,2025-06-26 13:27:36,6.59
1750955316,2025-06-26 13:28:36,6.62
1750955378,2025-06-26 13:29:38,7.94
1750955437,2025-06-26 13:30:37,7.02
1750955495,2025-06-26 13:31:35,6.49
1750955555,2025-06-26 13:32:35,7.04
1750955613,2025-06-26 13:33:33,7.49
1750955674,2025-06-26 13:34:34,6.88
1750955736,2025-06-26 13:35:36,6.94
1750955795,2025-06-26 13:36:35,6.78
1750955854,2025-06-26 13:37:34,6.96
1750955913,2025-06-26 13:38:33,6.74
1750955973,2025-06-26 13:39:33,6.76
1750956034,2025-06-26 13:40:34,6.49
1750956095,2025-06-26 13:41:35,6.99
1750956152,2025-06-26 13:42:32,6.91
1750956208,2025-06-26 13:43:28,6.55
1750956270,2025-06-26 13:44:30,6.79
1750956331,2025-06-26 13:45:31,6.58
1750956395,2025-06-26 13:46:35,6.83
1750956453,2025-06-26 13:47:33,6.89
1750956512,2025-06-26 13:48:32,7.0
1750956574,2025-06-26 13:49:34,6.82
1750956634,2025-06-26 13:50:34,6.73
1750956692,2025-06-26 13:51:32,6.71
1750956754,2025-06-26 13:52:34,6.01
1750956815,2025-06-26 13:53:35,7.0
1750956874,2025-06-26 13:54:34,6.51
1750956932,2025-06-26 13:55:32,6.53
1750956992,2025-06-26 13:56:32,6.66
1750957052,2025-06-26 13:57:32,6.34
1750957111,2025-06-26 13:58:31,6.92
1750957173,2025-06-26 13:59:33,6.99
1750957235,2025-06-26 14:00:35,6.92
1750957297,2025-06-26 14:01:37,6.97
1750957359,2025-06-26 14:02:39,6.53
1750957418,2025-06-26 14:03:38,7.2
1750957477,2025-06-26 14:04:37,6.86
1750957538,2025-06-26 14:05:38,7.44
1750957595,2025-06-26 14:06:35,7.18
