Timestamp,Data,Atraso(ms)
1749891825,2025-06-14 06:03:45,11.11
1749891882,2025-06-14 06:04:42,11.43
1749891944,2025-06-14 06:05:44,11.49
1749892003,2025-06-14 06:06:43,11.29
1749892062,2025-06-14 06:07:42,11.87
1749892123,2025-06-14 06:08:43,11.31
1749892181,2025-06-14 06:09:41,11.43
1749892237,2025-06-14 06:10:37,11.57
1749892298,2025-06-14 06:11:38,11.39
1749892358,2025-06-14 06:12:38,11.22
1749892422,2025-06-14 06:13:42,11.81
1749892481,2025-06-14 06:14:41,11.53
1749892543,2025-06-14 06:15:43,11.46
1749892599,2025-06-14 06:16:39,11.23
1749892658,2025-06-14 06:17:38,11.29
1749892715,2025-06-14 06:18:35,11.74
1749892774,2025-06-14 06:19:34,11.32
1749892832,2025-06-14 06:20:32,11.21
1749892890,2025-06-14 06:21:30,11.31
1749892955,2025-06-14 06:22:35,11.44
1749893016,2025-06-14 06:23:36,11.2
1749893076,2025-06-14 06:24:36,11.21
1749893136,2025-06-14 06:25:36,11.06
1749893198,2025-06-14 06:26:38,10.89
1749893263,2025-06-14 06:27:43,11.16
1749893326,2025-06-14 06:28:46,10.93
1749893388,2025-06-14 06:29:48,11.08
1749893447,2025-06-14 06:30:47,10.9
1749893508,2025-06-14 06:31:48,10.72
1749893569,2025-06-14 06:32:49,10.92
1749893628,2025-06-14 06:33:48,10.84
1749893691,2025-06-14 06:34:51,11.21
1749893750,2025-06-14 06:35:50,11.09
1749893811,2025-06-14 06:36:51,11.21
1749893868,2025-06-14 06:37:48,11.12
1749893928,2025-06-14 06:38:48,11.22
1749893990,2025-06-14 06:39:50,11.09
1749894051,2025-06-14 06:40:51,11.02
1749894113,2025-06-14 06:41:53,11.01
1749894172,2025-06-14 06:42:52,11.11
1749894236,2025-06-14 06:43:56,10.97
1749894294,2025-06-14 06:44:54,11.6
1749894355,2025-06-14 06:45:55,11.42
1749894415,2025-06-14 06:46:55,11.27
1749894477,2025-06-14 06:47:57,11.48
1749894540,2025-06-14 06:49:00,11.2
1749894603,2025-06-14 06:50:03,11.06
1749894665,2025-06-14 06:51:05,11.1
1749894722,2025-06-14 06:52:02,11.27
1749894779,2025-06-14 06:52:59,11.61
1749894840,2025-06-14 06:54:00,11.37
1749894899,2025-06-14 06:54:59,10.89
1749894957,2025-06-14 06:55:57,11.32
1749895016,2025-06-14 06:56:56,11.19
1749895079,2025-06-14 06:57:59,11.53
1749895136,2025-06-14 06:58:56,11.38
1749895194,2025-06-14 06:59:54,11.4
1749895253,2025-06-14 07:00:53,11.62
1749895315,2025-06-14 07:01:55,11.46
1749895371,2025-06-14 07:02:51,11.29
1749895433,2025-06-14 07:03:53,11.77
1749895491,2025-06-14 07:04:51,11.63
1749895555,2025-06-14 07:05:55,11.86
1749895608,2025-06-14 07:06:48,11.43
1749895669,2025-06-14 07:07:49,11.61
1749895727,2025-06-14 07:08:47,11.15
1749895789,2025-06-14 07:09:49,17.65
