Timestamp,Data,Atraso(ms)
1749268571,2025-06-07 00:56:11,16.62
1749268629,2025-06-07 00:57:09,16.99
1749268689,2025-06-07 00:58:09,16.65
1749268753,2025-06-07 00:59:13,17.22
1749268811,2025-06-07 01:00:11,17.17
1749268870,2025-06-07 01:01:10,16.96
1749268929,2025-06-07 01:02:09,16.7
1749268988,2025-06-07 01:03:08,16.48
1749269048,2025-06-07 01:04:08,16.93
1749269108,2025-06-07 01:05:08,17.23
1749269166,2025-06-07 01:06:06,16.84
1749269226,2025-06-07 01:07:06,16.52
1749269288,2025-06-07 01:08:08,16.76
1749269349,2025-06-07 01:09:09,16.67
1749269408,2025-06-07 01:10:08,16.61
1749269465,2025-06-07 01:11:05,16.89
1749269527,2025-06-07 01:12:07,16.76
1749269583,2025-06-07 01:13:03,16.84
1749269645,2025-06-07 01:14:05,16.22
1749269706,2025-06-07 01:15:06,17.63
1749269765,2025-06-07 01:16:05,16.28
1749269825,2025-06-07 01:17:05,16.1
1749269881,2025-06-07 01:18:01,16.14
1749269941,2025-06-07 01:19:01,15.95
1749270001,2025-06-07 01:20:01,16.44
1749270061,2025-06-07 01:21:01,15.89
1749270120,2025-06-07 01:22:00,15.8
1749270184,2025-06-07 01:23:04,16.1
1749270242,2025-06-07 01:24:02,16.02
1749270303,2025-06-07 01:25:03,16.55
1749270364,2025-06-07 01:26:04,15.77
1749270427,2025-06-07 01:27:07,15.96
1749270484,2025-06-07 01:28:04,16.22
1749270546,2025-06-07 01:29:06,15.94
1749270604,2025-06-07 01:30:04,15.88
1749270664,2025-06-07 01:31:04,16.15
1749270721,2025-06-07 01:32:01,15.79
1749270781,2025-06-07 01:33:01,15.93
1749270839,2025-06-07 01:33:59,15.66
1749270901,2025-06-07 01:35:01,16.38
1749270961,2025-06-07 01:36:01,15.98
1749271018,2025-06-07 01:36:58,15.79
1749271077,2025-06-07 01:37:57,15.76
1749271140,2025-06-07 01:39:00,15.93
1749271204,2025-06-07 01:40:04,15.85
1749271265,2025-06-07 01:41:05,15.43
1749271326,2025-06-07 01:42:06,15.87
1749271384,2025-06-07 01:43:04,15.63
1749271449,2025-06-07 01:44:09,15.89
1749271509,2025-06-07 01:45:09,16.17
1749271570,2025-06-07 01:46:10,16.07
1749271629,2025-06-07 01:47:09,15.66
1749271693,2025-06-07 01:48:13,15.77
1749271752,2025-06-07 01:49:12,16.47
1749271812,2025-06-07 01:50:12,17.42
1749271873,2025-06-07 01:51:13,17.25
1749271935,2025-06-07 01:52:15,17.69
1749271995,2025-06-07 01:53:15,17.11
1749272051,2025-06-07 01:54:11,17.37
1749272116,2025-06-07 01:55:16,18.5
1749272178,2025-06-07 01:56:18,17.11
1749272238,2025-06-07 01:57:18,17.1
1749272303,2025-06-07 01:58:23,17.23
1749272362,2025-06-07 01:59:22,17.54
1749272423,2025-06-07 02:00:23,17.17
1749272477,2025-06-07 02:01:17,17.46
1749272538,2025-06-07 02:02:18,17.25
1749272595,2025-06-07 02:03:15,17.42
1749272655,2025-06-07 02:04:15,17.24
1749272713,2025-06-07 02:05:13,18.04
1749272772,2025-06-07 02:06:12,17.46
1749272834,2025-06-07 02:07:14,17.65
1749272890,2025-06-07 02:08:10,17.55
1749272952,2025-06-07 02:09:12,17.77
1749273010,2025-06-07 02:10:10,17.75
1749273068,2025-06-07 02:11:08,17.77
1749273131,2025-06-07 02:12:11,17.63
1749273193,2025-06-07 02:13:13,17.89
1749273251,2025-06-07 02:14:11,17.69
1749273314,2025-06-07 02:15:14,17.72
1749273374,2025-06-07 02:16:14,17.74
1749273428,2025-06-07 02:17:08,17.56
1749273490,2025-06-07 02:18:10,18.05
1749273552,2025-06-07 02:19:12,17.52
1749273618,2025-06-07 02:20:18,18.62
1749273677,2025-06-07 02:21:17,17.84
1749273739,2025-06-07 02:22:19,17.57
1749273796,2025-06-07 02:23:16,17.22
1749273858,2025-06-07 02:24:18,17.5
1749273915,2025-06-07 02:25:15,17.24
1749273975,2025-06-07 02:26:15,17.14
1749274038,2025-06-07 02:27:18,17.44
1749274100,2025-06-07 02:28:20,17.53
1749274166,2025-06-07 02:29:26,17.28
1749274222,2025-06-07 02:30:22,18.18
1749274283,2025-06-07 02:31:23,17.72
1749274342,2025-06-07 02:32:22,17.74
1749274403,2025-06-07 02:33:23,17.34
1749274458,2025-06-07 02:34:18,17.25
1749274517,2025-06-07 02:35:17,17.71
1749274579,2025-06-07 02:36:19,17.2
1749274635,2025-06-07 02:37:15,16.92
1749274691,2025-06-07 02:38:11,16.99
1749274751,2025-06-07 02:39:11,17.18
1749274810,2025-06-07 02:40:10,17.04
1749274872,2025-06-07 02:41:12,17.07
1749274933,2025-06-07 02:42:13,17.36
1749274995,2025-06-07 02:43:15,17.46
1749275054,2025-06-07 02:44:14,17.6
1749275112,2025-06-07 02:45:12,18.13
1749275169,2025-06-07 02:46:09,17.1
1749275230,2025-06-07 02:47:10,16.87
1749275293,2025-06-07 02:48:13,16.89
1749275351,2025-06-07 02:49:11,17.41
1749275408,2025-06-07 02:50:08,17.73
1749275467,2025-06-07 02:51:07,17.16
1749275526,2025-06-07 02:52:06,17.3
1749275587,2025-06-07 02:53:07,17.0
1749275645,2025-06-07 02:54:05,17.23
1749275702,2025-06-07 02:55:02,17.39
1749275759,2025-06-07 02:55:59,17.41
1749275821,2025-06-07 02:57:01,16.94
1749275880,2025-06-07 02:58:00,17.24
1749275940,2025-06-07 02:59:00,17.41
1749275997,2025-06-07 02:59:57,17.38
1749276059,2025-06-07 03:00:59,17.3
1749276120,2025-06-07 03:02:00,17.65
1749276183,2025-06-07 03:03:03,17.09
1749276243,2025-06-07 03:04:03,17.2
1749276303,2025-06-07 03:05:03,17.7
1749276367,2025-06-07 03:06:07,17.47
1749276425,2025-06-07 03:07:05,17.11
1749276483,2025-06-07 03:08:03,17.41
1749276542,2025-06-07 03:09:02,17.28
1749276605,2025-06-07 03:10:05,17.81
1749276670,2025-06-07 03:11:10,17.17
1749276727,2025-06-07 03:12:07,17.23
1749276783,2025-06-07 03:13:03,17.09
1749276843,2025-06-07 03:14:03,17.15
1749276907,2025-06-07 03:15:07,17.38
1749276965,2025-06-07 03:16:05,17.12
1749277024,2025-06-07 03:17:04,17.11
1749277088,2025-06-07 03:18:08,17.4
1749277148,2025-06-07 03:19:08,17.08
1749277207,2025-06-07 03:20:07,17.46
1749277266,2025-06-07 03:21:06,17.54
1749277328,2025-06-07 03:22:08,17.25
1749277386,2025-06-07 03:23:06,17.76
1749277445,2025-06-07 03:24:05,17.49
1749277504,2025-06-07 03:25:04,17.46
1749277562,2025-06-07 03:26:02,17.32
1749277618,2025-06-07 03:26:58,17.37
1749277681,2025-06-07 03:28:01,17.51
1749277739,2025-06-07 03:28:59,17.41
1749277801,2025-06-07 03:30:01,17.19
1749277865,2025-06-07 03:31:05,17.27
1749277930,2025-06-07 03:32:10,17.29
1749277990,2025-06-07 03:33:10,17.16
1749278051,2025-06-07 03:34:11,17.54
1749278114,2025-06-07 03:35:14,17.59
1749278173,2025-06-07 03:36:13,17.75
1749278231,2025-06-07 03:37:11,17.34
1749278297,2025-06-07 03:38:17,17.32
1749278358,2025-06-07 03:39:18,17.37
1749278423,2025-06-07 03:40:23,18.2
1749278481,2025-06-07 03:41:21,17.34
1749278543,2025-06-07 03:42:23,17.73
1749278604,2025-06-07 03:43:24,17.4
1749278665,2025-06-07 03:44:25,17.43
1749278727,2025-06-07 03:45:27,17.79
1749278788,2025-06-07 03:46:28,17.33
1749278850,2025-06-07 03:47:30,17.48
1749278914,2025-06-07 03:48:34,17.23
1749278972,2025-06-07 03:49:32,17.47
1749279034,2025-06-07 03:50:34,17.81
1749279095,2025-06-07 03:51:35,17.21
1749279155,2025-06-07 03:52:35,17.53
1749279213,2025-06-07 03:53:33,17.54
1749279273,2025-06-07 03:54:33,17.3
1749279334,2025-06-07 03:55:34,17.39
1749279397,2025-06-07 03:56:37,17.7
1749279456,2025-06-07 03:57:36,17.61
1749279513,2025-06-07 03:58:33,17.06
1749279573,2025-06-07 03:59:33,17.9
1749279634,2025-06-07 04:00:34,17.55
1749279695,2025-06-07 04:01:35,17.16
1749279751,2025-06-07 04:02:31,17.32
1749279811,2025-06-07 04:03:31,17.42
1749279870,2025-06-07 04:04:30,17.61
1749279930,2025-06-07 04:05:30,20.77
1749279991,2025-06-07 04:06:31,17.12
1749280051,2025-06-07 04:07:31,17.24
1749280111,2025-06-07 04:08:31,17.13
1749280177,2025-06-07 04:09:37,17.94
1749280234,2025-06-07 04:10:34,17.19
1749280295,2025-06-07 04:11:35,17.41
1749280357,2025-06-07 04:12:37,17.32
1749280416,2025-06-07 04:13:36,17.34
1749280477,2025-06-07 04:14:37,17.42
1749280540,2025-06-07 04:15:40,17.43
1749280600,2025-06-07 04:16:40,17.13
1749280658,2025-06-07 04:17:38,17.05
1749280717,2025-06-07 04:18:37,17.28
1749280778,2025-06-07 04:19:38,17.41
1749280837,2025-06-07 04:20:37,17.42
1749280898,2025-06-07 04:21:38,17.64
1749280958,2025-06-07 04:22:38,17.38
1749281022,2025-06-07 04:23:42,17.7
1749281085,2025-06-07 04:24:45,17.94
1749281142,2025-06-07 04:25:42,17.65
1749281199,2025-06-07 04:26:39,17.32
1749281261,2025-06-07 04:27:41,17.54
1749281320,2025-06-07 04:28:40,17.48
1749281379,2025-06-07 04:29:39,17.95
1749281433,2025-06-07 04:30:33,17.76
1749281490,2025-06-07 04:31:30,17.56
1749281553,2025-06-07 04:32:33,17.39
1749281618,2025-06-07 04:33:38,17.49
1749281678,2025-06-07 04:34:38,18.14
1749281740,2025-06-07 04:35:40,18.0
1749281800,2025-06-07 04:36:40,17.85
1749281857,2025-06-07 04:37:37,17.62
1749281920,2025-06-07 04:38:40,17.41
1749281977,2025-06-07 04:39:37,18.08
1749282035,2025-06-07 04:40:35,18.14
1749282095,2025-06-07 04:41:35,17.67
1749282154,2025-06-07 04:42:34,17.33
1749282218,2025-06-07 04:43:38,17.85
1749282273,2025-06-07 04:44:33,17.32
1749282331,2025-06-07 04:45:31,17.89
1749282398,2025-06-07 04:46:38,17.43
1749282458,2025-06-07 04:47:38,17.66
1749282514,2025-06-07 04:48:34,18.05
1749282573,2025-06-07 04:49:33,17.81
1749282629,2025-06-07 04:50:29,17.93
1749282694,2025-06-07 04:51:34,17.72
1749282754,2025-06-07 04:52:34,17.77
1749282815,2025-06-07 04:53:35,17.58
1749282876,2025-06-07 04:54:36,17.72
