Timestamp,Data,Atraso(ms)
1751377445,2025-07-01 10:44:05,10.65
1751377503,2025-07-01 10:45:03,12.9
1751377562,2025-07-01 10:46:02,11.01
1751377622,2025-07-01 10:47:02,11.45
1751377685,2025-07-01 10:48:05,10.32
1751377746,2025-07-01 10:49:06,10.25
1751377806,2025-07-01 10:50:06,13.2
1751377869,2025-07-01 10:51:09,19.45
1751377930,2025-07-01 10:52:10,10.76
1751377989,2025-07-01 10:53:09,9.32
1751378055,2025-07-01 10:54:15,10.13
1751378113,2025-07-01 10:55:13,9.76
1751378170,2025-07-01 10:56:10,9.35
1751378232,2025-07-01 10:57:12,9.42
1751378290,2025-07-01 10:58:10,30.9
1751378352,2025-07-01 10:59:12,19.93
1751378409,2025-07-01 11:00:09,9.04
1751378471,2025-07-01 11:01:11,9.38
1751378531,2025-07-01 11:02:11,9.86
1751378595,2025-07-01 11:03:15,78.36
1751378659,2025-07-01 11:04:19,33.3
1751378720,2025-07-01 11:05:20,9.5
1751378783,2025-07-01 11:06:23,9.21
1751378841,2025-07-01 11:07:21,9.24
1751378901,2025-07-01 11:08:21,8.93
1751378960,2025-07-01 11:09:20,9.57
1751379023,2025-07-01 11:10:23,9.39
1751379083,2025-07-01 11:11:23,8.49
1751379144,2025-07-01 11:12:24,9.16
1751379203,2025-07-01 11:13:23,8.5
1751379263,2025-07-01 11:14:23,8.17
1751379328,2025-07-01 11:15:28,8.33
1751379386,2025-07-01 11:16:26,8.39
1751379446,2025-07-01 11:17:26,8.2
1751379504,2025-07-01 11:18:24,8.34
1751379561,2025-07-01 11:19:21,9.06
1751379620,2025-07-01 11:20:20,9.71
1751379678,2025-07-01 11:21:18,8.37
1751379736,2025-07-01 11:22:16,8.63
1751379794,2025-07-01 11:23:14,8.52
1751379852,2025-07-01 11:24:12,8.33
1751379909,2025-07-01 11:25:09,8.34
1751379968,2025-07-01 11:26:08,116.33
1751380024,2025-07-01 11:27:04,8.34
1751380081,2025-07-01 11:28:01,9.02
1751380140,2025-07-01 11:29:00,9.17
1751380201,2025-07-01 11:30:01,9.1
1751380263,2025-07-01 11:31:03,8.83
1751380322,2025-07-01 11:32:02,10.24
1751380385,2025-07-01 11:33:05,9.6
1751380444,2025-07-01 11:34:04,8.66
