Timestamp,Data,Atraso(ms)
1749268943,2025-06-07 01:02:23,5.67
1749269004,2025-06-07 01:03:24,5.67
1749269063,2025-06-07 01:04:23,7.21
1749269124,2025-06-07 01:05:24,6.34
1749269184,2025-06-07 01:06:24,6.89
1749269243,2025-06-07 01:07:23,5.5
1749269306,2025-06-07 01:08:26,5.38
1749269366,2025-06-07 01:09:26,5.4
1749269423,2025-06-07 01:10:23,5.23
1749269483,2025-06-07 01:11:23,5.37
1749269544,2025-06-07 01:12:24,5.47
1749269605,2025-06-07 01:13:25,5.68
1749269667,2025-06-07 01:14:27,5.46
1749269731,2025-06-07 01:15:31,5.35
1749269792,2025-06-07 01:16:32,6.83
1749269856,2025-06-07 01:17:36,5.18
1749269915,2025-06-07 01:18:35,5.77
1749269972,2025-06-07 01:19:32,5.02
1749270032,2025-06-07 01:20:32,5.59
1749270089,2025-06-07 01:21:29,5.68
1749270149,2025-06-07 01:22:29,5.28
1749270211,2025-06-07 01:23:31,5.18
1749270273,2025-06-07 01:24:33,5.2
1749270333,2025-06-07 01:25:33,5.49
1749270390,2025-06-07 01:26:30,5.4
1749270453,2025-06-07 01:27:33,5.62
1749270514,2025-06-07 01:28:34,6.21
1749270577,2025-06-07 01:29:37,5.81
1749270662,2025-06-07 01:31:02,5.76
1749270693,2025-06-07 01:31:33,5.68
1749270755,2025-06-07 01:32:35,5.63
1749270816,2025-06-07 01:33:36,5.73
1749270877,2025-06-07 01:34:37,5.73
1749270935,2025-06-07 01:35:35,5.91
1749270993,2025-06-07 01:36:33,6.65
1749271048,2025-06-07 01:37:28,6.0
1749271106,2025-06-07 01:38:26,6.12
1749271163,2025-06-07 01:39:23,6.18
1749271227,2025-06-07 01:40:27,5.16
1749271289,2025-06-07 01:41:29,6.08
1749271349,2025-06-07 01:42:29,4.97
1749271412,2025-06-07 01:43:32,5.07
1749271470,2025-06-07 01:44:30,4.96
1749271526,2025-06-07 01:45:26,5.06
1749271587,2025-06-07 01:46:27,4.96
1749271643,2025-06-07 01:47:23,4.99
1749271704,2025-06-07 01:48:24,5.31
1749271768,2025-06-07 01:49:28,5.26
1749271831,2025-06-07 01:50:31,5.01
1749271888,2025-06-07 01:51:28,5.22
1749271949,2025-06-07 01:52:29,5.07
1749272008,2025-06-07 01:53:28,5.09
1749272069,2025-06-07 01:54:29,5.21
1749272126,2025-06-07 01:55:26,5.37
1749272187,2025-06-07 01:56:27,7.27
1749272250,2025-06-07 01:57:30,7.39
1749272307,2025-06-07 01:58:27,5.09
1749272366,2025-06-07 01:59:26,5.08
1749272422,2025-06-07 02:00:22,5.1
1749272482,2025-06-07 02:01:22,5.09
1749272543,2025-06-07 02:02:23,5.32
1749272601,2025-06-07 02:03:21,5.39
1749272658,2025-06-07 02:04:18,5.17
1749272719,2025-06-07 02:05:19,6.63
1749272780,2025-06-07 02:06:20,5.19
1749272836,2025-06-07 02:07:16,5.33
1749272898,2025-06-07 02:08:18,5.48
1749272960,2025-06-07 02:09:20,5.1
1749273021,2025-06-07 02:10:21,6.17
1749273082,2025-06-07 02:11:22,5.5
1749273145,2025-06-07 02:12:25,5.73
1749273203,2025-06-07 02:13:23,5.86
1749273268,2025-06-07 02:14:28,5.28
1749273329,2025-06-07 02:15:29,6.21
1749273388,2025-06-07 02:16:28,5.31
1749273452,2025-06-07 02:17:32,5.93
1749273511,2025-06-07 02:18:31,5.36
1749273573,2025-06-07 02:19:33,5.98
1749273633,2025-06-07 02:20:33,5.11
1749273688,2025-06-07 02:21:28,5.73
1749273747,2025-06-07 02:22:27,5.23
1749273807,2025-06-07 02:23:27,5.36
1749273865,2025-06-07 02:24:25,5.43
1749273920,2025-06-07 02:25:20,5.33
1749273984,2025-06-07 02:26:24,5.65
1749274042,2025-06-07 02:27:22,5.71
1749274107,2025-06-07 02:28:27,5.64
1749274166,2025-06-07 02:29:26,5.42
1749274224,2025-06-07 02:30:24,5.29
1749274284,2025-06-07 02:31:24,6.03
1749274346,2025-06-07 02:32:26,5.29
1749274409,2025-06-07 02:33:29,5.16
1749274472,2025-06-07 02:34:32,5.02
1749274534,2025-06-07 02:35:34,4.87
1749274587,2025-06-07 02:36:27,5.1
1749274649,2025-06-07 02:37:29,5.46
1749274706,2025-06-07 02:38:26,5.11
1749274766,2025-06-07 02:39:26,5.06
1749274828,2025-06-07 02:40:28,5.39
1749274886,2025-06-07 02:41:26,5.68
1749274942,2025-06-07 02:42:22,5.28
1749275001,2025-06-07 02:43:21,5.1
1749275066,2025-06-07 02:44:26,5.32
1749275125,2025-06-07 02:45:25,5.14
1749275182,2025-06-07 02:46:22,5.26
1749275244,2025-06-07 02:47:24,5.35
1749275305,2025-06-07 02:48:25,5.4
1749275364,2025-06-07 02:49:24,5.13
1749275426,2025-06-07 02:50:26,6.89
1749275494,2025-06-07 02:51:34,5.51
1749275552,2025-06-07 02:52:32,7.44
1749275616,2025-06-07 02:53:36,8.71
1749275680,2025-06-07 02:54:40,8.86
1749275739,2025-06-07 02:55:39,10.87
1749275795,2025-06-07 02:56:35,9.24
1749275855,2025-06-07 02:57:35,10.43
1749275913,2025-06-07 02:58:33,11.03
1749275974,2025-06-07 02:59:34,8.33
1749276030,2025-06-07 03:00:30,8.28
1749276095,2025-06-07 03:01:35,8.91
1749276156,2025-06-07 03:02:36,7.13
1749276214,2025-06-07 03:03:34,6.72
1749276273,2025-06-07 03:04:33,6.85
1749276335,2025-06-07 03:05:35,6.79
1749276394,2025-06-07 03:06:34,9.64
1749276450,2025-06-07 03:07:30,6.83
1749276507,2025-06-07 03:08:27,5.88
1749276570,2025-06-07 03:09:30,8.07
1749276629,2025-06-07 03:10:29,8.37
1749276688,2025-06-07 03:11:28,5.4
1749276745,2025-06-07 03:12:25,5.47
1749276809,2025-06-07 03:13:29,5.42
1749276868,2025-06-07 03:14:28,5.87
1749276930,2025-06-07 03:15:30,5.96
1749276992,2025-06-07 03:16:32,6.32
1749277052,2025-06-07 03:17:32,5.36
1749277109,2025-06-07 03:18:29,5.57
1749277168,2025-06-07 03:19:28,5.61
1749277232,2025-06-07 03:20:32,5.7
1749277293,2025-06-07 03:21:33,7.25
1749277351,2025-06-07 03:22:31,5.67
1749277414,2025-06-07 03:23:34,5.6
1749277477,2025-06-07 03:24:37,5.36
1749277539,2025-06-07 03:25:39,5.52
1749277602,2025-06-07 03:26:42,5.79
1749277663,2025-06-07 03:27:43,6.04
1749277718,2025-06-07 03:28:38,5.92
1749277776,2025-06-07 03:29:36,5.66
1749277833,2025-06-07 03:30:33,5.42
1749277893,2025-06-07 03:31:33,5.79
1749277954,2025-06-07 03:32:34,6.08
1749278014,2025-06-07 03:33:34,8.8
1749278075,2025-06-07 03:34:35,6.24
1749278138,2025-06-07 03:35:38,6.13
1749278196,2025-06-07 03:36:36,6.03
1749278255,2025-06-07 03:37:35,5.84
1749278312,2025-06-07 03:38:32,6.29
1749278374,2025-06-07 03:39:34,5.84
1749278432,2025-06-07 03:40:32,7.7
1749278499,2025-06-07 03:41:39,6.37
1749278556,2025-06-07 03:42:36,6.1
1749278616,2025-06-07 03:43:36,6.18
1749278676,2025-06-07 03:44:36,6.28
1749278738,2025-06-07 03:45:38,6.11
1749278796,2025-06-07 03:46:36,6.31
1749278861,2025-06-07 03:47:41,6.09
1749278922,2025-06-07 03:48:42,6.22
1749278980,2025-06-07 03:49:40,6.03
1749279040,2025-06-07 03:50:40,8.09
1749279101,2025-06-07 03:51:41,6.18
1749279160,2025-06-07 03:52:40,6.12
1749279219,2025-06-07 03:53:39,6.14
1749279279,2025-06-07 03:54:39,7.11
1749279341,2025-06-07 03:55:41,6.12
1749279399,2025-06-07 03:56:39,6.51
1749279457,2025-06-07 03:57:37,6.13
1749279515,2025-06-07 03:58:35,6.37
1749279576,2025-06-07 03:59:36,6.09
1749279637,2025-06-07 04:00:37,6.27
1749279696,2025-06-07 04:01:36,6.11
1749279757,2025-06-07 04:02:37,5.13
1749279816,2025-06-07 04:03:36,6.27
1749279873,2025-06-07 04:04:33,6.63
1749279937,2025-06-07 04:05:37,5.27
1749279998,2025-06-07 04:06:38,8.24
1749280061,2025-06-07 04:07:41,5.2
1749280125,2025-06-07 04:08:45,5.24
1749280185,2025-06-07 04:09:45,5.52
1749280241,2025-06-07 04:10:41,5.12
1749280300,2025-06-07 04:11:40,5.69
1749280359,2025-06-07 04:12:39,5.78
1749280415,2025-06-07 04:13:35,5.44
1749280474,2025-06-07 04:14:34,5.45
1749280535,2025-06-07 04:15:35,5.74
1749280594,2025-06-07 04:16:34,5.83
1749280652,2025-06-07 04:17:32,5.94
1749280710,2025-06-07 04:18:30,6.07
1749280772,2025-06-07 04:19:32,5.5
1749280832,2025-06-07 04:20:32,5.62
1749280890,2025-06-07 04:21:30,5.69
1749280949,2025-06-07 04:22:29,6.04
1749281012,2025-06-07 04:23:32,5.38
1749281066,2025-06-07 04:24:26,5.44
1749281127,2025-06-07 04:25:27,5.77
1749281186,2025-06-07 04:26:26,5.58
1749281242,2025-06-07 04:27:22,5.69
1749281297,2025-06-07 04:28:17,8.19
1749281353,2025-06-07 04:29:13,7.75
1749281411,2025-06-07 04:30:11,5.95
1749281474,2025-06-07 04:31:14,6.91
1749281535,2025-06-07 04:32:15,6.34
1749281597,2025-06-07 04:33:17,5.91
1749281655,2025-06-07 04:34:15,6.41
1749281710,2025-06-07 04:35:10,5.81
1749281771,2025-06-07 04:36:11,5.74
1749281834,2025-06-07 04:37:14,6.08
1749281897,2025-06-07 04:38:17,5.9
1749281955,2025-06-07 04:39:15,6.35
1749282015,2025-06-07 04:40:15,6.85
1749282073,2025-06-07 04:41:13,6.14
1749282135,2025-06-07 04:42:15,6.23
1749282190,2025-06-07 04:43:10,6.17
1749282254,2025-06-07 04:44:14,6.09
1749282314,2025-06-07 04:45:14,6.18
1749282376,2025-06-07 04:46:16,6.44
1749282432,2025-06-07 04:47:12,6.26
1749282492,2025-06-07 04:48:12,6.14
1749282551,2025-06-07 04:49:11,6.01
1749282612,2025-06-07 04:50:12,5.94
1749282673,2025-06-07 04:51:13,6.12
1749282736,2025-06-07 04:52:16,6.78
1749282796,2025-06-07 04:53:16,6.09
1749282854,2025-06-07 04:54:14,5.9
1749282910,2025-06-07 04:55:10,5.6
1749282973,2025-06-07 04:56:13,5.41
1749283035,2025-06-07 04:57:15,5.26
1749283095,2025-06-07 04:58:15,5.6
1749283154,2025-06-07 04:59:14,5.32
1749283216,2025-06-07 05:00:16,5.39
1749283271,2025-06-07 05:01:11,5.43
1749283330,2025-06-07 05:02:10,7.43
1749283389,2025-06-07 05:03:09,5.31
1749283447,2025-06-07 05:04:07,5.37
