Timestamp,Data,Atraso(ms)
1749743122,2025-06-12 12:45:22,35.21
1749743179,2025-06-12 12:46:19,35.06
1749743241,2025-06-12 12:47:21,35.17
1749743303,2025-06-12 12:48:23,35.2
1749743358,2025-06-12 12:49:18,40.75
1749743416,2025-06-12 12:50:16,40.51
1749743472,2025-06-12 12:51:12,38.72
1749743533,2025-06-12 12:52:13,35.19
1749743592,2025-06-12 12:53:12,36.38
1749743650,2025-06-12 12:54:10,35.09
1749743707,2025-06-12 12:55:07,35.5
1749743770,2025-06-12 12:56:10,35.37
1749743832,2025-06-12 12:57:12,35.11
1749743890,2025-06-12 12:58:10,34.88
1749743953,2025-06-12 12:59:13,34.38
1749744010,2025-06-12 13:00:10,34.89
1749744069,2025-06-12 13:01:09,34.42
1749744134,2025-06-12 13:02:14,35.14
1749744193,2025-06-12 13:03:13,35.25
1749744249,2025-06-12 13:04:09,34.27
1749744311,2025-06-12 13:05:11,34.12
1749744372,2025-06-12 13:06:12,34.16
1749744435,2025-06-12 13:07:15,34.05
1749744495,2025-06-12 13:08:15,34.8
1749744556,2025-06-12 13:09:16,33.86
1749744619,2025-06-12 13:10:19,34.66
1749744682,2025-06-12 13:11:22,34.56
1749744742,2025-06-12 13:12:22,34.76
1749744802,2025-06-12 13:13:22,35.01
1749744864,2025-06-12 13:14:24,34.18
1749744923,2025-06-12 13:15:23,34.61
1749744985,2025-06-12 13:16:25,38.96
1749745041,2025-06-12 13:17:21,45.63
1749745102,2025-06-12 13:18:22,46.12
1749745162,2025-06-12 13:19:22,45.2
1749745225,2025-06-12 13:20:25,45.73
1749745284,2025-06-12 13:21:24,34.42
1749745346,2025-06-12 13:22:26,34.31
1749745411,2025-06-12 13:23:31,34.58
1749745468,2025-06-12 13:24:28,34.46
1749745525,2025-06-12 13:25:25,34.31
1749745583,2025-06-12 13:26:23,34.23
1749745639,2025-06-12 13:27:19,35.68
1749745698,2025-06-12 13:28:18,34.62
1749745757,2025-06-12 13:29:17,34.77
1749745817,2025-06-12 13:30:17,35.25
1749745878,2025-06-12 13:31:18,34.16
1749745942,2025-06-12 13:32:22,35.86
1749746006,2025-06-12 13:33:26,34.65
1749746064,2025-06-12 13:34:24,34.96
1749746122,2025-06-12 13:35:22,34.41
1749746183,2025-06-12 13:36:23,34.5
1749746241,2025-06-12 13:37:21,35.15
1749746301,2025-06-12 13:38:21,34.45
