Timestamp,Data,Atraso(ms)
1749269181,2025-06-07 01:06:21,25.03
1749269242,2025-06-07 01:07:22,25.24
1749269305,2025-06-07 01:08:25,24.55
1749269366,2025-06-07 01:09:26,24.93
1749269422,2025-06-07 01:10:22,25.06
1749269482,2025-06-07 01:11:22,25.04
1749269540,2025-06-07 01:12:20,25.56
1749269601,2025-06-07 01:13:21,25.29
1749269663,2025-06-07 01:14:23,25.05
1749269717,2025-06-07 01:15:17,24.71
1749269778,2025-06-07 01:16:18,24.97
1749269834,2025-06-07 01:17:14,24.95
1749269894,2025-06-07 01:18:14,24.69
1749269954,2025-06-07 01:19:14,24.54
1749270016,2025-06-07 01:20:16,25.22
1749270077,2025-06-07 01:21:17,25.17
1749270137,2025-06-07 01:22:17,25.7
1749270200,2025-06-07 01:23:20,25.78
1749270257,2025-06-07 01:24:17,25.22
1749270320,2025-06-07 01:25:20,25.62
1749270377,2025-06-07 01:26:17,25.78
1749270436,2025-06-07 01:27:16,25.64
1749270495,2025-06-07 01:28:15,25.17
1749270560,2025-06-07 01:29:20,25.87
1749270619,2025-06-07 01:30:19,25.3
1749270681,2025-06-07 01:31:21,25.55
1749270740,2025-06-07 01:32:20,25.71
1749270799,2025-06-07 01:33:19,25.51
1749270862,2025-06-07 01:34:22,25.15
1749270921,2025-06-07 01:35:21,25.69
1749270981,2025-06-07 01:36:21,25.53
1749271043,2025-06-07 01:37:23,25.33
1749271096,2025-06-07 01:38:16,25.04
1749271153,2025-06-07 01:39:13,24.91
1749271215,2025-06-07 01:40:15,25.48
1749271273,2025-06-07 01:41:13,25.38
1749271334,2025-06-07 01:42:14,25.87
1749271392,2025-06-07 01:43:12,25.58
1749271450,2025-06-07 01:44:10,25.35
1749271513,2025-06-07 01:45:13,25.48
1749271573,2025-06-07 01:46:13,25.11
1749271640,2025-06-07 01:47:20,25.88
1749271704,2025-06-07 01:48:24,25.78
1749271767,2025-06-07 01:49:27,25.5
1749271828,2025-06-07 01:50:28,24.66
1749271890,2025-06-07 01:51:30,24.55
1749271950,2025-06-07 01:52:30,24.29
1749272007,2025-06-07 01:53:27,24.5
1749272063,2025-06-07 01:54:23,24.15
1749272124,2025-06-07 01:55:24,24.31
1749272183,2025-06-07 01:56:23,24.36
1749272241,2025-06-07 01:57:21,24.6
1749272300,2025-06-07 01:58:20,24.2
1749272362,2025-06-07 01:59:22,24.18
1749272419,2025-06-07 02:00:19,24.67
