Timestamp,Data,Atraso(ms)
1749743416,2025-06-12 12:50:16,21.32
1749743479,2025-06-12 12:51:19,22.35
1749743536,2025-06-12 12:52:16,23.73
1749743598,2025-06-12 12:53:18,23.3
1749743659,2025-06-12 12:54:19,24.0
1749743721,2025-06-12 12:55:21,23.62
1749743784,2025-06-12 12:56:24,23.11
1749743840,2025-06-12 12:57:20,23.05
1749743903,2025-06-12 12:58:23,23.27
1749743959,2025-06-12 12:59:19,23.66
1749744018,2025-06-12 13:00:18,23.59
1749744079,2025-06-12 13:01:19,23.35
1749744134,2025-06-12 13:02:14,23.45
1749744196,2025-06-12 13:03:16,23.62
1749744257,2025-06-12 13:04:17,23.32
1749744321,2025-06-12 13:05:21,22.86
1749744379,2025-06-12 13:06:19,22.31
1749744442,2025-06-12 13:07:22,22.65
1749744501,2025-06-12 13:08:21,22.47
1749744562,2025-06-12 13:09:22,23.14
1749744622,2025-06-12 13:10:22,22.6
1749744683,2025-06-12 13:11:23,22.44
1749744739,2025-06-12 13:12:19,22.41
1749744796,2025-06-12 13:13:16,22.58
1749744859,2025-06-12 13:14:19,22.9
1749744917,2025-06-12 13:15:17,23.03
1749744977,2025-06-12 13:16:17,22.98
1749745034,2025-06-12 13:17:14,22.74
1749745092,2025-06-12 13:18:12,22.41
1749745148,2025-06-12 13:19:08,22.97
1749745205,2025-06-12 13:20:05,23.44
1749745270,2025-06-12 13:21:10,20.9
1749745333,2025-06-12 13:22:13,19.86
1749745394,2025-06-12 13:23:14,20.04
1749745455,2025-06-12 13:24:15,20.4
1749745515,2025-06-12 13:25:15,20.53
1749745575,2025-06-12 13:26:15,20.35
1749745633,2025-06-12 13:27:13,20.68
1749745691,2025-06-12 13:28:11,20.29
1749745746,2025-06-12 13:29:06,20.49
1749745804,2025-06-12 13:30:04,19.85
1749745862,2025-06-12 13:31:02,20.15
1749745918,2025-06-12 13:31:58,20.89
1749745978,2025-06-12 13:32:58,20.42
1749746035,2025-06-12 13:33:55,20.28
1749746096,2025-06-12 13:34:56,20.37
1749746162,2025-06-12 13:36:02,20.9
1749746220,2025-06-12 13:37:00,21.25
1749746279,2025-06-12 13:37:59,21.01
1749746345,2025-06-12 13:39:05,21.16
1749746408,2025-06-12 13:40:08,18.76
1749746466,2025-06-12 13:41:06,18.03
1749746525,2025-06-12 13:42:05,18.25
1749746582,2025-06-12 13:43:02,18.02
1749746643,2025-06-12 13:44:03,19.0
1749746701,2025-06-12 13:45:01,17.98
1749746760,2025-06-12 13:46:00,17.94
1749746818,2025-06-12 13:46:58,18.17
1749746873,2025-06-12 13:47:53,18.03
1749746931,2025-06-12 13:48:51,17.88
1749746994,2025-06-12 13:49:54,18.05
1749747056,2025-06-12 13:50:56,19.08
1749747115,2025-06-12 13:51:55,17.81
1749747178,2025-06-12 13:52:58,17.95
1749747239,2025-06-12 13:53:59,17.58
1749747301,2025-06-12 13:55:01,18.74
1749747357,2025-06-12 13:55:57,17.97
1749747419,2025-06-12 13:56:59,17.23
1749747479,2025-06-12 13:57:59,17.54
1749747539,2025-06-12 13:58:59,17.27
1749747601,2025-06-12 14:00:01,17.22
1749747660,2025-06-12 14:01:00,17.37
1749747721,2025-06-12 14:02:01,17.72
1749747783,2025-06-12 14:03:03,17.36
1749747841,2025-06-12 14:04:01,17.25
1749747901,2025-06-12 14:05:01,17.46
1749747962,2025-06-12 14:06:02,17.12
1749748023,2025-06-12 14:07:03,18.13
1749748081,2025-06-12 14:08:01,17.74
1749748138,2025-06-12 14:08:58,17.23
1749748198,2025-06-12 14:09:58,21.13
1749748256,2025-06-12 14:10:56,18.16
1749748322,2025-06-12 14:12:02,17.6
1749748383,2025-06-12 14:13:03,17.16
1749748443,2025-06-12 14:14:03,16.86
1749748500,2025-06-12 14:15:00,17.18
1749748555,2025-06-12 14:15:55,19.55
1749748613,2025-06-12 14:16:53,20.27
1749748672,2025-06-12 14:17:52,20.5
1749748729,2025-06-12 14:18:49,20.72
1749748790,2025-06-12 14:19:50,20.68
1749748851,2025-06-12 14:20:51,21.04
1749748916,2025-06-12 14:21:56,22.95
1749748977,2025-06-12 14:22:57,23.42
1749749036,2025-06-12 14:23:56,23.2
1749749097,2025-06-12 14:24:57,22.57
1749749155,2025-06-12 14:25:55,22.35
1749749216,2025-06-12 14:26:56,22.57
1749749279,2025-06-12 14:27:59,22.96
1749749336,2025-06-12 14:28:56,22.7
1749749395,2025-06-12 14:29:55,22.82
1749749459,2025-06-12 14:30:59,22.82
1749749521,2025-06-12 14:32:01,23.15
1749749581,2025-06-12 14:33:01,22.73
1749749642,2025-06-12 14:34:02,22.51
1749749700,2025-06-12 14:35:00,27.0
1749749761,2025-06-12 14:36:01,22.46
1749749820,2025-06-12 14:37:00,22.49
1749749878,2025-06-12 14:37:58,22.8
1749749939,2025-06-12 14:38:59,22.07
1749750002,2025-06-12 14:40:02,22.15
1749750059,2025-06-12 14:40:59,21.99
1749750116,2025-06-12 14:41:56,22.22
1749750180,2025-06-12 14:43:00,21.81
1749750237,2025-06-12 14:43:57,21.64
1749750299,2025-06-12 14:44:59,22.22
1749750357,2025-06-12 14:45:57,21.88
1749750414,2025-06-12 14:46:54,21.54
1749750475,2025-06-12 14:47:55,21.96
1749750534,2025-06-12 14:48:54,21.53
1749750595,2025-06-12 14:49:55,19.95
1749750650,2025-06-12 14:50:50,18.14
1749750712,2025-06-12 14:51:52,17.18
1749750769,2025-06-12 14:52:49,17.18
1749750829,2025-06-12 14:53:49,17.2
1749750890,2025-06-12 14:54:50,17.26
1749750952,2025-06-12 14:55:52,17.09
1749751017,2025-06-12 14:56:57,17.3
1749751081,2025-06-12 14:58:01,16.84
1749751147,2025-06-12 14:59:07,16.47
1749751209,2025-06-12 15:00:09,17.1
1749751275,2025-06-12 15:01:15,16.53
1749751331,2025-06-12 15:02:11,17.19
1749751394,2025-06-12 15:03:14,16.66
1749751457,2025-06-12 15:04:17,16.87
1749751517,2025-06-12 15:05:17,16.85
1749751574,2025-06-12 15:06:14,16.71
1749751635,2025-06-12 15:07:15,17.93
1749751697,2025-06-12 15:08:17,19.03
1749751756,2025-06-12 15:09:16,19.04
1749751818,2025-06-12 15:10:18,19.14
1749751875,2025-06-12 15:11:15,18.77
1749751933,2025-06-12 15:12:13,19.74
1749751991,2025-06-12 15:13:11,19.07
1749752055,2025-06-12 15:14:15,18.91
1749752113,2025-06-12 15:15:13,19.05
1749752170,2025-06-12 15:16:10,19.06
1749752227,2025-06-12 15:17:07,18.91
1749752290,2025-06-12 15:18:10,18.82
1749752347,2025-06-12 15:19:07,18.79
1749752410,2025-06-12 15:20:10,19.77
1749752473,2025-06-12 15:21:13,20.41
1749752536,2025-06-12 15:22:16,21.23
1749752596,2025-06-12 15:23:16,21.44
1749752656,2025-06-12 15:24:16,21.36
1749752714,2025-06-12 15:25:14,21.41
1749752770,2025-06-12 15:26:10,21.96
1749752831,2025-06-12 15:27:11,21.66
1749752892,2025-06-12 15:28:12,21.72
1749752951,2025-06-12 15:29:11,21.08
1749753010,2025-06-12 15:30:10,21.26
1749753070,2025-06-12 15:31:10,21.28
1749753130,2025-06-12 15:32:10,21.62
1749753190,2025-06-12 15:33:10,20.86
1749753249,2025-06-12 15:34:09,20.74
1749753307,2025-06-12 15:35:07,21.21
1749753372,2025-06-12 15:36:12,20.6
1749753434,2025-06-12 15:37:14,20.7
1749753489,2025-06-12 15:38:09,20.56
1749753550,2025-06-12 15:39:10,20.33
1749753613,2025-06-12 15:40:13,21.34
1749753673,2025-06-12 15:41:13,21.15
1749753732,2025-06-12 15:42:12,21.78
1749753793,2025-06-12 15:43:13,22.41
1749753853,2025-06-12 15:44:13,22.03
