Timestamp,Data,Atraso(ms)
1749891846,2025-06-14 06:04:06,16.74
1749891907,2025-06-14 06:05:07,16.63
1749891967,2025-06-14 06:06:07,17.14
1749892025,2025-06-14 06:07:05,16.95
1749892081,2025-06-14 06:08:01,16.43
1749892140,2025-06-14 06:09:00,16.63
1749892198,2025-06-14 06:09:58,16.76
1749892256,2025-06-14 06:10:56,16.77
1749892322,2025-06-14 06:12:02,15.04
1749892380,2025-06-14 06:13:00,14.22
1749892437,2025-06-14 06:13:57,14.33
1749892502,2025-06-14 06:15:02,13.6
1749892568,2025-06-14 06:16:08,13.76
1749892623,2025-06-14 06:17:03,13.51
1749892688,2025-06-14 06:18:08,13.64
1749892751,2025-06-14 06:19:11,13.6
1749892806,2025-06-14 06:20:06,13.51
1749892864,2025-06-14 06:21:04,13.47
1749892928,2025-06-14 06:22:08,13.8
1749892993,2025-06-14 06:23:13,13.67
1749893050,2025-06-14 06:24:10,13.34
1749893107,2025-06-14 06:25:07,13.36
1749893164,2025-06-14 06:26:04,14.04
1749893226,2025-06-14 06:27:06,13.33
1749893284,2025-06-14 06:28:04,13.78
1749893344,2025-06-14 06:29:04,15.12
1749893402,2025-06-14 06:30:02,16.26
1749893463,2025-06-14 06:31:03,16.16
1749893522,2025-06-14 06:32:02,18.57
1749893583,2025-06-14 06:33:03,16.33
1749893647,2025-06-14 06:34:07,15.58
1749893704,2025-06-14 06:35:04,15.64
1749893763,2025-06-14 06:36:03,16.21
1749893820,2025-06-14 06:37:00,15.35
1749893879,2025-06-14 06:37:59,15.93
1749893940,2025-06-14 06:39:00,15.78
1749894000,2025-06-14 06:40:00,15.71
1749894058,2025-06-14 06:40:58,16.1
1749894117,2025-06-14 06:41:57,15.93
1749894178,2025-06-14 06:42:58,15.7
1749894235,2025-06-14 06:43:55,15.69
1749894295,2025-06-14 06:44:55,15.75
1749894356,2025-06-14 06:45:56,15.77
1749894414,2025-06-14 06:46:54,15.81
1749894472,2025-06-14 06:47:52,15.86
1749894531,2025-06-14 06:48:51,16.15
1749894593,2025-06-14 06:49:53,15.84
1749894653,2025-06-14 06:50:53,14.97
1749894710,2025-06-14 06:51:50,15.55
1749894771,2025-06-14 06:52:51,15.91
1749894831,2025-06-14 06:53:51,14.57
1749894889,2025-06-14 06:54:49,14.43
1749894950,2025-06-14 06:55:50,14.49
1749895011,2025-06-14 06:56:51,14.44
1749895071,2025-06-14 06:57:51,14.34
1749895133,2025-06-14 06:58:53,15.03
1749895192,2025-06-14 06:59:52,14.65
1749895253,2025-06-14 07:00:53,14.77
1749895312,2025-06-14 07:01:52,14.93
1749895374,2025-06-14 07:02:54,14.22
1749895432,2025-06-14 07:03:52,14.46
1749895492,2025-06-14 07:04:52,14.53
1749895555,2025-06-14 07:05:55,14.64
1749895613,2025-06-14 07:06:53,14.32
1749895677,2025-06-14 07:07:57,14.54
1749895740,2025-06-14 07:09:00,14.47
1749895804,2025-06-14 07:10:04,21.16
1749895866,2025-06-14 07:11:06,20.1
1749895924,2025-06-14 07:12:04,19.85
1749895983,2025-06-14 07:13:03,19.98
1749896043,2025-06-14 07:14:03,20.39
1749896102,2025-06-14 07:15:02,19.89
1749896164,2025-06-14 07:16:04,20.36
1749896225,2025-06-14 07:17:05,20.81
1749896284,2025-06-14 07:18:04,20.64
1749896341,2025-06-14 07:19:01,20.85
1749896400,2025-06-14 07:20:00,21.04
1749896461,2025-06-14 07:21:01,16.98
1749896521,2025-06-14 07:22:01,14.72
1749896581,2025-06-14 07:23:01,14.66
1749896639,2025-06-14 07:23:59,21.71
1749896700,2025-06-14 07:25:00,20.23
1749896757,2025-06-14 07:25:57,19.35
1749896815,2025-06-14 07:26:55,20.22
1749896879,2025-06-14 07:27:59,19.49
1749896942,2025-06-14 07:29:02,19.6
1749897004,2025-06-14 07:30:04,18.84
1749897059,2025-06-14 07:30:59,19.11
1749897116,2025-06-14 07:31:56,18.86
1749897177,2025-06-14 07:32:57,19.12
1749897234,2025-06-14 07:33:54,19.16
1749897291,2025-06-14 07:34:51,19.28
