Timestamp,Data,Atraso(ms)
1749891832,2025-06-14 06:03:52,32.32
1749891889,2025-06-14 06:04:49,32.76
1749891951,2025-06-14 06:05:51,32.09
1749892009,2025-06-14 06:06:49,32.76
1749892071,2025-06-14 06:07:51,32.57
1749892139,2025-06-14 06:08:59,32.26
1749892199,2025-06-14 06:09:59,32.17
1749892256,2025-06-14 06:10:56,32.72
1749892319,2025-06-14 06:11:59,32.61
1749892385,2025-06-14 06:13:05,32.88
1749892450,2025-06-14 06:14:10,32.53
1749892515,2025-06-14 06:15:15,32.51
1749892572,2025-06-14 06:16:12,32.46
1749892630,2025-06-14 06:17:10,32.22
1749892690,2025-06-14 06:18:10,32.88
1749892752,2025-06-14 06:19:12,32.82
1749892813,2025-06-14 06:20:13,32.88
1749892872,2025-06-14 06:21:12,32.84
1749892936,2025-06-14 06:22:16,32.48
1749892996,2025-06-14 06:23:16,32.41
1749893053,2025-06-14 06:24:13,32.63
1749893112,2025-06-14 06:25:12,32.79
1749893176,2025-06-14 06:26:16,32.74
1749893238,2025-06-14 06:27:18,32.4
1749893298,2025-06-14 06:28:18,32.63
1749893356,2025-06-14 06:29:16,32.27
1749893414,2025-06-14 06:30:14,32.7
1749893473,2025-06-14 06:31:13,32.3
1749893531,2025-06-14 06:32:11,32.4
1749893595,2025-06-14 06:33:15,32.19
1749893656,2025-06-14 06:34:16,32.38
1749893715,2025-06-14 06:35:15,32.69
1749893779,2025-06-14 06:36:19,32.51
1749893837,2025-06-14 06:37:17,31.97
1749893898,2025-06-14 06:38:18,32.28
1749893956,2025-06-14 06:39:16,32.43
1749894017,2025-06-14 06:40:17,32.75
1749894078,2025-06-14 06:41:18,32.04
1749894140,2025-06-14 06:42:20,32.29
1749894195,2025-06-14 06:43:15,32.24
1749894252,2025-06-14 06:44:12,32.02
1749894311,2025-06-14 06:45:11,32.32
1749894371,2025-06-14 06:46:11,32.62
1749894432,2025-06-14 06:47:12,31.99
1749894490,2025-06-14 06:48:10,32.33
1749894548,2025-06-14 06:49:08,32.34
1749894607,2025-06-14 06:50:07,32.92
1749894668,2025-06-14 06:51:08,32.98
1749894725,2025-06-14 06:52:05,32.77
1749894788,2025-06-14 06:53:08,32.25
1749894844,2025-06-14 06:54:04,32.76
1749894900,2025-06-14 06:55:00,32.29
1749894956,2025-06-14 06:55:56,33.3
1749895012,2025-06-14 06:56:52,32.83
1749895070,2025-06-14 06:57:50,32.24
1749895130,2025-06-14 06:58:50,32.27
1749895189,2025-06-14 06:59:49,32.49
1749895246,2025-06-14 07:00:46,32.69
1749895308,2025-06-14 07:01:48,32.64
1749895364,2025-06-14 07:02:44,32.87
1749895422,2025-06-14 07:03:42,32.66
1749895485,2025-06-14 07:04:45,33.16
1749895544,2025-06-14 07:05:44,32.44
1749895607,2025-06-14 07:06:47,32.31
1749895667,2025-06-14 07:07:47,32.47
1749895731,2025-06-14 07:08:51,32.43
1749895790,2025-06-14 07:09:50,32.02
1749895855,2025-06-14 07:10:55,32.62
1749895916,2025-06-14 07:11:56,32.24
1749895978,2025-06-14 07:12:58,32.36
1749896040,2025-06-14 07:14:00,32.24
1749896102,2025-06-14 07:15:02,32.13
1749896163,2025-06-14 07:16:03,32.49
1749896222,2025-06-14 07:17:02,32.1
1749896284,2025-06-14 07:18:04,32.35
1749896342,2025-06-14 07:19:02,32.24
1749896402,2025-06-14 07:20:02,32.13
1749896461,2025-06-14 07:21:01,32.7
1749896520,2025-06-14 07:22:00,32.35
1749896576,2025-06-14 07:22:56,32.3
1749896635,2025-06-14 07:23:55,32.31
1749896695,2025-06-14 07:24:55,32.11
1749896753,2025-06-14 07:25:53,32.82
1749896810,2025-06-14 07:26:50,32.46
1749896870,2025-06-14 07:27:50,32.76
1749896934,2025-06-14 07:28:54,32.8
1749896998,2025-06-14 07:29:58,32.44
1749897058,2025-06-14 07:30:58,32.1
1749897114,2025-06-14 07:31:54,32.29
1749897174,2025-06-14 07:32:54,32.4
1749897232,2025-06-14 07:33:52,32.39
