Timestamp,Data,Atraso(ms)
1751895478,2025-07-07 10:37:58,13.06
1751895533,2025-07-07 10:38:53,13.67
1751895593,2025-07-07 10:39:53,13.48
1751895654,2025-07-07 10:40:54,13.32
1751895717,2025-07-07 10:41:57,13.4
1751895777,2025-07-07 10:42:57,13.16
1751895841,2025-07-07 10:44:01,13.12
1751895902,2025-07-07 10:45:02,13.11
1751895962,2025-07-07 10:46:02,13.37
1751896020,2025-07-07 10:47:00,13.01
1751896084,2025-07-07 10:48:04,13.36
1751896145,2025-07-07 10:49:05,14.1
1751896209,2025-07-07 10:50:09,13.18
1751896268,2025-07-07 10:51:08,14.77
1751896332,2025-07-07 10:52:12,16.84
1751896389,2025-07-07 10:53:09,16.66
1751896449,2025-07-07 10:54:09,16.79
1751896507,2025-07-07 10:55:07,17.38
1751896569,2025-07-07 10:56:09,16.44
1751896629,2025-07-07 10:57:09,16.94
1751896689,2025-07-07 10:58:09,17.13
1751896749,2025-07-07 10:59:09,16.97
1751896809,2025-07-07 11:00:09,16.41
1751896869,2025-07-07 11:01:09,17.33
1751896928,2025-07-07 11:02:08,17.12
1751896990,2025-07-07 11:03:10,16.98
1751897049,2025-07-07 11:04:09,16.83
1751897110,2025-07-07 11:05:10,16.45
1751897169,2025-07-07 11:06:09,17.08
1751897229,2025-07-07 11:07:09,17.1
1751897289,2025-07-07 11:08:09,16.73
1751897348,2025-07-07 11:09:08,16.83
1751897406,2025-07-07 11:10:06,17.01
1751897468,2025-07-07 11:11:08,17.02
1751897527,2025-07-07 11:12:07,17.41
1751897589,2025-07-07 11:13:09,17.48
1751897652,2025-07-07 11:14:12,17.49
1751897712,2025-07-07 11:15:12,17.38
1751897775,2025-07-07 11:16:15,17.64
1751897834,2025-07-07 11:17:14,17.63
1751897895,2025-07-07 11:18:15,17.33
1751897955,2025-07-07 11:19:15,17.73
1751898015,2025-07-07 11:20:15,17.79
1751898074,2025-07-07 11:21:14,15.97
1751898136,2025-07-07 11:22:16,13.77
1751898197,2025-07-07 11:23:17,13.93
1751898259,2025-07-07 11:24:19,13.83
1751898321,2025-07-07 11:25:21,14.01
1751898382,2025-07-07 11:26:22,14.43
1751898445,2025-07-07 11:27:25,13.97
1751898505,2025-07-07 11:28:25,14.02
1751898564,2025-07-07 11:29:24,14.11
1751898622,2025-07-07 11:30:22,14.22
1751898682,2025-07-07 11:31:22,13.99
1751898742,2025-07-07 11:32:22,13.94
1751898805,2025-07-07 11:33:25,14.05
1751898868,2025-07-07 11:34:28,14.26
1751898930,2025-07-07 11:35:30,13.71
1751898986,2025-07-07 11:36:26,14.19
1751899052,2025-07-07 11:37:32,13.65
1751899109,2025-07-07 11:38:29,13.63
1751899169,2025-07-07 11:39:29,13.52
1751899233,2025-07-07 11:40:33,13.6
1751899292,2025-07-07 11:41:32,13.33
1751899357,2025-07-07 11:42:37,13.59
1751899415,2025-07-07 11:43:35,13.67
1751899473,2025-07-07 11:44:33,13.13
1751899534,2025-07-07 11:45:34,13.12
1751899595,2025-07-07 11:46:35,13.72
1751899652,2025-07-07 11:47:32,13.53
1751899714,2025-07-07 11:48:34,13.79
1751899780,2025-07-07 11:49:40,13.6
1751899840,2025-07-07 11:50:40,13.44
1751899904,2025-07-07 11:51:44,13.89
1751899962,2025-07-07 11:52:42,13.76
1751900025,2025-07-07 11:53:45,13.92
1751900085,2025-07-07 11:54:45,14.01
1751900137,2025-07-07 11:55:37,13.8
1751900195,2025-07-07 11:56:35,14.34
1751900255,2025-07-07 11:57:35,13.38
1751900315,2025-07-07 11:58:35,13.98
1751900375,2025-07-07 11:59:35,13.53
1751900432,2025-07-07 12:00:32,13.99
1751900493,2025-07-07 12:01:33,13.34
1751900553,2025-07-07 12:02:33,31.47
1751900611,2025-07-07 12:03:31,13.59
1751900673,2025-07-07 12:04:33,13.29
1751900734,2025-07-07 12:05:34,13.97
1751900795,2025-07-07 12:06:35,14.08
1751900854,2025-07-07 12:07:34,13.88
1751900911,2025-07-07 12:08:31,13.5
1751900969,2025-07-07 12:09:29,13.54
1751901026,2025-07-07 12:10:26,13.56
1751901086,2025-07-07 12:11:26,13.92
1751901148,2025-07-07 12:12:28,13.28
1751901211,2025-07-07 12:13:31,13.26
1751901272,2025-07-07 12:14:32,13.11
1751901336,2025-07-07 12:15:36,13.68
1751901393,2025-07-07 12:16:33,13.04
1751901454,2025-07-07 12:17:34,13.06
1751901512,2025-07-07 12:18:32,13.56
1751901574,2025-07-07 12:19:34,13.73
1751901636,2025-07-07 12:20:36,13.21
1751901693,2025-07-07 12:21:33,13.71
1751901749,2025-07-07 12:22:29,13.64
1751901809,2025-07-07 12:23:29,13.65
1751901869,2025-07-07 12:24:29,13.79
1751901931,2025-07-07 12:25:31,13.69
