Timestamp,Data,Atraso(ms)
1749891813,2025-06-14 06:03:33,17.71
1749891874,2025-06-14 06:04:34,17.79
1749891934,2025-06-14 06:05:34,16.95
1749891993,2025-06-14 06:06:33,17.64
1749892052,2025-06-14 06:07:32,17.42
1749892109,2025-06-14 06:08:29,17.99
1749892165,2025-06-14 06:09:25,17.6
1749892225,2025-06-14 06:10:25,17.13
1749892287,2025-06-14 06:11:27,17.19
1749892344,2025-06-14 06:12:24,17.68
1749892406,2025-06-14 06:13:26,17.58
1749892471,2025-06-14 06:14:31,17.42
1749892529,2025-06-14 06:15:29,17.52
1749892588,2025-06-14 06:16:28,18.23
1749892651,2025-06-14 06:17:31,17.25
1749892707,2025-06-14 06:18:27,17.47
1749892761,2025-06-14 06:19:21,16.99
1749892821,2025-06-14 06:20:21,16.78
1749892880,2025-06-14 06:21:20,17.86
1749892943,2025-06-14 06:22:23,17.76
1749893002,2025-06-14 06:23:22,16.97
1749893061,2025-06-14 06:24:21,17.22
1749893117,2025-06-14 06:25:17,16.8
1749893178,2025-06-14 06:26:18,17.83
1749893242,2025-06-14 06:27:22,16.92
1749893297,2025-06-14 06:28:17,17.3
1749893351,2025-06-14 06:29:11,17.77
1749893411,2025-06-14 06:30:11,17.14
1749893468,2025-06-14 06:31:08,17.36
1749893528,2025-06-14 06:32:08,17.72
1749893589,2025-06-14 06:33:09,16.96
1749893645,2025-06-14 06:34:05,17.34
1749893708,2025-06-14 06:35:08,16.97
1749893766,2025-06-14 06:36:06,17.11
1749893825,2025-06-14 06:37:05,17.2
1749893881,2025-06-14 06:38:01,17.26
1749893942,2025-06-14 06:39:02,17.33
1749893998,2025-06-14 06:39:58,17.58
1749894058,2025-06-14 06:40:58,17.13
1749894117,2025-06-14 06:41:57,17.44
1749894177,2025-06-14 06:42:57,17.3
1749894240,2025-06-14 06:44:00,17.56
1749894297,2025-06-14 06:44:57,17.14
1749894362,2025-06-14 06:46:02,17.53
1749894419,2025-06-14 06:46:59,17.9
1749894480,2025-06-14 06:48:00,17.43
1749894541,2025-06-14 06:49:01,17.98
1749894602,2025-06-14 06:50:02,17.26
1749894663,2025-06-14 06:51:03,16.9
1749894722,2025-06-14 06:52:02,18.84
1749894781,2025-06-14 06:53:01,17.8
1749894843,2025-06-14 06:54:03,17.09
1749894905,2025-06-14 06:55:05,16.64
1749894967,2025-06-14 06:56:07,16.4
1749895030,2025-06-14 06:57:10,16.66
1749895089,2025-06-14 06:58:09,16.89
1749895145,2025-06-14 06:59:05,16.66
1749895205,2025-06-14 07:00:05,16.64
1749895265,2025-06-14 07:01:05,16.63
1749895324,2025-06-14 07:02:04,16.66
1749895383,2025-06-14 07:03:03,17.07
1749895444,2025-06-14 07:04:04,17.31
1749895507,2025-06-14 07:05:07,16.9
1749895565,2025-06-14 07:06:05,16.42
1749895623,2025-06-14 07:07:03,16.77
1749895679,2025-06-14 07:07:59,16.95
1749895742,2025-06-14 07:09:02,17.28
1749895803,2025-06-14 07:10:03,16.56
1749895863,2025-06-14 07:11:03,16.45
1749895926,2025-06-14 07:12:06,16.85
1749895992,2025-06-14 07:13:12,16.83
1749896050,2025-06-14 07:14:10,16.67
1749896104,2025-06-14 07:15:04,16.75
1749896163,2025-06-14 07:16:03,17.09
1749896221,2025-06-14 07:17:01,16.96
1749896286,2025-06-14 07:18:06,16.69
1749896348,2025-06-14 07:19:08,16.52
1749896411,2025-06-14 07:20:11,16.6
1749896469,2025-06-14 07:21:09,16.47
1749896533,2025-06-14 07:22:13,16.96
1749896593,2025-06-14 07:23:13,16.73
1749896655,2025-06-14 07:24:15,17.21
1749896719,2025-06-14 07:25:19,16.89
1749896778,2025-06-14 07:26:18,16.7
1749896835,2025-06-14 07:27:15,16.78
1749896892,2025-06-14 07:28:12,16.93
1749896948,2025-06-14 07:29:08,17.01
1749897008,2025-06-14 07:30:08,16.71
1749897068,2025-06-14 07:31:08,17.02
1749897129,2025-06-14 07:32:09,17.49
1749897191,2025-06-14 07:33:11,16.89
1749897253,2025-06-14 07:34:13,17.31
1749897314,2025-06-14 07:35:14,17.27
1749897373,2025-06-14 07:36:13,17.18
1749897435,2025-06-14 07:37:15,17.18
1749897490,2025-06-14 07:38:10,17.09
1749897545,2025-06-14 07:39:05,17.26
1749897606,2025-06-14 07:40:06,16.78
1749897666,2025-06-14 07:41:06,16.46
1749897723,2025-06-14 07:42:03,17.9
1749897781,2025-06-14 07:43:01,16.72
1749897841,2025-06-14 07:44:01,17.46
1749897904,2025-06-14 07:45:04,17.01
1749897963,2025-06-14 07:46:03,16.64
1749898027,2025-06-14 07:47:07,16.91
1749898088,2025-06-14 07:48:08,16.63
1749898150,2025-06-14 07:49:10,16.72
1749898210,2025-06-14 07:50:10,16.6
1749898272,2025-06-14 07:51:12,17.22
1749898332,2025-06-14 07:52:12,17.37
1749898391,2025-06-14 07:53:11,17.54
1749898452,2025-06-14 07:54:12,18.1
1749898515,2025-06-14 07:55:15,17.16
1749898572,2025-06-14 07:56:12,17.64
1749898629,2025-06-14 07:57:09,17.16
1749898686,2025-06-14 07:58:06,17.38
1749898747,2025-06-14 07:59:07,17.93
1749898809,2025-06-14 08:00:09,17.72
1749898870,2025-06-14 08:01:10,17.2
1749898928,2025-06-14 08:02:08,17.42
1749898988,2025-06-14 08:03:08,17.78
1749899046,2025-06-14 08:04:06,17.51
1749899103,2025-06-14 08:05:03,17.23
1749899163,2025-06-14 08:06:03,17.19
1749899220,2025-06-14 08:07:00,17.33
1749899276,2025-06-14 08:07:56,17.27
1749899339,2025-06-14 08:08:59,17.31
1749899394,2025-06-14 08:09:54,17.4
1749899454,2025-06-14 08:10:54,17.48
1749899515,2025-06-14 08:11:55,23.31
1749899577,2025-06-14 08:12:57,17.25
1749899637,2025-06-14 08:13:57,17.63
1749899697,2025-06-14 08:14:57,17.82
1749899754,2025-06-14 08:15:54,17.19
1749899815,2025-06-14 08:16:55,16.99
1749899873,2025-06-14 08:17:53,17.72
1749899936,2025-06-14 08:18:56,17.64
1749899991,2025-06-14 08:19:51,17.7
1749900050,2025-06-14 08:20:50,16.67
1749900104,2025-06-14 08:21:44,16.68
1749900167,2025-06-14 08:22:47,16.63
1749900224,2025-06-14 08:23:44,17.06
1749900280,2025-06-14 08:24:40,16.5
1749900342,2025-06-14 08:25:42,16.62
1749900401,2025-06-14 08:26:41,16.44
1749900463,2025-06-14 08:27:43,16.77
1749900518,2025-06-14 08:28:38,16.89
1749900575,2025-06-14 08:29:35,16.94
1749900636,2025-06-14 08:30:36,16.58
1749900698,2025-06-14 08:31:38,17.36
1749900761,2025-06-14 08:32:41,16.88
1749900817,2025-06-14 08:33:37,17.15
1749900880,2025-06-14 08:34:40,16.65
1749900941,2025-06-14 08:35:41,16.46
1749901000,2025-06-14 08:36:40,16.82
1749901063,2025-06-14 08:37:43,16.77
1749901123,2025-06-14 08:38:43,16.97
