Timestamp,Data,Atraso(ms)
1751893490,2025-07-07 10:04:50,24.13
1751893546,2025-07-07 10:05:46,24.32
1751893605,2025-07-07 10:06:45,23.57
1751893665,2025-07-07 10:07:45,23.93
1751893723,2025-07-07 10:08:43,24.47
1751893786,2025-07-07 10:09:46,37.49
1751893848,2025-07-07 10:10:48,25.06
1751893909,2025-07-07 10:11:49,23.72
1751893969,2025-07-07 10:12:49,23.87
1751894029,2025-07-07 10:13:49,25.43
1751894087,2025-07-07 10:14:47,24.62
1751894144,2025-07-07 10:15:44,24.36
1751894201,2025-07-07 10:16:41,23.99
1751894260,2025-07-07 10:17:40,24.36
1751894324,2025-07-07 10:18:44,24.04
1751894383,2025-07-07 10:19:43,24.02
1751894441,2025-07-07 10:20:41,28.53
1751894501,2025-07-07 10:21:41,28.79
1751894560,2025-07-07 10:22:40,29.04
1751894621,2025-07-07 10:23:41,29.48
1751894681,2025-07-07 10:24:41,29.26
1751894737,2025-07-07 10:25:37,29.47
1751894794,2025-07-07 10:26:34,29.05
1751894853,2025-07-07 10:27:33,29.05
1751894912,2025-07-07 10:28:32,29.32
1751894975,2025-07-07 10:29:35,29.62
1751895034,2025-07-07 10:30:34,29.23
1751895091,2025-07-07 10:31:31,29.47
1751895152,2025-07-07 10:32:32,28.17
1751895209,2025-07-07 10:33:29,27.83
1751895270,2025-07-07 10:34:30,30.02
1751895329,2025-07-07 10:35:29,28.07
1751895390,2025-07-07 10:36:30,28.11
1751895449,2025-07-07 10:37:29,28.24
1751895509,2025-07-07 10:38:29,28.26
1751895571,2025-07-07 10:39:31,28.31
1751895634,2025-07-07 10:40:34,28.43
1751895692,2025-07-07 10:41:32,28.25
1751895751,2025-07-07 10:42:31,28.23
1751895813,2025-07-07 10:43:33,28.4
1751895874,2025-07-07 10:44:34,28.76
1751895931,2025-07-07 10:45:31,28.4
1751895988,2025-07-07 10:46:28,28.43
1751896050,2025-07-07 10:47:30,28.41
1751896112,2025-07-07 10:48:32,28.61
1751896176,2025-07-07 10:49:36,28.39
1751896235,2025-07-07 10:50:35,28.11
1751896296,2025-07-07 10:51:36,29.27
1751896354,2025-07-07 10:52:34,31.74
1751896412,2025-07-07 10:53:32,31.04
1751896469,2025-07-07 10:54:29,31.18
1751896530,2025-07-07 10:55:30,32.6
1751896587,2025-07-07 10:56:27,31.06
1751896650,2025-07-07 10:57:30,30.91
1751896711,2025-07-07 10:58:31,31.46
1751896771,2025-07-07 10:59:31,29.38
1751896834,2025-07-07 11:00:34,24.82
1751896899,2025-07-07 11:01:39,25.17
1751896962,2025-07-07 11:02:42,25.07
1751897022,2025-07-07 11:03:42,25.25
1751897080,2025-07-07 11:04:40,25.73
1751897141,2025-07-07 11:05:41,24.9
1751897201,2025-07-07 11:06:41,25.46
1751897262,2025-07-07 11:07:42,25.41
1751897321,2025-07-07 11:08:41,25.01
1751897386,2025-07-07 11:09:46,25.41
1751897442,2025-07-07 11:10:42,25.4
1751897502,2025-07-07 11:11:42,25.49
1751897561,2025-07-07 11:12:41,25.6
1751897619,2025-07-07 11:13:39,25.59
1751897677,2025-07-07 11:14:37,26.05
1751897735,2025-07-07 11:15:35,25.09
1751897794,2025-07-07 11:16:34,25.33
1751897849,2025-07-07 11:17:29,25.34
1751897906,2025-07-07 11:18:26,25.76
1751897965,2025-07-07 11:19:25,25.6
1751898027,2025-07-07 11:20:27,25.45
1751898088,2025-07-07 11:21:28,27.31
1751898147,2025-07-07 11:22:27,29.54
1751898208,2025-07-07 11:23:28,29.61
1751898269,2025-07-07 11:24:29,30.34
1751898327,2025-07-07 11:25:27,29.34
1751898387,2025-07-07 11:26:27,29.31
1751898450,2025-07-07 11:27:30,29.82
1751898513,2025-07-07 11:28:33,29.1
1751898572,2025-07-07 11:29:32,30.15
1751898630,2025-07-07 11:30:30,29.83
1751898712,2025-07-07 11:31:52,29.21
1751898750,2025-07-07 11:32:30,29.35
