Timestamp,Data,Atraso(ms)
1749270587,2025-06-07 01:29:47,34.75
1749270644,2025-06-07 01:30:44,34.76
1749270704,2025-06-07 01:31:44,35.01
1749270765,2025-06-07 01:32:45,34.4
1749270825,2025-06-07 01:33:45,35.1
1749270887,2025-06-07 01:34:47,34.84
1749270947,2025-06-07 01:35:47,35.12
1749271006,2025-06-07 01:36:46,34.93
1749271064,2025-06-07 01:37:44,34.62
1749271124,2025-06-07 01:38:44,34.91
1749271185,2025-06-07 01:39:45,35.09
1749271246,2025-06-07 01:40:46,34.89
1749271307,2025-06-07 01:41:47,35.06
1749271369,2025-06-07 01:42:49,35.46
1749271433,2025-06-07 01:43:53,35.08
1749271496,2025-06-07 01:44:56,35.12
1749271557,2025-06-07 01:45:57,35.41
1749271623,2025-06-07 01:47:03,35.21
1749271682,2025-06-07 01:48:02,34.96
1749271740,2025-06-07 01:49:00,34.91
1749271797,2025-06-07 01:49:57,35.75
1749271859,2025-06-07 01:50:59,32.3
1749271919,2025-06-07 01:51:59,25.27
1749271982,2025-06-07 01:53:02,25.1
1749272042,2025-06-07 01:54:02,26.02
1749272102,2025-06-07 01:55:02,26.29
1749272163,2025-06-07 01:56:03,26.59
1749272221,2025-06-07 01:57:01,26.52
1749272276,2025-06-07 01:57:56,26.41
1749272335,2025-06-07 01:58:55,26.28
1749272395,2025-06-07 01:59:55,26.41
1749272458,2025-06-07 02:00:58,26.85
1749272520,2025-06-07 02:02:00,26.69
1749272579,2025-06-07 02:02:59,26.38
1749272638,2025-06-07 02:03:58,26.2
1749272698,2025-06-07 02:04:58,26.6
1749272752,2025-06-07 02:05:52,26.41
1749272816,2025-06-07 02:06:56,26.2
1749272876,2025-06-07 02:07:56,25.98
1749272934,2025-06-07 02:08:54,26.24
1749272996,2025-06-07 02:09:56,26.35
1749273056,2025-06-07 02:10:56,26.17
1749273122,2025-06-07 02:12:02,25.6
1749273183,2025-06-07 02:13:03,24.98
1749273241,2025-06-07 02:14:01,25.4
1749273298,2025-06-07 02:14:58,25.15
1749273357,2025-06-07 02:15:57,25.12
1749273417,2025-06-07 02:16:57,24.86
1749273478,2025-06-07 02:17:58,24.92
1749273541,2025-06-07 02:19:01,25.01
1749273604,2025-06-07 02:20:04,26.52
1749273666,2025-06-07 02:21:06,35.1
1749273728,2025-06-07 02:22:08,34.82
1749273791,2025-06-07 02:23:11,35.13
1749273849,2025-06-07 02:24:09,35.38
1749273911,2025-06-07 02:25:11,35.41
1749273973,2025-06-07 02:26:13,35.16
1749274031,2025-06-07 02:27:11,35.42
1749274090,2025-06-07 02:28:10,35.22
1749274148,2025-06-07 02:29:08,35.12
1749274212,2025-06-07 02:30:12,34.82
1749274275,2025-06-07 02:31:15,34.8
1749274336,2025-06-07 02:32:16,35.32
1749274399,2025-06-07 02:33:19,34.93
1749274461,2025-06-07 02:34:21,35.2
1749274524,2025-06-07 02:35:24,35.22
1749274586,2025-06-07 02:36:26,35.03
1749274648,2025-06-07 02:37:28,35.58
1749274709,2025-06-07 02:38:29,35.08
1749274771,2025-06-07 02:39:31,34.94
1749274834,2025-06-07 02:40:34,35.38
1749274892,2025-06-07 02:41:32,35.1
1749274950,2025-06-07 02:42:30,35.63
1749275013,2025-06-07 02:43:33,34.89
1749275077,2025-06-07 02:44:37,35.2
1749275138,2025-06-07 02:45:38,35.06
1749275197,2025-06-07 02:46:37,34.72
1749275256,2025-06-07 02:47:36,34.71
1749275313,2025-06-07 02:48:33,34.42
1749275368,2025-06-07 02:49:28,34.77
1749275429,2025-06-07 02:50:29,31.38
1749275488,2025-06-07 02:51:28,24.74
1749275553,2025-06-07 02:52:33,24.81
1749275615,2025-06-07 02:53:35,24.61
1749275676,2025-06-07 02:54:36,24.51
1749275739,2025-06-07 02:55:39,24.84
1749275793,2025-06-07 02:56:33,24.82
1749275855,2025-06-07 02:57:35,25.03
1749275913,2025-06-07 02:58:33,24.96
1749275974,2025-06-07 02:59:34,25.42
1749276030,2025-06-07 03:00:30,25.12
1749276089,2025-06-07 03:01:29,24.84
1749276151,2025-06-07 03:02:31,25.05
1749276215,2025-06-07 03:03:35,24.76
1749276278,2025-06-07 03:04:38,24.84
1749276338,2025-06-07 03:05:38,24.47
1749276399,2025-06-07 03:06:39,25.09
1749276462,2025-06-07 03:07:42,25.17
1749276522,2025-06-07 03:08:42,24.99
1749276577,2025-06-07 03:09:37,25.14
1749276636,2025-06-07 03:10:36,24.9
1749276695,2025-06-07 03:11:35,25.88
1749276755,2025-06-07 03:12:35,24.83
1749276813,2025-06-07 03:13:33,25.09
1749276872,2025-06-07 03:14:32,25.08
1749276935,2025-06-07 03:15:35,25.48
1749276998,2025-06-07 03:16:38,25.44
1749277054,2025-06-07 03:17:34,24.31
1749277114,2025-06-07 03:18:34,25.04
1749277175,2025-06-07 03:19:35,24.37
1749277235,2025-06-07 03:20:35,27.61
1749277296,2025-06-07 03:21:36,34.87
1749277358,2025-06-07 03:22:38,34.53
1749277418,2025-06-07 03:23:38,35.15
1749277480,2025-06-07 03:24:40,34.97
1749277541,2025-06-07 03:25:41,33.9
1749277606,2025-06-07 03:26:46,34.14
1749277670,2025-06-07 03:27:50,34.51
1749277730,2025-06-07 03:28:50,34.66
1749277787,2025-06-07 03:29:47,34.03
1749277849,2025-06-07 03:30:49,34.27
1749277906,2025-06-07 03:31:46,33.93
1749277967,2025-06-07 03:32:47,33.93
1749278030,2025-06-07 03:33:50,33.9
