Timestamp,Data,Atraso(ms)
1749270604,2025-06-07 01:30:04,10.89
1749270662,2025-06-07 01:31:02,10.88
1749270720,2025-06-07 01:32:00,10.87
1749270780,2025-06-07 01:33:00,10.85
1749270841,2025-06-07 01:34:01,10.84
1749270901,2025-06-07 01:35:01,10.84
1749270960,2025-06-07 01:36:00,10.87
1749271020,2025-06-07 01:37:00,10.82
1749271082,2025-06-07 01:38:02,10.77
1749271145,2025-06-07 01:39:05,10.85
1749271206,2025-06-07 01:40:06,10.84
1749271270,2025-06-07 01:41:10,10.81
1749271322,2025-06-07 01:42:02,10.79
1749271379,2025-06-07 01:42:59,10.82
1749271438,2025-06-07 01:43:58,10.86
1749271497,2025-06-07 01:44:57,10.78
1749271556,2025-06-07 01:45:56,11.09
1749271619,2025-06-07 01:46:59,10.79
1749271678,2025-06-07 01:47:58,10.74
1749271737,2025-06-07 01:48:57,10.94
1749271797,2025-06-07 01:49:57,10.77
1749271855,2025-06-07 01:50:55,10.76
1749271912,2025-06-07 01:51:52,10.9
1749271970,2025-06-07 01:52:50,10.94
1749272029,2025-06-07 01:53:49,10.85
1749272090,2025-06-07 01:54:50,10.92
1749272154,2025-06-07 01:55:54,10.9
1749272211,2025-06-07 01:56:51,10.88
1749272269,2025-06-07 01:57:49,10.89
1749272332,2025-06-07 01:58:52,10.91
1749272390,2025-06-07 01:59:50,10.87
1749272452,2025-06-07 02:00:52,11.14
1749272513,2025-06-07 02:01:53,11.23
1749272575,2025-06-07 02:02:55,10.87
1749272637,2025-06-07 02:03:57,11.28
1749272701,2025-06-07 02:05:01,10.97
1749272762,2025-06-07 02:06:02,11.16
1749272825,2025-06-07 02:07:05,11.05
1749272884,2025-06-07 02:08:04,11.11
1749272945,2025-06-07 02:09:05,10.93
1749273002,2025-06-07 02:10:02,11.17
1749273061,2025-06-07 02:11:01,11.01
1749273122,2025-06-07 02:12:02,10.92
1749273179,2025-06-07 02:12:59,11.05
1749273232,2025-06-07 02:13:52,10.9
1749273292,2025-06-07 02:14:52,11.22
1749273352,2025-06-07 02:15:52,11.28
1749273412,2025-06-07 02:16:52,11.12
1749273469,2025-06-07 02:17:49,11.01
1749273531,2025-06-07 02:18:51,10.9
1749273592,2025-06-07 02:19:52,11.21
1749273652,2025-06-07 02:20:52,10.88
1749273710,2025-06-07 02:21:50,10.88
1749273772,2025-06-07 02:22:52,10.88
1749273831,2025-06-07 02:23:51,10.94
1749273890,2025-06-07 02:24:50,10.88
1749273950,2025-06-07 02:25:50,10.95
1749274012,2025-06-07 02:26:52,11.19
1749274068,2025-06-07 02:27:48,10.9
1749274127,2025-06-07 02:28:47,10.89
1749274194,2025-06-07 02:29:54,10.86
1749274253,2025-06-07 02:30:53,10.9
1749274315,2025-06-07 02:31:55,10.88
1749274376,2025-06-07 02:32:56,10.98
1749274437,2025-06-07 02:33:57,10.87
1749274498,2025-06-07 02:34:58,10.89
1749274558,2025-06-07 02:35:58,10.91
1749274616,2025-06-07 02:36:56,10.93
1749274680,2025-06-07 02:38:00,10.91
1749274738,2025-06-07 02:38:58,10.9
1749274798,2025-06-07 02:39:58,10.98
1749274858,2025-06-07 02:40:58,11.21
1749274924,2025-06-07 02:42:04,10.93
1749274983,2025-06-07 02:43:03,11.19
1749275042,2025-06-07 02:44:02,10.95
1749275104,2025-06-07 02:45:04,10.94
1749275165,2025-06-07 02:46:05,10.99
1749275222,2025-06-07 02:47:02,10.92
1749275282,2025-06-07 02:48:02,10.93
1749275343,2025-06-07 02:49:03,10.95
1749275402,2025-06-07 02:50:02,10.92
1749275461,2025-06-07 02:51:01,10.98
1749275520,2025-06-07 02:52:00,10.99
1749275579,2025-06-07 02:52:59,10.94
1749275637,2025-06-07 02:53:57,11.0
1749275696,2025-06-07 02:54:56,10.99
1749275759,2025-06-07 02:55:59,11.03
1749275820,2025-06-07 02:57:00,11.12
1749275879,2025-06-07 02:57:59,11.14
1749275940,2025-06-07 02:59:00,10.99
1749276002,2025-06-07 03:00:02,10.97
1749276064,2025-06-07 03:01:04,11.09
1749276121,2025-06-07 03:02:01,10.96
1749276182,2025-06-07 03:03:02,11.0
1749276242,2025-06-07 03:04:02,10.96
1749276307,2025-06-07 03:05:07,11.01
1749276367,2025-06-07 03:06:07,11.05
1749276427,2025-06-07 03:07:07,11.14
1749276483,2025-06-07 03:08:03,11.23
1749276543,2025-06-07 03:09:03,11.24
1749276605,2025-06-07 03:10:05,11.24
1749276667,2025-06-07 03:11:07,10.98
1749276729,2025-06-07 03:12:09,11.06
1749276783,2025-06-07 03:13:03,11.05
1749276844,2025-06-07 03:14:04,11.14
1749276902,2025-06-07 03:15:02,11.08
1749276961,2025-06-07 03:16:01,11.62
1749277021,2025-06-07 03:17:01,11.07
1749277081,2025-06-07 03:18:01,11.31
1749277143,2025-06-07 03:19:03,10.96
1749277203,2025-06-07 03:20:03,10.99
1749277263,2025-06-07 03:21:03,11.26
1749277324,2025-06-07 03:22:04,11.02
1749277380,2025-06-07 03:23:00,11.01
1749277440,2025-06-07 03:24:00,11.12
1749277501,2025-06-07 03:25:01,11.02
1749277563,2025-06-07 03:26:03,10.94
1749277619,2025-06-07 03:26:59,11.06
1749277678,2025-06-07 03:27:58,10.93
1749277740,2025-06-07 03:29:00,10.95
1749277798,2025-06-07 03:29:58,10.95
1749277858,2025-06-07 03:30:58,11.05
1749277922,2025-06-07 03:32:02,10.96
1749277981,2025-06-07 03:33:01,10.96
1749278041,2025-06-07 03:34:01,11.05
1749278103,2025-06-07 03:35:03,10.99
1749278160,2025-06-07 03:36:00,11.02
1749278224,2025-06-07 03:37:04,10.97
1749278279,2025-06-07 03:37:59,10.96
1749278342,2025-06-07 03:39:02,11.16
1749278402,2025-06-07 03:40:02,11.0
1749278464,2025-06-07 03:41:04,10.95
1749278527,2025-06-07 03:42:07,11.02
1749278588,2025-06-07 03:43:08,10.98
1749278649,2025-06-07 03:44:09,11.0
1749278710,2025-06-07 03:45:10,10.95
1749278773,2025-06-07 03:46:13,11.81
1749278835,2025-06-07 03:47:15,11.12
1749278894,2025-06-07 03:48:14,11.02
1749278954,2025-06-07 03:49:14,11.02
1749279016,2025-06-07 03:50:16,10.98
1749279074,2025-06-07 03:51:14,11.07
1749279136,2025-06-07 03:52:16,11.47
1749279194,2025-06-07 03:53:14,11.06
1749279252,2025-06-07 03:54:12,11.22
1749279312,2025-06-07 03:55:12,11.23
1749279373,2025-06-07 03:56:13,11.0
1749279433,2025-06-07 03:57:13,11.03
1749279496,2025-06-07 03:58:16,11.0
1749279551,2025-06-07 03:59:11,11.03
1749279609,2025-06-07 04:00:09,11.2
1749279669,2025-06-07 04:01:09,10.94
1749279728,2025-06-07 04:02:08,11.21
1749279784,2025-06-07 04:03:04,10.85
1749279850,2025-06-07 04:04:10,10.89
1749279909,2025-06-07 04:05:09,10.85
1749279967,2025-06-07 04:06:07,10.93
1749280030,2025-06-07 04:07:10,10.87
1749280089,2025-06-07 04:08:09,10.91
1749280151,2025-06-07 04:09:11,10.95
1749280214,2025-06-07 04:10:14,11.08
1749280272,2025-06-07 04:11:12,10.92
1749280331,2025-06-07 04:12:11,10.98
1749280391,2025-06-07 04:13:11,11.01
1749280452,2025-06-07 04:14:12,10.87
1749280512,2025-06-07 04:15:12,10.99
1749280570,2025-06-07 04:16:10,10.88
1749280629,2025-06-07 04:17:09,10.91
1749280693,2025-06-07 04:18:13,11.06
1749280751,2025-06-07 04:19:11,10.96
1749280815,2025-06-07 04:20:15,20.06
1749280876,2025-06-07 04:21:16,22.3
1749280936,2025-06-07 04:22:16,10.93
1749280993,2025-06-07 04:23:13,10.88
1749281051,2025-06-07 04:24:11,11.0
1749281111,2025-06-07 04:25:11,10.88
1749281171,2025-06-07 04:26:11,11.07
1749281229,2025-06-07 04:27:09,10.86
1749281295,2025-06-07 04:28:15,11.01
1749281355,2025-06-07 04:29:15,10.93
1749281419,2025-06-07 04:30:19,10.92
1749281478,2025-06-07 04:31:18,10.92
1749281538,2025-06-07 04:32:18,10.9
1749281596,2025-06-07 04:33:16,11.09
1749281658,2025-06-07 04:34:18,10.91
1749281718,2025-06-07 04:35:18,10.93
1749281775,2025-06-07 04:36:15,10.96
1749281834,2025-06-07 04:37:14,10.93
1749281894,2025-06-07 04:38:14,11.03
1749281953,2025-06-07 04:39:13,10.97
1749282010,2025-06-07 04:40:10,10.98
1749282071,2025-06-07 04:41:11,11.08
1749282131,2025-06-07 04:42:11,10.94
1749282189,2025-06-07 04:43:09,10.94
1749282248,2025-06-07 04:44:08,11.21
1749282308,2025-06-07 04:45:08,10.98
1749282365,2025-06-07 04:46:05,11.0
1749282425,2025-06-07 04:47:05,10.96
1749282487,2025-06-07 04:48:07,10.95
1749282545,2025-06-07 04:49:05,10.93
1749282605,2025-06-07 04:50:05,10.93
1749282664,2025-06-07 04:51:04,10.96
1749282722,2025-06-07 04:52:02,11.0
1749282783,2025-06-07 04:53:03,10.96
1749282849,2025-06-07 04:54:09,11.12
1749282907,2025-06-07 04:55:07,10.88
1749282965,2025-06-07 04:56:05,10.9
1749283026,2025-06-07 04:57:06,10.91
1749283087,2025-06-07 04:58:07,11.06
1749283145,2025-06-07 04:59:05,10.91
1749283209,2025-06-07 05:00:09,10.89
1749283271,2025-06-07 05:01:11,10.91
1749283331,2025-06-07 05:02:11,10.96
1749283388,2025-06-07 05:03:08,10.87
1749283448,2025-06-07 05:04:08,11.14
1749283509,2025-06-07 05:05:09,10.86
1749283569,2025-06-07 05:06:09,10.9
1749283631,2025-06-07 05:07:11,10.85
1749283694,2025-06-07 05:08:14,10.99
1749283753,2025-06-07 05:09:13,10.99
1749283814,2025-06-07 05:10:14,10.88
1749283870,2025-06-07 05:11:10,11.12
1749283931,2025-06-07 05:12:11,11.06
1749283992,2025-06-07 05:13:12,11.09
1749284051,2025-06-07 05:14:11,11.19
1749284110,2025-06-07 05:15:10,11.12
1749284164,2025-06-07 05:16:04,11.35
1749284224,2025-06-07 05:17:04,11.79
1749284284,2025-06-07 05:18:04,11.47
1749284347,2025-06-07 05:19:07,11.74
1749284405,2025-06-07 05:20:05,11.42
1749284465,2025-06-07 05:21:05,11.96
1749284525,2025-06-07 05:22:05,12.19
1749284583,2025-06-07 05:23:03,12.31
1749284642,2025-06-07 05:24:02,12.68
1749284700,2025-06-07 05:25:00,12.66
1749284762,2025-06-07 05:26:02,12.62
1749284819,2025-06-07 05:26:59,13.27
1749284882,2025-06-07 05:28:02,12.46
1749284944,2025-06-07 05:29:04,13.36
1749285003,2025-06-07 05:30:03,12.53
1749285064,2025-06-07 05:31:04,12.6
1749285122,2025-06-07 05:32:02,12.63
1749285184,2025-06-07 05:33:04,12.89
1749285243,2025-06-07 05:34:03,12.44
1749285305,2025-06-07 05:35:05,12.73
1749285366,2025-06-07 05:36:06,13.23
1749285425,2025-06-07 05:37:05,12.48
1749285483,2025-06-07 05:38:03,12.81
1749285542,2025-06-07 05:39:02,12.73
1749285598,2025-06-07 05:39:58,12.74
1749285657,2025-06-07 05:40:57,13.41
1749285720,2025-06-07 05:42:00,12.21
1749285782,2025-06-07 05:43:02,12.89
1749285840,2025-06-07 05:44:00,12.66
1749285899,2025-06-07 05:44:59,13.01
1749285957,2025-06-07 05:45:57,13.32
1749286018,2025-06-07 05:46:58,12.93
1749286076,2025-06-07 05:47:56,12.54
1749286135,2025-06-07 05:48:55,12.87
1749286195,2025-06-07 05:49:55,12.93
1749286258,2025-06-07 05:50:58,12.38
1749286319,2025-06-07 05:51:59,12.81
1749286374,2025-06-07 05:52:54,13.51
1749286436,2025-06-07 05:53:56,12.93
1749286501,2025-06-07 05:55:01,11.54
1749286563,2025-06-07 05:56:03,11.93
1749286623,2025-06-07 05:57:03,12.21
1749286682,2025-06-07 05:58:02,12.17
1749286741,2025-06-07 05:59:01,11.87
1749286805,2025-06-07 06:00:05,12.01
1749286863,2025-06-07 06:01:03,12.14
1749286922,2025-06-07 06:02:02,12.26
1749286982,2025-06-07 06:03:02,12.38
1749287040,2025-06-07 06:04:00,12.14
1749287100,2025-06-07 06:05:00,11.99
1749287160,2025-06-07 06:06:00,12.43
1749287217,2025-06-07 06:06:57,11.95
1749287277,2025-06-07 06:07:57,11.54
1749287339,2025-06-07 06:08:59,13.03
1749287400,2025-06-07 06:10:00,12.26
1749287467,2025-06-07 06:11:07,12.32
1749287527,2025-06-07 06:12:07,11.86
1749287587,2025-06-07 06:13:07,12.24
1749287647,2025-06-07 06:14:07,11.68
1749287711,2025-06-07 06:15:11,11.76
1749287774,2025-06-07 06:16:14,12.32
1749287835,2025-06-07 06:17:15,11.68
1749287894,2025-06-07 06:18:14,12.46
1749287954,2025-06-07 06:19:14,11.39
1749288011,2025-06-07 06:20:11,12.12
1749288074,2025-06-07 06:21:14,11.09
1749288136,2025-06-07 06:22:16,11.42
1749288198,2025-06-07 06:23:18,10.89
1749288260,2025-06-07 06:24:20,11.09
1749288319,2025-06-07 06:25:19,11.82
1749288380,2025-06-07 06:26:20,11.31
1749288443,2025-06-07 06:27:23,11.14
1749288502,2025-06-07 06:28:22,10.91
1749288561,2025-06-07 06:29:21,11.05
1749288622,2025-06-07 06:30:22,11.07
1749288685,2025-06-07 06:31:25,10.75
1749288745,2025-06-07 06:32:25,10.88
1749288809,2025-06-07 06:33:29,10.93
1749288863,2025-06-07 06:34:23,10.79
1749288922,2025-06-07 06:35:22,11.25
1749288978,2025-06-07 06:36:18,10.84
1749289039,2025-06-07 06:37:19,10.88
1749289096,2025-06-07 06:38:16,10.79
1749289155,2025-06-07 06:39:15,10.98
1749289215,2025-06-07 06:40:15,11.23
1749289272,2025-06-07 06:41:12,10.77
1749289329,2025-06-07 06:42:09,10.7
1749289387,2025-06-07 06:43:07,10.93
1749289450,2025-06-07 06:44:10,10.8
1749289512,2025-06-07 06:45:12,11.48
1749289573,2025-06-07 06:46:13,10.67
1749289637,2025-06-07 06:47:17,10.66
1749289699,2025-06-07 06:48:19,10.76
1749289756,2025-06-07 06:49:16,10.69
1749289814,2025-06-07 06:50:14,11.38
1749289875,2025-06-07 06:51:15,10.71
1749289940,2025-06-07 06:52:20,10.7
1749289998,2025-06-07 06:53:18,10.79
1749290059,2025-06-07 06:54:19,10.78
1749290117,2025-06-07 06:55:17,12.45
1749290174,2025-06-07 06:56:14,10.73
1749290233,2025-06-07 06:57:13,10.82
1749290299,2025-06-07 06:58:19,10.8
1749290366,2025-06-07 06:59:26,10.82
1749290429,2025-06-07 07:00:29,11.16
1749290492,2025-06-07 07:01:32,10.8
1749290549,2025-06-07 07:02:29,10.88
1749290608,2025-06-07 07:03:28,10.86
1749290667,2025-06-07 07:04:27,10.8
1749290729,2025-06-07 07:05:29,11.18
1749290790,2025-06-07 07:06:30,10.77
1749290849,2025-06-07 07:07:29,10.74
1749290908,2025-06-07 07:08:28,10.69
1749290969,2025-06-07 07:09:29,10.76
1749291027,2025-06-07 07:10:27,11.55
1749291086,2025-06-07 07:11:26,10.79
1749291144,2025-06-07 07:12:24,10.84
1749291207,2025-06-07 07:13:27,10.99
1749291266,2025-06-07 07:14:26,10.8
1749291326,2025-06-07 07:15:26,10.82
1749291383,2025-06-07 07:16:23,10.66
1749291442,2025-06-07 07:17:22,10.63
1749291502,2025-06-07 07:18:22,10.62
1749291561,2025-06-07 07:19:21,10.83
1749291621,2025-06-07 07:20:21,12.21
1749291682,2025-06-07 07:21:22,10.72
1749291742,2025-06-07 07:22:22,10.64
1749291800,2025-06-07 07:23:20,10.64
1749291858,2025-06-07 07:24:18,10.6
1749291919,2025-06-07 07:25:19,10.85
1749291979,2025-06-07 07:26:19,10.65
1749292036,2025-06-07 07:27:16,10.8
1749292096,2025-06-07 07:28:16,10.84
1749292155,2025-06-07 07:29:15,10.68
1749292210,2025-06-07 07:30:10,11.05
1749292271,2025-06-07 07:31:11,10.78
1749292330,2025-06-07 07:32:10,10.97
1749292389,2025-06-07 07:33:09,10.84
1749292448,2025-06-07 07:34:08,10.91
1749292505,2025-06-07 07:35:05,11.52
1749292567,2025-06-07 07:36:07,10.91
1749292626,2025-06-07 07:37:06,10.98
1749292687,2025-06-07 07:38:07,10.91
1749292747,2025-06-07 07:39:07,10.96
1749292807,2025-06-07 07:40:07,11.75
1749292864,2025-06-07 07:41:04,11.19
1749292926,2025-06-07 07:42:06,10.91
1749292989,2025-06-07 07:43:09,10.84
1749293048,2025-06-07 07:44:08,10.9
1749293106,2025-06-07 07:45:06,10.89
1749293163,2025-06-07 07:46:03,10.81
1749293222,2025-06-07 07:47:02,10.8
1749293279,2025-06-07 07:47:59,10.87
1749293337,2025-06-07 07:48:57,11.04
1749293391,2025-06-07 07:49:51,12.03
1749293451,2025-06-07 07:50:51,11.02
1749293514,2025-06-07 07:51:54,10.89
1749293571,2025-06-07 07:52:51,11.31
1749293635,2025-06-07 07:53:55,11.61
1749293694,2025-06-07 07:54:54,12.17
1749293755,2025-06-07 07:55:55,11.57
1749293812,2025-06-07 07:56:52,11.66
1749293869,2025-06-07 07:57:49,11.58
1749293931,2025-06-07 07:58:51,11.65
1749293990,2025-06-07 07:59:50,12.15
1749294049,2025-06-07 08:00:49,11.67
1749294110,2025-06-07 08:01:50,11.65
1749294168,2025-06-07 08:02:48,11.65
1749294229,2025-06-07 08:03:49,11.74
1749294287,2025-06-07 08:04:47,12.44
1749294350,2025-06-07 08:05:50,12.03
1749294410,2025-06-07 08:06:50,11.67
1749294471,2025-06-07 08:07:51,11.68
1749294530,2025-06-07 08:08:50,11.81
