Timestamp,Data,Atraso(ms)
1749271071,2025-06-07 01:37:51,4.23
1749271129,2025-06-07 01:38:49,3.91
1749271192,2025-06-07 01:39:52,4.47
1749271253,2025-06-07 01:40:53,4.42
1749271315,2025-06-07 01:41:55,4.19
1749271378,2025-06-07 01:42:58,3.86
1749271443,2025-06-07 01:44:03,4.24
1749271500,2025-06-07 01:45:00,4.32
1749271560,2025-06-07 01:46:00,4.21
1749271618,2025-06-07 01:46:58,4.94
1749271684,2025-06-07 01:48:04,4.49
1749271744,2025-06-07 01:49:04,4.62
1749271803,2025-06-07 01:50:03,4.57
1749271863,2025-06-07 01:51:03,4.81
1749271924,2025-06-07 01:52:04,4.98
1749271983,2025-06-07 01:53:03,4.68
1749272040,2025-06-07 01:54:00,4.67
1749272100,2025-06-07 01:55:00,4.95
1749272161,2025-06-07 01:56:01,5.03
1749272223,2025-06-07 01:57:03,5.67
1749272284,2025-06-07 01:58:04,5.59
1749272339,2025-06-07 01:58:59,5.97
1749272399,2025-06-07 01:59:59,5.3
1749272459,2025-06-07 02:00:59,5.83
1749272517,2025-06-07 02:01:57,5.62
1749272577,2025-06-07 02:02:57,5.44
1749272641,2025-06-07 02:04:01,5.53
1749272695,2025-06-07 02:04:55,5.95
1749272756,2025-06-07 02:05:56,7.24
1749272815,2025-06-07 02:06:55,5.84
1749272871,2025-06-07 02:07:51,6.68
1749272930,2025-06-07 02:08:50,6.22
1749272991,2025-06-07 02:09:51,5.9
1749273049,2025-06-07 02:10:49,6.39
1749273107,2025-06-07 02:11:47,6.03
1749273164,2025-06-07 02:12:44,6.18
1749273225,2025-06-07 02:13:45,6.38
1749273289,2025-06-07 02:14:49,6.28
1749273354,2025-06-07 02:15:54,7.08
1749273416,2025-06-07 02:16:56,5.78
1749273477,2025-06-07 02:17:57,6.37
1749273533,2025-06-07 02:18:53,6.35
1749273594,2025-06-07 02:19:54,6.21
1749273656,2025-06-07 02:20:56,6.83
1749273715,2025-06-07 02:21:55,6.11
1749273775,2025-06-07 02:22:55,5.84
1749273835,2025-06-07 02:23:55,4.82
1749273893,2025-06-07 02:24:53,4.74
1749273954,2025-06-07 02:25:54,4.69
1749274017,2025-06-07 02:26:57,4.55
1749274075,2025-06-07 02:27:55,4.92
1749274136,2025-06-07 02:28:56,4.32
1749274194,2025-06-07 02:29:54,4.94
1749274257,2025-06-07 02:30:57,5.06
1749274319,2025-06-07 02:31:59,4.36
1749274383,2025-06-07 02:33:03,4.26
1749274443,2025-06-07 02:34:03,4.46
1749274507,2025-06-07 02:35:07,4.64
1749274566,2025-06-07 02:36:06,4.91
1749274627,2025-06-07 02:37:07,4.63
1749274686,2025-06-07 02:38:06,4.06
1749274748,2025-06-07 02:39:08,4.28
1749274810,2025-06-07 02:40:10,4.69
1749274868,2025-06-07 02:41:08,5.42
1749274930,2025-06-07 02:42:10,3.87
1749274996,2025-06-07 02:43:16,4.11
1749275054,2025-06-07 02:44:14,3.55
1749275112,2025-06-07 02:45:12,4.35
1749275177,2025-06-07 02:46:17,3.67
1749275238,2025-06-07 02:47:18,3.32
1749275295,2025-06-07 02:48:15,3.78
1749275355,2025-06-07 02:49:15,3.25
1749275414,2025-06-07 02:50:14,3.7
1749275474,2025-06-07 02:51:14,3.36
1749275532,2025-06-07 02:52:12,3.88
1749275591,2025-06-07 02:53:11,3.85
1749275655,2025-06-07 02:54:15,3.53
1749275713,2025-06-07 02:55:13,3.6
1749275770,2025-06-07 02:56:10,4.1
1749275830,2025-06-07 02:57:10,3.23
1749275890,2025-06-07 02:58:10,3.41
1749275950,2025-06-07 02:59:10,3.4
1749276008,2025-06-07 03:00:08,3.72
1749276070,2025-06-07 03:01:10,4.55
1749276132,2025-06-07 03:02:12,3.3
1749276192,2025-06-07 03:03:12,3.12
1749276253,2025-06-07 03:04:13,3.31
1749276313,2025-06-07 03:05:13,4.03
1749276371,2025-06-07 03:06:11,3.37
1749276435,2025-06-07 03:07:15,3.12
1749276493,2025-06-07 03:08:13,2.89
1749276553,2025-06-07 03:09:13,2.86
1749276613,2025-06-07 03:10:13,3.38
1749276673,2025-06-07 03:11:13,3.26
1749276730,2025-06-07 03:12:10,3.16
1749276788,2025-06-07 03:13:08,2.6
1749276846,2025-06-07 03:14:06,3.12
1749276905,2025-06-07 03:15:05,3.13
1749276963,2025-06-07 03:16:03,2.65
1749277021,2025-06-07 03:17:01,2.62
1749277082,2025-06-07 03:18:02,2.72
1749277143,2025-06-07 03:19:03,2.4
1749277204,2025-06-07 03:20:04,2.61
1749277268,2025-06-07 03:21:08,2.81
1749277328,2025-06-07 03:22:08,2.57
1749277386,2025-06-07 03:23:06,2.54
1749277451,2025-06-07 03:24:11,2.67
1749277512,2025-06-07 03:25:12,2.95
1749277569,2025-06-07 03:26:09,2.42
1749277627,2025-06-07 03:27:07,2.79
1749277687,2025-06-07 03:28:07,2.67
1749277747,2025-06-07 03:29:07,2.46
1749277807,2025-06-07 03:30:07,3.03
1749277866,2025-06-07 03:31:06,3.35
1749277923,2025-06-07 03:32:03,3.31
1749277985,2025-06-07 03:33:05,2.71
1749278042,2025-06-07 03:34:02,2.96
1749278098,2025-06-07 03:34:58,3.64
1749278158,2025-06-07 03:35:58,3.39
1749278218,2025-06-07 03:36:58,3.52
1749278279,2025-06-07 03:37:59,3.21
1749278342,2025-06-07 03:39:02,3.36
1749278400,2025-06-07 03:40:00,3.37
1749278462,2025-06-07 03:41:02,4.29
1749278520,2025-06-07 03:42:00,3.18
1749278581,2025-06-07 03:43:01,3.34
1749278642,2025-06-07 03:44:02,3.19
1749278700,2025-06-07 03:45:00,3.59
1749278762,2025-06-07 03:46:02,3.54
1749278821,2025-06-07 03:47:01,3.47
1749278884,2025-06-07 03:48:04,3.36
1749278949,2025-06-07 03:49:09,3.52
1749279009,2025-06-07 03:50:09,3.54
1749279075,2025-06-07 03:51:15,3.85
1749279137,2025-06-07 03:52:17,3.65
1749279194,2025-06-07 03:53:14,3.54
1749279256,2025-06-07 03:54:16,4.07
1749279315,2025-06-07 03:55:15,3.99
1749279376,2025-06-07 03:56:16,3.77
1749279434,2025-06-07 03:57:14,4.24
1749279494,2025-06-07 03:58:14,3.87
1749279552,2025-06-07 03:59:12,3.71
1749279607,2025-06-07 04:00:07,4.3
1749279671,2025-06-07 04:01:11,3.85
1749279729,2025-06-07 04:02:09,3.48
1749279787,2025-06-07 04:03:07,3.61
1749279851,2025-06-07 04:04:11,3.67
1749279906,2025-06-07 04:05:06,4.23
1749279963,2025-06-07 04:06:03,3.69
1749280022,2025-06-07 04:07:02,3.82
1749280079,2025-06-07 04:07:59,3.54
1749280140,2025-06-07 04:09:00,4.16
1749280200,2025-06-07 04:10:00,3.89
1749280260,2025-06-07 04:11:00,3.82
1749280321,2025-06-07 04:12:01,3.67
1749280381,2025-06-07 04:13:01,3.4
1749280440,2025-06-07 04:14:00,3.71
1749280497,2025-06-07 04:14:57,3.82
1749280554,2025-06-07 04:15:54,3.48
