Timestamp,Data,Atraso(ms)
1749271173,2025-06-07 01:39:33,5.64
1749271229,2025-06-07 01:40:29,5.66
1749271290,2025-06-07 01:41:30,5.8
1749271353,2025-06-07 01:42:33,5.61
1749271416,2025-06-07 01:43:36,6.78
1749271472,2025-06-07 01:44:32,5.84
1749271532,2025-06-07 01:45:32,5.42
1749271589,2025-06-07 01:46:29,5.61
1749271649,2025-06-07 01:47:29,5.7
1749271710,2025-06-07 01:48:30,5.81
1749271772,2025-06-07 01:49:32,5.59
1749271827,2025-06-07 01:50:27,5.0
1749271888,2025-06-07 01:51:28,4.66
1749271950,2025-06-07 01:52:30,4.74
1749272014,2025-06-07 01:53:34,4.66
1749272074,2025-06-07 01:54:34,4.67
1749272132,2025-06-07 01:55:32,4.83
1749272192,2025-06-07 01:56:32,4.58
1749272251,2025-06-07 01:57:31,4.55
1749272310,2025-06-07 01:58:30,5.49
1749272368,2025-06-07 01:59:28,4.9
1749272427,2025-06-07 02:00:27,4.52
1749272489,2025-06-07 02:01:29,4.79
1749272552,2025-06-07 02:02:32,4.42
1749272614,2025-06-07 02:03:34,4.72
1749272674,2025-06-07 02:04:34,4.47
1749272733,2025-06-07 02:05:33,4.61
1749272797,2025-06-07 02:06:37,4.61
1749272859,2025-06-07 02:07:39,4.4
1749272918,2025-06-07 02:08:38,5.0
1749272981,2025-06-07 02:09:41,4.38
1749273037,2025-06-07 02:10:37,4.52
1749273098,2025-06-07 02:11:38,4.6
1749273155,2025-06-07 02:12:35,4.04
1749273219,2025-06-07 02:13:39,4.45
1749273278,2025-06-07 02:14:38,4.32
1749273339,2025-06-07 02:15:39,4.41
1749273396,2025-06-07 02:16:36,4.23
1749273458,2025-06-07 02:17:38,4.91
1749273519,2025-06-07 02:18:39,4.27
1749273575,2025-06-07 02:19:35,4.09
1749273636,2025-06-07 02:20:36,4.15
1749273698,2025-06-07 02:21:38,4.0
1749273757,2025-06-07 02:22:37,4.75
1749273815,2025-06-07 02:23:35,4.73
1749273874,2025-06-07 02:24:34,4.01
1749273935,2025-06-07 02:25:35,4.15
1749273993,2025-06-07 02:26:33,4.55
1749274053,2025-06-07 02:27:33,4.5
1749274112,2025-06-07 02:28:32,4.4
1749274172,2025-06-07 02:29:32,4.17
1749274234,2025-06-07 02:30:34,4.09
1749274295,2025-06-07 02:31:35,4.45
1749274356,2025-06-07 02:32:36,4.23
1749274414,2025-06-07 02:33:34,4.64
1749274475,2025-06-07 02:34:35,4.44
1749274535,2025-06-07 02:35:35,5.39
1749274596,2025-06-07 02:36:36,4.43
1749274654,2025-06-07 02:37:34,4.66
1749274715,2025-06-07 02:38:35,4.64
1749274774,2025-06-07 02:39:34,4.48
1749274834,2025-06-07 02:40:34,4.15
