Timestamp,Data,Atraso(ms)
1749439345,2025-06-09 00:22:25,18.66
1749439407,2025-06-09 00:23:27,18.97
1749439470,2025-06-09 00:24:30,18.71
1749439532,2025-06-09 00:25:32,19.82
1749439592,2025-06-09 00:26:32,18.52
1749439649,2025-06-09 00:27:29,19.04
1749439706,2025-06-09 00:28:26,18.46
1749439766,2025-06-09 00:29:26,18.7
1749439826,2025-06-09 00:30:26,18.74
1749439884,2025-06-09 00:31:24,19.1
1749439947,2025-06-09 00:32:27,18.53
1749440006,2025-06-09 00:33:26,18.89
1749440067,2025-06-09 00:34:27,18.85
1749440127,2025-06-09 00:35:27,19.09
1749440187,2025-06-09 00:36:27,18.69
1749440248,2025-06-09 00:37:28,18.71
1749440308,2025-06-09 00:38:28,18.58
1749440367,2025-06-09 00:39:27,18.5
1749440427,2025-06-09 00:40:27,18.71
1749440485,2025-06-09 00:41:25,19.0
1749440542,2025-06-09 00:42:22,18.93
1749440603,2025-06-09 00:43:23,18.75
1749440663,2025-06-09 00:44:23,18.8
1749440722,2025-06-09 00:45:22,20.29
1749440779,2025-06-09 00:46:19,19.65
1749440840,2025-06-09 00:47:20,18.66
1749440897,2025-06-09 00:48:17,19.14
1749440956,2025-06-09 00:49:16,18.82
1749441016,2025-06-09 00:50:16,18.88
1749441073,2025-06-09 00:51:13,18.9
1749441135,2025-06-09 00:52:15,18.91
1749441198,2025-06-09 00:53:18,18.76
1749441259,2025-06-09 00:54:19,18.64
1749441321,2025-06-09 00:55:21,19.73
1749441381,2025-06-09 00:56:21,19.32
1749441442,2025-06-09 00:57:22,18.94
1749441500,2025-06-09 00:58:20,18.71
1749441565,2025-06-09 00:59:25,19.13
1749441626,2025-06-09 01:00:26,18.76
1749441683,2025-06-09 01:01:23,18.81
1749441746,2025-06-09 01:02:26,18.97
1749441806,2025-06-09 01:03:26,18.78
1749441862,2025-06-09 01:04:22,18.93
1749441921,2025-06-09 01:05:21,18.95
1749441980,2025-06-09 01:06:20,19.72
1749442038,2025-06-09 01:07:18,18.73
1749442103,2025-06-09 01:08:23,18.71
1749442163,2025-06-09 01:09:23,18.48
1749442219,2025-06-09 01:10:19,18.93
1749442281,2025-06-09 01:11:21,19.09
1749442341,2025-06-09 01:12:21,18.57
1749442402,2025-06-09 01:13:22,18.4
1749442463,2025-06-09 01:14:23,18.56
1749442523,2025-06-09 01:15:23,19.07
1749442585,2025-06-09 01:16:25,18.67
1749442645,2025-06-09 01:17:25,18.71
1749442705,2025-06-09 01:18:25,18.51
1749442764,2025-06-09 01:19:24,18.41
1749442823,2025-06-09 01:20:23,18.75
1749442881,2025-06-09 01:21:21,18.26
1749442941,2025-06-09 01:22:21,18.82
1749442997,2025-06-09 01:23:17,19.38
1749443057,2025-06-09 01:24:17,19.7
1749443121,2025-06-09 01:25:21,19.49
1749443177,2025-06-09 01:26:17,19.3
1749443239,2025-06-09 01:27:19,19.5
1749443297,2025-06-09 01:28:17,19.31
1749443351,2025-06-09 01:29:11,19.96
1749443411,2025-06-09 01:30:11,19.48
1749443469,2025-06-09 01:31:09,19.63
1749443531,2025-06-09 01:32:11,19.14
1749443591,2025-06-09 01:33:11,19.14
1749443650,2025-06-09 01:34:10,19.19
1749443707,2025-06-09 01:35:07,19.37
1749443767,2025-06-09 01:36:07,19.82
1749443828,2025-06-09 01:37:08,19.21
1749443888,2025-06-09 01:38:08,18.56
1749443947,2025-06-09 01:39:07,20.14
1749444007,2025-06-09 01:40:07,19.17
1749444065,2025-06-09 01:41:05,19.77
1749444125,2025-06-09 01:42:05,19.64
1749444184,2025-06-09 01:43:04,19.26
1749444244,2025-06-09 01:44:04,19.47
1749444307,2025-06-09 01:45:07,19.04
1749444366,2025-06-09 01:46:06,19.46
1749444419,2025-06-09 01:46:59,19.26
1749444483,2025-06-09 01:48:03,19.51
1749444546,2025-06-09 01:49:06,19.49
1749444606,2025-06-09 01:50:06,19.2
1749444664,2025-06-09 01:51:04,19.89
1749444723,2025-06-09 01:52:03,19.2
1749444782,2025-06-09 01:53:02,19.34
1749444841,2025-06-09 01:54:01,19.02
1749444900,2025-06-09 01:55:00,19.45
1749444958,2025-06-09 01:55:58,19.0
1749445018,2025-06-09 01:56:58,19.4
1749445079,2025-06-09 01:57:59,19.14
1749445137,2025-06-09 01:58:57,20.09
1749445197,2025-06-09 01:59:57,19.63
1749445255,2025-06-09 02:00:55,20.82
1749445317,2025-06-09 02:01:57,19.76
1749445379,2025-06-09 02:02:59,19.17
1749445439,2025-06-09 02:03:59,18.79
1749445503,2025-06-09 02:05:03,19.17
1749445560,2025-06-09 02:06:00,19.53
1749445621,2025-06-09 02:07:01,19.24
1749445678,2025-06-09 02:07:58,18.86
1749445740,2025-06-09 02:09:00,19.17
