Timestamp,Datetime,HopHostnames
1750776624,2025-06-24 11:50:24,gateway;cap1-popap.bkb.rnp.br;mxam-cap1-tlb.bkb.rnp.br;cdf1-mxam-3g-sitelbra.bkb.rnp.br;cmg2-cdf1-mobiwire.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1750777256,2025-06-24 12:00:56,gateway;cap1-popap.bkb.rnp.br;No-Hostname;cto1-cpa1-tlb.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;csp2-csp1.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1750777697,2025-06-24 12:08:17,gateway;cap1-popap.bkb.rnp.br;mxam-cap1-tlb.bkb.rnp.br;cdf1-mxam-3g-sitelbra.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;csp2-csp1.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1750778253,2025-06-24 12:17:33,gateway;cap1-popap.bkb.rnp.br;mxam-cap1-tlb.bkb.rnp.br;cdf1-mxam-3g-sitelbra.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;csp2-csp1.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1750778824,2025-06-24 12:27:04,gateway;cap1-popap.bkb.rnp.br;mxam-cap1-tlb.bkb.rnp.br;cdf1-mxam-3g-sitelbra.bkb.rnp.br;cmg2-cdf1-mobiwire.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1750779752,2025-06-24 12:42:32,gateway;cap1-popap.bkb.rnp.br;mxam-cap1-tlb.bkb.rnp.br;cdf1-mxam-3g-sitelbra.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;csc2-csp1-brdigital.bkb.rnp.br;csc1-csc2-rnp.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1750780537,2025-06-24 12:55:37,gateway;cap1-popap.bkb.rnp.br;No-Hostname;cto1-cpa1-tlb.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;csp2-csp1-sp2.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1750781328,2025-06-24 13:08:48,gateway;cap1-popap.bkb.rnp.br;mxam-cap1-tlb.bkb.rnp.br;cdf1-mxam-3g-sitelbra.bkb.rnp.br;cmg2-cdf1-mobiwire.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1750781933,2025-06-24 13:18:53,gateway;cap1-popap.bkb.rnp.br;mxam-cap1-tlb.bkb.rnp.br;cdf1-mxam-3g-sitelbra.bkb.rnp.br;cmg2-cdf1-mobiwire.bkb.rnp.br;crj2-cmg1-wirelink.bkb.rnp.br;csp2-crj2-infobarra.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1750782423,2025-06-24 13:27:03,gateway;cap1-popap.bkb.rnp.br;No-Hostname;cto1-cpa1-tlb.bkb.rnp.br;cdf2-cto1-tlb.bkb.rnp.br;cdf1-cdf2.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;csp2-csp1-sp2.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
