Timestamp,Datetime,HopHostnames
1749436903,2025-06-08 23:41:43,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749437319,2025-06-08 23:48:39,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749438023,2025-06-09 00:00:23,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749438841,2025-06-09 00:14:01,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749439468,2025-06-09 00:24:28,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749439647,2025-06-09 00:27:27,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749440305,2025-06-09 00:38:25,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749441055,2025-06-09 00:50:55,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749441673,2025-06-09 01:01:13,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749442147,2025-06-09 01:09:07,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749442808,2025-06-09 01:20:08,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749443531,2025-06-09 01:32:11,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749444309,2025-06-09 01:45:09,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749444646,2025-06-09 01:50:46,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749445307,2025-06-09 02:01:47,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749445865,2025-06-09 02:11:05,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749446363,2025-06-09 02:19:23,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749447272,2025-06-09 02:34:32,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749447763,2025-06-09 02:42:43,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749448251,2025-06-09 02:50:51,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749448830,2025-06-09 03:00:30,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749449265,2025-06-09 03:07:45,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749449786,2025-06-09 03:16:26,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749450794,2025-06-09 03:33:14,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749451093,2025-06-09 03:38:13,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749451772,2025-06-09 03:49:32,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749452369,2025-06-09 03:59:29,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749453274,2025-06-09 04:14:34,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749453447,2025-06-09 04:17:27,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749454244,2025-06-09 04:30:44,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749454697,2025-06-09 04:38:17,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749455363,2025-06-09 04:49:23,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749456241,2025-06-09 05:04:01,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749456436,2025-06-09 05:07:16,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749457275,2025-06-09 05:21:15,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749457990,2025-06-09 05:33:10,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;ac-ro-oi.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749458608,2025-06-09 05:43:28,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749459054,2025-06-09 05:50:54,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;mxms-mxgo-brdigital.bkb.rnp.br;cmt1-mxms-telebras.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749459758,2025-06-09 06:02:38,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;No-Hostname;No-Hostname;mxro-cmt1-infobarra.bkb.rnp.br;No-Hostname;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749460405,2025-06-09 06:13:25,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;mxms-mxgo-brdigital.bkb.rnp.br;cmt1-mxms-telebras.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749461086,2025-06-09 06:24:46,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749461501,2025-06-09 06:31:41,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749461944,2025-06-09 06:39:04,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749462564,2025-06-09 06:49:24,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749463075,2025-06-09 06:57:55,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749463659,2025-06-09 07:07:39,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749464607,2025-06-09 07:23:27,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749464936,2025-06-09 07:28:56,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
1749465723,2025-06-09 07:42:03,core-popma-10g.pop-ma.rnp.br;No-Hostname;cma1-bma1.bkb.rnp.br;cdf1-cma1-tlb.bkb.rnp.br;mxgo-cdf1-brdigital.bkb.rnp.br;cmt1-mxgo-acessonline.bkb.rnp.br;mxro-cmt1-infobarra.bkb.rnp.br;mxac-mxro-3g-allo.bkb.rnp.br;bac1-mxac.bkb.rnp.br;No-Hostname;monipe-ac-atraso.rnp.br
