Timestamp,Datetime,HopHostnames
1751892825,2025-07-07 09:53:45,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;cmg2-cmg1.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;cpr2-csp2-100g-brdigital.bkb.rnp.br;csc1-cpr2-brdigital.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751893698,2025-07-07 10:08:18,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;cmg2-cmg1.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;cpr2-csp2-100g-brdigital.bkb.rnp.br;csc1-cpr2-brdigital.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751894134,2025-07-07 10:15:34,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;cmg2-cmg1.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;cpr2-csp2-100g-brdigital.bkb.rnp.br;csc1-cpr2-brdigital.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751894786,2025-07-07 10:26:26,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;cmg2-cmg1.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;cpr2-csp2-100g-brdigital.bkb.rnp.br;csc1-cpr2-brdigital.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751895614,2025-07-07 10:40:14,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;crj1-cmg1-telebras.bkb.rnp.br;csp1-crj1-furnas.bkb.rnp.br;csc2-csp1-brdigital.bkb.rnp.br;csc1-csc2-rnp.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751896006,2025-07-07 10:46:46,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;crj1-cmg1-telebras.bkb.rnp.br;csp1-crj1-furnas.bkb.rnp.br;csc2-csp1-brdigital.bkb.rnp.br;csc1-csc2-rnp.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751896432,2025-07-07 10:53:52,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;crj1-cmg1-telebras.bkb.rnp.br;csp1-crj1-furnas.bkb.rnp.br;csc2-csp1-brdigital.bkb.rnp.br;csc1-csc2-rnp.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751897091,2025-07-07 11:04:51,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;cmg2-cmg1.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751897750,2025-07-07 11:15:50,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;cmg2-cmg1.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751898607,2025-07-07 11:30:07,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;cmg2-cmg1.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;cpr2-csp2-100g-brdigital.bkb.rnp.br;csc1-cpr2-brdigital.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751898892,2025-07-07 11:34:52,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;cmg2-cmg1.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;cpr2-csp2-100g-brdigital.bkb.rnp.br;csc1-cpr2-brdigital.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751899782,2025-07-07 11:49:42,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;cmg2-cmg1.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751900410,2025-07-07 12:00:10,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;cmg2-cmg1.bkb.rnp.br;csp2-cmg2-infobarra.bkb.rnp.br;crs2-csp2-100g-clara.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
1751900866,2025-07-07 12:07:46,brigadeiro-gti-rnp.pop-mg.rnp.br;ptp-couve-brigadeiro.pop-mg.rnp.br;cmg1-lanmg.bkb.rnp.br;crj1-cmg1-telebras.bkb.rnp.br;csp1-crj1-furnas.bkb.rnp.br;cpr1-csp1-100g-brdigital.bkb.rnp.br;csc1-cpr1-eltsul.bkb.rnp.br;crs2-csc1-eltsul.bkb.rnp.br;No-Hostname;monipe-rs-atraso.rnp.br
