Timestamp,Datetime,HopHostnames
1749269064,2025-06-07 01:04:24,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxgo-cmt1-acessonline.bkb.rnp.br;cdf1-mxgo-brdigital.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749269715,2025-06-07 01:15:15,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxgo-cmt1-acessonline.bkb.rnp.br;cdf1-mxgo-brdigital.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749270313,2025-06-07 01:25:13,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxgo-cmt1-acessonline.bkb.rnp.br;cdf2-go-tlbrs.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749270481,2025-06-07 01:28:01,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxgo-cmt1-acessonline.bkb.rnp.br;cdf2-go-tlbrs.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749271083,2025-06-07 01:38:03,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxgo-cmt1-acessonline.bkb.rnp.br;cdf2-go-tlbrs.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749272112,2025-06-07 01:55:12,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxms-cmt1-telebras.bkb.rnp.br;cpr1-mxms-acessoline.bkb.rnp.br;csp1-cpr1-100g-brdigital.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749272735,2025-06-07 02:05:35,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxms-cmt1-telebras.bkb.rnp.br;cpr1-mxms-acessoline.bkb.rnp.br;csp1-cpr1-100g-brdigital.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749273228,2025-06-07 02:13:48,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxms-cmt1-telebras.bkb.rnp.br;cpr1-mxms-acessoline.bkb.rnp.br;csp1-cpr1-100g-brdigital.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749273581,2025-06-07 02:19:41,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxms-cmt1-telebras.bkb.rnp.br;cpr1-mxms-acessoline.bkb.rnp.br;csp1-cpr1-100g-brdigital.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749274295,2025-06-07 02:31:35,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxgo-cmt1-acessonline.bkb.rnp.br;cdf1-mxgo-brdigital.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749275036,2025-06-07 02:43:56,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxgo-cmt1-acessonline.bkb.rnp.br;cdf1-mxgo-brdigital.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749275304,2025-06-07 02:48:24,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxgo-cmt1-acessonline.bkb.rnp.br;cdf1-mxgo-brdigital.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749276178,2025-06-07 03:02:58,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxms-cmt1-telebras.bkb.rnp.br;cpr1-mxms-acessoline.bkb.rnp.br;csp1-cpr1-100g-brdigital.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749276764,2025-06-07 03:12:44,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxms-cmt1-telebras.bkb.rnp.br;cpr1-mxms-acessoline.bkb.rnp.br;csp1-cpr1-100g-brdigital.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749277847,2025-06-07 03:30:47,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxgo-cmt1-acessonline.bkb.rnp.br;cdf1-mxgo-brdigital.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
1749278567,2025-06-07 03:42:47,No-Hostname;No-Hostname;No-Hostname;cmt1-bmt1.bkb.rnp.br;mxgo-cmt1-acessonline.bkb.rnp.br;cdf1-mxgo-brdigital.bkb.rnp.br;csp1-cdf2-claro.bkb.rnp.br;bsp1-csp1.bkb.rnp.br;monipe-sp-atraso.rnp.br
