Timestamp,Datetime,HopHostnames
1751895005,2025-07-07 10:30:05,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751896092,2025-07-07 10:48:12,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751896398,2025-07-07 10:53:18,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751897245,2025-07-07 11:07:25,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751897480,2025-07-07 11:11:20,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751898464,2025-07-07 11:27:44,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751898750,2025-07-07 11:32:30,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751900050,2025-07-07 11:54:10,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751900454,2025-07-07 12:00:54,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751901211,2025-07-07 12:13:31,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751901999,2025-07-07 12:26:39,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
1751902470,2025-07-07 12:34:30,gateway;No-Hostname;cpe1-bpe1.bkb.rnp.br;cpb1-pe-chesf.bkb.rnp.br;cba1-cpb1-chesf.bkb.rnp.br;cmg1-cba1-100g-infobarra.bkb.rnp.br;lanmg-cmg1.bkb.rnp.br;ptp-brigadeiro-couve.pop-mg.rnp.br;monipe-mg-atraso.rnp.br
