Timestamp,Datetime,HopHostnames
1749438922,2025-06-09 00:15:22,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;csp2-csp1.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;cmg1-cmg2.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749439492,2025-06-09 00:24:52,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;csp2-csp1-sp2.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;cmg1-cmg2.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749440166,2025-06-09 00:36:06,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;csp2-csp1-sp2.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;cmg1-cmg2.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749440915,2025-06-09 00:48:35,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;v3099-br-ufsc-udesc.bb.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;csp2-csp1-sp2.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;cmg1-cmg2.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749441517,2025-06-09 00:58:37,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;crj1-csp1-furnas.bkb.rnp.br;cmg1-crj1-telebras.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749441927,2025-06-09 01:05:27,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;crj1-csp1-furnas.bkb.rnp.br;cmg1-crj1-telebras.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749442557,2025-06-09 01:15:57,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;crj1-csp1-furnas.bkb.rnp.br;cmg1-crj1-telebras.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749443323,2025-06-09 01:28:43,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;csp2-csp1-sp2.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;cmg1-cmg2.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749443762,2025-06-09 01:36:02,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;v3099-br-ufsc-udesc.bb.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;csp2-csp1-sp2.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;cmg1-cmg2.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749444549,2025-06-09 01:49:09,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;v3099-br-ufsc-udesc.bb.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;csp2-csp1-sp2.bkb.rnp.br;cmg2-csp2-infobarra.bkb.rnp.br;cmg1-cmg2.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749445000,2025-06-09 01:56:40,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;v3099-br-ufsc-udesc.bb.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;cdf1-csp1-claro.bkb.rnp.br;cmg2-cdf1-mobiwire.bkb.rnp.br;cmg1-cmg2.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749445351,2025-06-09 02:02:31,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;cdf1-csp1-claro.bkb.rnp.br;cmg2-cdf1-mobiwire.bkb.rnp.br;cmg1-cmg2.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749446066,2025-06-09 02:14:26,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;v3099-br-ufsc-udesc.bb.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;cdf1-csp1-claro.bkb.rnp.br;cmg2-cdf1-mobiwire.bkb.rnp.br;cmg1-cmg2.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749446771,2025-06-09 02:26:11,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;v3099-br-ufsc-udesc.bb.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;cdf2-csp1-claro.bkb.rnp.br;cba1-cdf2-taesa.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749447376,2025-06-09 02:36:16,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;cdf2-csp1-claro.bkb.rnp.br;cba1-cdf2-taesa.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749447802,2025-06-09 02:43:22,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;v3099-br-ufsc-udesc.bb.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;cdf2-csp1-claro.bkb.rnp.br;cba1-cdf2-taesa.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749448528,2025-06-09 02:55:28,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;crj1-csp1-furnas.bkb.rnp.br;cmg1-crj1-telebras.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749449000,2025-06-09 03:03:20,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;fw-labfone.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;crj1-csp1-furnas.bkb.rnp.br;cmg1-crj1-telebras.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
1749449542,2025-06-09 03:12:22,gw17-monipe.pop-sc.rnp.br;popsc-3226-sw93-sw92.bb.pop-sc.rnp.br;pop-3200-br2-dt1.bb.pop-sc.rnp.br;v3099-br-ufsc-udesc.bb.pop-sc.rnp.br;csc1-bsc1.bkb.rnp.br;csc2-csc1-rnp.bkb.rnp.br;csp1-csc2-brdigital.bkb.rnp.br;crj1-csp1-furnas.bkb.rnp.br;cmg1-crj1-telebras.bkb.rnp.br;cba1-cmg1-100g-infobarra.bkb.rnp.br;mxse-cba1-chesf.bkb.rnp.br;No-Hostname;monipe-se-atraso.rnp.br
