Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1740130466,2025-02-21 06:34:26,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname
1740130466,2025-02-21 06:34:26,2,200.139.4.20,No-Hostname,200.139.4.14,No-Hostname
1740130466,2025-02-21 06:34:26,3,200.139.4.14,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br
1740130466,2025-02-21 06:34:26,4,170.79.214.218,mxac-bac1.bkb.rnp.br,200.143.252.165,ro-ac-oi.bkb.rnp.br
1740130466,2025-02-21 06:34:26,5,200.143.252.165,ro-ac-oi.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1740130466,2025-02-21 06:34:26,6,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.214.75,bmt1-cmt1.bkb.rnp.br
1740130466,2025-02-21 06:34:26,7,170.79.214.75,bmt1-cmt1.bkb.rnp.br,200.129.240.164,monipe-mt-atraso.rnp.br
1740131567,2025-02-21 06:52:47,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname
1740131567,2025-02-21 06:52:47,2,200.139.4.20,No-Hostname,200.139.4.14,No-Hostname
1740131567,2025-02-21 06:52:47,3,200.139.4.14,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br
1740131567,2025-02-21 06:52:47,4,170.79.214.218,mxac-bac1.bkb.rnp.br,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br
1740131567,2025-02-21 06:52:47,5,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1740131567,2025-02-21 06:52:47,6,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.214.75,bmt1-cmt1.bkb.rnp.br
1740131567,2025-02-21 06:52:47,7,170.79.214.75,bmt1-cmt1.bkb.rnp.br,200.129.240.164,monipe-mt-atraso.rnp.br
1740131806,2025-02-21 06:56:46,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname
1740131806,2025-02-21 06:56:46,2,200.139.4.20,No-Hostname,200.139.4.14,No-Hostname
1740131806,2025-02-21 06:56:46,3,200.139.4.14,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br
1740131806,2025-02-21 06:56:46,4,170.79.214.218,mxac-bac1.bkb.rnp.br,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br
