Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1740129899,2025-02-21 06:24:59,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname
1740129899,2025-02-21 06:24:59,2,200.139.4.20,No-Hostname,200.139.4.14,No-Hostname
1740129899,2025-02-21 06:24:59,3,200.139.4.14,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br
1740129899,2025-02-21 06:24:59,4,170.79.214.218,mxac-bac1.bkb.rnp.br,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br
1740129899,2025-02-21 06:24:59,5,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1740129899,2025-02-21 06:24:59,6,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.182,mxms-cmt1-telebras.bkb.rnp.br
1740129899,2025-02-21 06:24:59,7,170.79.213.182,mxms-cmt1-telebras.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1740129899,2025-02-21 06:24:59,8,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br
1740129899,2025-02-21 06:24:59,9,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br
1740129899,2025-02-21 06:24:59,10,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br,No-IP,No-Hostname
1740129899,2025-02-21 06:24:59,11,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1740130840,2025-02-21 06:40:40,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname
1740130840,2025-02-21 06:40:40,2,200.139.4.20,No-Hostname,200.139.4.14,No-Hostname
1740130840,2025-02-21 06:40:40,3,200.139.4.14,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br
1740130840,2025-02-21 06:40:40,4,170.79.214.218,mxac-bac1.bkb.rnp.br,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br
1740130840,2025-02-21 06:40:40,5,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br
1740130840,2025-02-21 06:40:40,6,170.79.213.200,cmt1-mxro-infobarra.bkb.rnp.br,170.79.213.182,mxms-cmt1-telebras.bkb.rnp.br
1740130840,2025-02-21 06:40:40,7,170.79.213.182,mxms-cmt1-telebras.bkb.rnp.br,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br
1740130840,2025-02-21 06:40:40,8,170.79.213.173,cpr1-mxms-acessoline.bkb.rnp.br,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br
1740130840,2025-02-21 06:40:40,9,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br
1740130840,2025-02-21 06:40:40,10,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br,No-IP,No-Hostname
1740130840,2025-02-21 06:40:40,11,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1740131326,2025-02-21 06:48:46,1,200.139.7.252,No-Hostname,200.139.4.20,No-Hostname
1740131326,2025-02-21 06:48:46,2,200.139.4.20,No-Hostname,200.139.4.14,No-Hostname
1740131326,2025-02-21 06:48:46,3,200.139.4.14,No-Hostname,170.79.214.218,mxac-bac1.bkb.rnp.br
1740131326,2025-02-21 06:48:46,4,170.79.214.218,mxac-bac1.bkb.rnp.br,170.79.213.243,mxro-mxac-3g-allo.bkb.rnp.br
