Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1745852274,2025-04-28 11:57:54,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745852274,2025-04-28 11:57:54,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745852274,2025-04-28 11:57:54,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745852274,2025-04-28 11:57:54,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745852274,2025-04-28 11:57:54,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745852274,2025-04-28 11:57:54,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745852274,2025-04-28 11:57:54,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745852274,2025-04-28 11:57:54,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745852481,2025-04-28 12:01:21,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745852481,2025-04-28 12:01:21,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745852481,2025-04-28 12:01:21,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745852481,2025-04-28 12:01:21,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745852481,2025-04-28 12:01:21,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745852481,2025-04-28 12:01:21,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745852481,2025-04-28 12:01:21,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745852481,2025-04-28 12:01:21,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745853062,2025-04-28 12:11:02,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745853062,2025-04-28 12:11:02,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745853062,2025-04-28 12:11:02,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745853062,2025-04-28 12:11:02,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745853062,2025-04-28 12:11:02,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745853062,2025-04-28 12:11:02,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745853062,2025-04-28 12:11:02,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745853062,2025-04-28 12:11:02,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745854480,2025-04-28 12:34:40,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745854480,2025-04-28 12:34:40,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745854480,2025-04-28 12:34:40,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745854480,2025-04-28 12:34:40,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745854480,2025-04-28 12:34:40,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745854480,2025-04-28 12:34:40,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745854480,2025-04-28 12:34:40,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745854480,2025-04-28 12:34:40,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745856150,2025-04-28 13:02:30,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745856150,2025-04-28 13:02:30,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745856150,2025-04-28 13:02:30,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745856150,2025-04-28 13:02:30,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745856150,2025-04-28 13:02:30,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745856150,2025-04-28 13:02:30,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745856150,2025-04-28 13:02:30,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745856150,2025-04-28 13:02:30,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745856923,2025-04-28 13:15:23,1,200.129.156.110,No-Hostname,200.129.156.125,No-Hostname
1745856923,2025-04-28 13:15:23,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745856923,2025-04-28 13:15:23,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1745856923,2025-04-28 13:15:23,4,170.79.214.127,cdf2-cdf1.bkb.rnp.br,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br
1745856923,2025-04-28 13:15:23,5,200.143.253.82,cce2-cdf2-tlbrs.bkb.rnp.br,170.79.213.127,No-Hostname
1745856923,2025-04-28 13:15:23,6,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745857869,2025-04-28 13:31:09,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745857869,2025-04-28 13:31:09,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745857869,2025-04-28 13:31:09,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745857869,2025-04-28 13:31:09,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745857869,2025-04-28 13:31:09,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745857869,2025-04-28 13:31:09,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745857869,2025-04-28 13:31:09,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745857869,2025-04-28 13:31:09,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745860037,2025-04-28 14:07:17,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745860037,2025-04-28 14:07:17,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745860037,2025-04-28 14:07:17,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745860037,2025-04-28 14:07:17,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745860037,2025-04-28 14:07:17,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745860037,2025-04-28 14:07:17,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745860037,2025-04-28 14:07:17,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745860037,2025-04-28 14:07:17,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745860288,2025-04-28 14:11:28,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745860288,2025-04-28 14:11:28,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745860288,2025-04-28 14:11:28,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745860288,2025-04-28 14:11:28,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745860288,2025-04-28 14:11:28,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745860288,2025-04-28 14:11:28,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745860288,2025-04-28 14:11:28,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745860288,2025-04-28 14:11:28,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745861065,2025-04-28 14:24:25,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745861065,2025-04-28 14:24:25,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745861065,2025-04-28 14:24:25,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745861065,2025-04-28 14:24:25,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745861065,2025-04-28 14:24:25,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745861065,2025-04-28 14:24:25,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745861065,2025-04-28 14:24:25,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745861065,2025-04-28 14:24:25,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745861435,2025-04-28 14:30:35,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745861435,2025-04-28 14:30:35,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745861435,2025-04-28 14:30:35,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745861435,2025-04-28 14:30:35,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745861435,2025-04-28 14:30:35,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745861435,2025-04-28 14:30:35,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745861435,2025-04-28 14:30:35,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745861435,2025-04-28 14:30:35,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745862381,2025-04-28 14:46:21,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1745862381,2025-04-28 14:46:21,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745862381,2025-04-28 14:46:21,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745862381,2025-04-28 14:46:21,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745862381,2025-04-28 14:46:21,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1745862381,2025-04-28 14:46:21,6,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1745862381,2025-04-28 14:46:21,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1745862381,2025-04-28 14:46:21,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745862854,2025-04-28 14:54:14,1,200.129.156.110,No-Hostname,200.129.156.125,No-Hostname
1745862854,2025-04-28 14:54:14,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1745862854,2025-04-28 14:54:14,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745862854,2025-04-28 14:54:14,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1745862854,2025-04-28 14:54:14,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,No-Hostname
1745862854,2025-04-28 14:54:14,6,170.79.213.174,No-Hostname,170.79.213.139,No-Hostname
1745862854,2025-04-28 14:54:14,7,170.79.213.139,No-Hostname,170.79.213.127,No-Hostname
1745862854,2025-04-28 14:54:14,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1745863563,2025-04-28 15:06:03,1,200.129.156.110,No-Hostname,200.129.156.125,No-Hostname
1745863563,2025-04-28 15:06:03,2,200.129.156.125,No-Hostname,170.79.213.252,No-Hostname
1745863563,2025-04-28 15:06:03,3,170.79.213.252,No-Hostname,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1745863563,2025-04-28 15:06:03,4,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.103,No-Hostname
