Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1749865331,2025-06-13 22:42:11,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1749865331,2025-06-13 22:42:11,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749865331,2025-06-13 22:42:11,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br
1749865331,2025-06-13 22:42:11,4,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1749865331,2025-06-13 22:42:11,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1749865331,2025-06-13 22:42:11,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1749865975,2025-06-13 22:52:55,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1749865975,2025-06-13 22:52:55,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749865975,2025-06-13 22:52:55,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br
1749865975,2025-06-13 22:52:55,4,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1749865975,2025-06-13 22:52:55,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1749865975,2025-06-13 22:52:55,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1749866709,2025-06-13 23:05:09,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1749866709,2025-06-13 23:05:09,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749866709,2025-06-13 23:05:09,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br
1749866709,2025-06-13 23:05:09,4,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1749866709,2025-06-13 23:05:09,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1749866709,2025-06-13 23:05:09,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1749867581,2025-06-13 23:19:41,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1749867581,2025-06-13 23:19:41,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749867581,2025-06-13 23:19:41,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br
1749867581,2025-06-13 23:19:41,4,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1749867581,2025-06-13 23:19:41,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1749867581,2025-06-13 23:19:41,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1749868135,2025-06-13 23:28:55,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1749868135,2025-06-13 23:28:55,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1749868135,2025-06-13 23:28:55,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br
1749868135,2025-06-13 23:28:55,4,170.79.213.209,mxgo-cdf1-brdigital.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1749868135,2025-06-13 23:28:55,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
