Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1746544619,2025-05-06 12:16:59,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746544619,2025-05-06 12:16:59,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746544619,2025-05-06 12:16:59,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746544619,2025-05-06 12:16:59,4,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1746544619,2025-05-06 12:16:59,5,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1746544619,2025-05-06 12:16:59,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1746544619,2025-05-06 12:16:59,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1746546347,2025-05-06 12:45:47,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746546347,2025-05-06 12:45:47,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746546347,2025-05-06 12:45:47,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746546347,2025-05-06 12:45:47,4,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1746546347,2025-05-06 12:45:47,5,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1746546347,2025-05-06 12:45:47,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1746546347,2025-05-06 12:45:47,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1746546600,2025-05-06 12:50:00,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746546600,2025-05-06 12:50:00,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746546600,2025-05-06 12:50:00,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746546600,2025-05-06 12:50:00,4,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1746546600,2025-05-06 12:50:00,5,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1746546600,2025-05-06 12:50:00,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1746546600,2025-05-06 12:50:00,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1746547027,2025-05-06 12:57:07,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746547027,2025-05-06 12:57:07,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746547027,2025-05-06 12:57:07,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746547027,2025-05-06 12:57:07,4,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1746547027,2025-05-06 12:57:07,5,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1746547027,2025-05-06 12:57:07,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1746547027,2025-05-06 12:57:07,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1746548011,2025-05-06 13:13:31,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746548011,2025-05-06 13:13:31,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746548011,2025-05-06 13:13:31,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746548011,2025-05-06 13:13:31,4,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1746548011,2025-05-06 13:13:31,5,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1746548011,2025-05-06 13:13:31,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1746548011,2025-05-06 13:13:31,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1746548464,2025-05-06 13:21:04,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746548464,2025-05-06 13:21:04,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746548464,2025-05-06 13:21:04,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746548464,2025-05-06 13:21:04,4,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1746548464,2025-05-06 13:21:04,5,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1746548464,2025-05-06 13:21:04,6,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1746548464,2025-05-06 13:21:04,7,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1746549873,2025-05-06 13:44:33,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746549873,2025-05-06 13:44:33,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746549873,2025-05-06 13:44:33,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746549873,2025-05-06 13:44:33,4,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
