Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1751036851,2025-06-27 12:07:31,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1751036851,2025-06-27 12:07:31,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1751036851,2025-06-27 12:07:31,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.25,No-Hostname
1751036851,2025-06-27 12:07:31,4,170.79.213.25,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1751036851,2025-06-27 12:07:31,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1751036851,2025-06-27 12:07:31,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1751037901,2025-06-27 12:25:01,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1751037901,2025-06-27 12:25:01,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1751037901,2025-06-27 12:25:01,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.25,No-Hostname
1751037901,2025-06-27 12:25:01,4,170.79.213.25,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1751037901,2025-06-27 12:25:01,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1751037901,2025-06-27 12:25:01,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1751038524,2025-06-27 12:35:24,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1751038524,2025-06-27 12:35:24,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1751038524,2025-06-27 12:35:24,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.25,No-Hostname
1751038524,2025-06-27 12:35:24,4,170.79.213.25,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1751038524,2025-06-27 12:35:24,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1751038524,2025-06-27 12:35:24,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1751038787,2025-06-27 12:39:47,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1751038787,2025-06-27 12:39:47,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1751038787,2025-06-27 12:39:47,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.25,No-Hostname
1751038787,2025-06-27 12:39:47,4,170.79.213.25,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1751038787,2025-06-27 12:39:47,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1751038787,2025-06-27 12:39:47,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1751039376,2025-06-27 12:49:36,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1751039376,2025-06-27 12:49:36,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1751039376,2025-06-27 12:49:36,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.25,No-Hostname
1751039376,2025-06-27 12:49:36,4,170.79.213.25,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1751039376,2025-06-27 12:49:36,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1751039376,2025-06-27 12:49:36,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1751039854,2025-06-27 12:57:34,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1751039854,2025-06-27 12:57:34,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1751039854,2025-06-27 12:57:34,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.25,No-Hostname
1751039854,2025-06-27 12:57:34,4,170.79.213.25,No-Hostname,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1751039854,2025-06-27 12:57:34,5,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1751039854,2025-06-27 12:57:34,6,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1751041284,2025-06-27 13:21:24,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1751041284,2025-06-27 13:21:24,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
