Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1748438564,2025-05-28 10:22:44,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1748438564,2025-05-28 10:22:44,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1748438564,2025-05-28 10:22:44,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1748438564,2025-05-28 10:22:44,4,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1748438564,2025-05-28 10:22:44,5,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1748438564,2025-05-28 10:22:44,6,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,No-IP,No-Hostname
1748438564,2025-05-28 10:22:44,7,No-IP,No-Hostname,200.129.75.6,No-Hostname
1748438564,2025-05-28 10:22:44,8,200.129.75.6,No-Hostname,No-IP,No-Hostname
1748438564,2025-05-28 10:22:44,9,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1748439658,2025-05-28 10:40:58,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1748439658,2025-05-28 10:40:58,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1748439658,2025-05-28 10:40:58,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1748439658,2025-05-28 10:40:58,4,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1748439658,2025-05-28 10:40:58,5,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1748439658,2025-05-28 10:40:58,6,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1748439658,2025-05-28 10:40:58,7,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1748439658,2025-05-28 10:40:58,8,200.129.75.6,No-Hostname,No-IP,No-Hostname
1748439658,2025-05-28 10:40:58,9,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
