Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1743760181,2025-04-04 06:49:41,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743760181,2025-04-04 06:49:41,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743760181,2025-04-04 06:49:41,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1743760181,2025-04-04 06:49:41,4,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br
1743760181,2025-04-04 06:49:41,5,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br,200.143.252.234,crj1-crj2.bkb.rnp.br
1743760181,2025-04-04 06:49:41,6,200.143.252.234,crj1-crj2.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743760181,2025-04-04 06:49:41,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743760181,2025-04-04 06:49:41,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743760795,2025-04-04 06:59:55,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743760795,2025-04-04 06:59:55,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743760795,2025-04-04 06:59:55,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1743760795,2025-04-04 06:59:55,4,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br
1743760795,2025-04-04 06:59:55,5,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br,200.143.252.234,crj1-crj2.bkb.rnp.br
1743760795,2025-04-04 06:59:55,6,200.143.252.234,crj1-crj2.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743760795,2025-04-04 06:59:55,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743760795,2025-04-04 06:59:55,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743761777,2025-04-04 07:16:17,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743761777,2025-04-04 07:16:17,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743761777,2025-04-04 07:16:17,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1743761777,2025-04-04 07:16:17,4,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br
1743761777,2025-04-04 07:16:17,5,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br,200.143.252.234,crj1-crj2.bkb.rnp.br
1743761777,2025-04-04 07:16:17,6,200.143.252.234,crj1-crj2.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743761777,2025-04-04 07:16:17,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743761777,2025-04-04 07:16:17,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743762094,2025-04-04 07:21:34,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743762094,2025-04-04 07:21:34,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743762094,2025-04-04 07:21:34,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1743762094,2025-04-04 07:21:34,4,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br
1743762094,2025-04-04 07:21:34,5,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br,200.143.252.234,crj1-crj2.bkb.rnp.br
1743762094,2025-04-04 07:21:34,6,200.143.252.234,crj1-crj2.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743762094,2025-04-04 07:21:34,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743762094,2025-04-04 07:21:34,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743763939,2025-04-04 07:52:19,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743763939,2025-04-04 07:52:19,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743763939,2025-04-04 07:52:19,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1743763939,2025-04-04 07:52:19,4,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br
1743763939,2025-04-04 07:52:19,5,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br,200.143.252.234,crj1-crj2.bkb.rnp.br
1743763939,2025-04-04 07:52:19,6,200.143.252.234,crj1-crj2.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743763939,2025-04-04 07:52:19,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743763939,2025-04-04 07:52:19,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743764461,2025-04-04 08:01:01,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743764461,2025-04-04 08:01:01,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743764461,2025-04-04 08:01:01,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br
1743764461,2025-04-04 08:01:01,4,170.79.213.163,cmg2-cdf1-mobiwire.bkb.rnp.br,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br
1743764461,2025-04-04 08:01:01,5,170.79.213.165,crj2-cmg1-wirelink.bkb.rnp.br,200.143.252.234,crj1-crj2.bkb.rnp.br
1743764461,2025-04-04 08:01:01,6,200.143.252.234,crj1-crj2.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1743764461,2025-04-04 08:01:01,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1743764461,2025-04-04 08:01:01,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1743766018,2025-04-04 08:26:58,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743766018,2025-04-04 08:26:58,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1743766018,2025-04-04 08:26:58,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1743766018,2025-04-04 08:26:58,4,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
