Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1743328028,2025-03-30 06:47:08,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743328028,2025-03-30 06:47:08,2,200.129.156.125,No-Hostname,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1743328028,2025-03-30 06:47:08,3,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.116,crr1-crr2.bkb.rnp.br
1743328028,2025-03-30 06:47:08,4,170.79.213.116,crr1-crr2.bkb.rnp.br,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1743328028,2025-03-30 06:47:08,5,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1743328028,2025-03-30 06:47:08,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1743328028,2025-03-30 06:47:08,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1743328028,2025-03-30 06:47:08,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
1743328028,2025-03-30 06:47:08,9,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1743328946,2025-03-30 07:02:26,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743328946,2025-03-30 07:02:26,2,200.129.156.125,No-Hostname,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1743328946,2025-03-30 07:02:26,3,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.130,crr1-crr2.bkb.rnp.br
1743328946,2025-03-30 07:02:26,4,170.79.213.130,crr1-crr2.bkb.rnp.br,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1743328946,2025-03-30 07:02:26,5,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1743328946,2025-03-30 07:02:26,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1743328946,2025-03-30 07:02:26,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1743328946,2025-03-30 07:02:26,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
