Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744637140,2025-04-14 10:25:40,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1744637140,2025-04-14 10:25:40,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1744637140,2025-04-14 10:25:40,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1744637140,2025-04-14 10:25:40,4,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1744637140,2025-04-14 10:25:40,5,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.255.250,lanro-ro.bkb.rnp.br
1744637140,2025-04-14 10:25:40,6,200.143.255.250,lanro-ro.bkb.rnp.br,200.129.139.182,monipe-ro-atraso.rnp.br
1744638135,2025-04-14 10:42:15,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1744638135,2025-04-14 10:42:15,2,200.129.156.125,No-Hostname,170.79.213.250,No-Hostname
1744638135,2025-04-14 10:42:15,3,170.79.213.250,No-Hostname,170.79.213.130,crr1-crr2.bkb.rnp.br
1744638135,2025-04-14 10:42:15,4,170.79.213.130,crr1-crr2.bkb.rnp.br,No-IP,No-Hostname
1744638135,2025-04-14 10:42:15,5,No-IP,No-Hostname,No-IP,No-Hostname
1744638135,2025-04-14 10:42:15,6,No-IP,No-Hostname,No-IP,No-Hostname
1744638135,2025-04-14 10:42:15,7,No-IP,No-Hostname,No-IP,No-Hostname
1744638135,2025-04-14 10:42:15,8,No-IP,No-Hostname,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1744638135,2025-04-14 10:42:15,9,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,No-IP,No-Hostname
1744638135,2025-04-14 10:42:15,10,No-IP,No-Hostname,No-IP,No-Hostname
1744638135,2025-04-14 10:42:15,11,No-IP,No-Hostname,200.129.139.182,monipe-ro-atraso.rnp.br
1744640650,2025-04-14 11:24:10,1,200.129.156.110,No-Hostname,200.129.156.125,No-Hostname
1744640650,2025-04-14 11:24:10,2,200.129.156.125,No-Hostname,170.79.213.84,No-Hostname
1744640650,2025-04-14 11:24:10,3,170.79.213.84,No-Hostname,170.79.213.85,No-Hostname
1744640650,2025-04-14 11:24:10,4,170.79.213.85,No-Hostname,170.79.213.84,No-Hostname
1744640650,2025-04-14 11:24:10,5,170.79.213.84,No-Hostname,170.79.213.85,No-Hostname
1744640650,2025-04-14 11:24:10,6,170.79.213.85,No-Hostname,170.79.213.84,No-Hostname
1744640650,2025-04-14 11:24:10,7,170.79.213.84,No-Hostname,170.79.213.85,No-Hostname
1744640650,2025-04-14 11:24:10,8,170.79.213.85,No-Hostname,170.79.213.84,No-Hostname
1744640650,2025-04-14 11:24:10,9,170.79.213.84,No-Hostname,170.79.213.85,No-Hostname
1744640650,2025-04-14 11:24:10,10,170.79.213.85,No-Hostname,170.79.213.84,No-Hostname
1744640650,2025-04-14 11:24:10,11,170.79.213.84,No-Hostname,170.79.213.85,No-Hostname
1744640650,2025-04-14 11:24:10,12,170.79.213.85,No-Hostname,170.79.213.84,No-Hostname
