Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1746027001,2025-04-30 12:30:01,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746027001,2025-04-30 12:30:01,2,200.129.156.125,No-Hostname,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1746027001,2025-04-30 12:30:01,3,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.130,crr1-crr2.bkb.rnp.br
1746027001,2025-04-30 12:30:01,4,170.79.213.130,crr1-crr2.bkb.rnp.br,200.129.143.93,No-Hostname
1746027001,2025-04-30 12:30:01,5,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1746029144,2025-04-30 13:05:44,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746029144,2025-04-30 13:05:44,2,200.129.156.125,No-Hostname,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1746029144,2025-04-30 13:05:44,3,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.116,crr1-crr2.bkb.rnp.br
1746029144,2025-04-30 13:05:44,4,170.79.213.116,crr1-crr2.bkb.rnp.br,200.129.143.93,No-Hostname
1746029144,2025-04-30 13:05:44,5,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1746030142,2025-04-30 13:22:22,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746030142,2025-04-30 13:22:22,2,200.129.156.125,No-Hostname,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1746030142,2025-04-30 13:22:22,3,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.130,crr1-crr2.bkb.rnp.br
1746030142,2025-04-30 13:22:22,4,170.79.213.130,crr1-crr2.bkb.rnp.br,200.129.143.93,No-Hostname
1746030142,2025-04-30 13:22:22,5,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1746030666,2025-04-30 13:31:06,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746030666,2025-04-30 13:31:06,2,200.129.156.125,No-Hostname,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1746030666,2025-04-30 13:31:06,3,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.130,crr1-crr2.bkb.rnp.br
1746030666,2025-04-30 13:31:06,4,170.79.213.130,crr1-crr2.bkb.rnp.br,200.129.143.93,No-Hostname
1746030666,2025-04-30 13:31:06,5,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1746031724,2025-04-30 13:48:44,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746031724,2025-04-30 13:48:44,2,200.129.156.125,No-Hostname,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1746031724,2025-04-30 13:48:44,3,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.130,crr1-crr2.bkb.rnp.br
1746031724,2025-04-30 13:48:44,4,170.79.213.130,crr1-crr2.bkb.rnp.br,200.129.143.93,No-Hostname
1746031724,2025-04-30 13:48:44,5,200.129.143.93,No-Hostname,No-IP,No-Hostname
1746031724,2025-04-30 13:48:44,6,No-IP,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1746032516,2025-04-30 14:01:56,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746032516,2025-04-30 14:01:56,2,200.129.156.125,No-Hostname,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1746032516,2025-04-30 14:01:56,3,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.116,crr1-crr2.bkb.rnp.br
1746032516,2025-04-30 14:01:56,4,170.79.213.116,crr1-crr2.bkb.rnp.br,200.129.143.93,No-Hostname
1746032516,2025-04-30 14:01:56,5,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1746033117,2025-04-30 14:11:57,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746033117,2025-04-30 14:11:57,2,200.129.156.125,No-Hostname,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1746033117,2025-04-30 14:11:57,3,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.116,crr1-crr2.bkb.rnp.br
1746033117,2025-04-30 14:11:57,4,170.79.213.116,crr1-crr2.bkb.rnp.br,200.129.143.93,No-Hostname
1746033117,2025-04-30 14:11:57,5,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1746033916,2025-04-30 14:25:16,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746033916,2025-04-30 14:25:16,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746033916,2025-04-30 14:25:16,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746033916,2025-04-30 14:25:16,4,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1746033916,2025-04-30 14:25:16,5,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1746033916,2025-04-30 14:25:16,6,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1746033916,2025-04-30 14:25:16,7,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1746033916,2025-04-30 14:25:16,8,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1746033916,2025-04-30 14:25:16,9,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1746033916,2025-04-30 14:25:16,10,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1746034880,2025-04-30 14:41:20,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746034880,2025-04-30 14:41:20,2,200.129.156.125,No-Hostname,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br
1746034880,2025-04-30 14:41:20,3,170.79.213.84,cap1-mxam-tlb.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1746034880,2025-04-30 14:41:20,4,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br
1746034880,2025-04-30 14:41:20,5,170.79.213.93,cto1-cpa1-tlb.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1746034880,2025-04-30 14:41:20,6,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1746034880,2025-04-30 14:41:20,7,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1746034880,2025-04-30 14:41:20,8,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1746034880,2025-04-30 14:41:20,9,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1746034880,2025-04-30 14:41:20,10,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1746035642,2025-04-30 14:54:02,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1746035642,2025-04-30 14:54:02,2,200.129.156.125,No-Hostname,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1746035642,2025-04-30 14:54:02,3,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.116,crr1-crr2.bkb.rnp.br
