Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744796721,2025-04-16 06:45:21,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1744796721,2025-04-16 06:45:21,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1744796721,2025-04-16 06:45:21,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1744796721,2025-04-16 06:45:21,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1744796721,2025-04-16 06:45:21,5,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br
1744796721,2025-04-16 06:45:21,6,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br
1744796721,2025-04-16 06:45:21,7,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br,No-IP,No-Hostname
1744796721,2025-04-16 06:45:21,8,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1744798242,2025-04-16 07:10:42,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1744798242,2025-04-16 07:10:42,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1744798242,2025-04-16 07:10:42,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1744798242,2025-04-16 07:10:42,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1744798242,2025-04-16 07:10:42,5,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br
1744798242,2025-04-16 07:10:42,6,170.79.213.107,csc1-cpr1-eltsul.bkb.rnp.br,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br
1744798242,2025-04-16 07:10:42,7,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br,No-IP,No-Hostname
1744798242,2025-04-16 07:10:42,8,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1744798736,2025-04-16 07:18:56,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1744798736,2025-04-16 07:18:56,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1744798736,2025-04-16 07:18:56,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1744798736,2025-04-16 07:18:56,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br
1744798736,2025-04-16 07:18:56,5,170.79.213.206,cpr1-csp1-100g-brdigital.bkb.rnp.br,170.79.213.237,cpr2-cpr1-100g.bkb.rnp.br
