Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1743204277,2025-03-28 20:24:37,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743204277,2025-03-28 20:24:37,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743204277,2025-03-28 20:24:37,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743204277,2025-03-28 20:24:37,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743204277,2025-03-28 20:24:37,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743205082,2025-03-28 20:38:02,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743205082,2025-03-28 20:38:02,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743205082,2025-03-28 20:38:02,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743205082,2025-03-28 20:38:02,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743205082,2025-03-28 20:38:02,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743205727,2025-03-28 20:48:47,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743205727,2025-03-28 20:48:47,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743205727,2025-03-28 20:48:47,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743205727,2025-03-28 20:48:47,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743205727,2025-03-28 20:48:47,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743206565,2025-03-28 21:02:45,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743206565,2025-03-28 21:02:45,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743206565,2025-03-28 21:02:45,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743206565,2025-03-28 21:02:45,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743206565,2025-03-28 21:02:45,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743207798,2025-03-28 21:23:18,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743207798,2025-03-28 21:23:18,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743207798,2025-03-28 21:23:18,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743207798,2025-03-28 21:23:18,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743207798,2025-03-28 21:23:18,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743208356,2025-03-28 21:32:36,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743208356,2025-03-28 21:32:36,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743208356,2025-03-28 21:32:36,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743208356,2025-03-28 21:32:36,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743208356,2025-03-28 21:32:36,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743208887,2025-03-28 21:41:27,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743208887,2025-03-28 21:41:27,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743208887,2025-03-28 21:41:27,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743208887,2025-03-28 21:41:27,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743208887,2025-03-28 21:41:27,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743210003,2025-03-28 22:00:03,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743210003,2025-03-28 22:00:03,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743210003,2025-03-28 22:00:03,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743210003,2025-03-28 22:00:03,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743210003,2025-03-28 22:00:03,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743210447,2025-03-28 22:07:27,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743210447,2025-03-28 22:07:27,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743210447,2025-03-28 22:07:27,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743210447,2025-03-28 22:07:27,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743210447,2025-03-28 22:07:27,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743211039,2025-03-28 22:17:19,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743211039,2025-03-28 22:17:19,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743211039,2025-03-28 22:17:19,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743211039,2025-03-28 22:17:19,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743211039,2025-03-28 22:17:19,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743211506,2025-03-28 22:25:06,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743211506,2025-03-28 22:25:06,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743211506,2025-03-28 22:25:06,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743211506,2025-03-28 22:25:06,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743211506,2025-03-28 22:25:06,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743212528,2025-03-28 22:42:08,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743212528,2025-03-28 22:42:08,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743212528,2025-03-28 22:42:08,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743212528,2025-03-28 22:42:08,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743212528,2025-03-28 22:42:08,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743213069,2025-03-28 22:51:09,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743213069,2025-03-28 22:51:09,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743213069,2025-03-28 22:51:09,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743213069,2025-03-28 22:51:09,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743213069,2025-03-28 22:51:09,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743213609,2025-03-28 23:00:09,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743213609,2025-03-28 23:00:09,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743213609,2025-03-28 23:00:09,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743213609,2025-03-28 23:00:09,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743213609,2025-03-28 23:00:09,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743214263,2025-03-28 23:11:03,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743214263,2025-03-28 23:11:03,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743214263,2025-03-28 23:11:03,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743214263,2025-03-28 23:11:03,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743214263,2025-03-28 23:11:03,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743214772,2025-03-28 23:19:32,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743214772,2025-03-28 23:19:32,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743214772,2025-03-28 23:19:32,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743214772,2025-03-28 23:19:32,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743214772,2025-03-28 23:19:32,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743215210,2025-03-28 23:26:50,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743215210,2025-03-28 23:26:50,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743215210,2025-03-28 23:26:50,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743215210,2025-03-28 23:26:50,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743215210,2025-03-28 23:26:50,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743216052,2025-03-28 23:40:52,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743216052,2025-03-28 23:40:52,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
1743216052,2025-03-28 23:40:52,3,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1743216052,2025-03-28 23:40:52,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.214.39,bsp1-csp1.bkb.rnp.br
1743216052,2025-03-28 23:40:52,5,170.79.214.39,bsp1-csp1.bkb.rnp.br,200.133.192.120,monipe-sp-atraso.rnp.br
1743216604,2025-03-28 23:50:04,1,200.129.156.110,gateway,200.129.156.125,No-Hostname
1743216604,2025-03-28 23:50:04,2,200.129.156.125,No-Hostname,170.79.213.252,cdf1-mxam-3g-sitelbra.bkb.rnp.br
