Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1747388006,2025-05-16 06:33:26,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747388006,2025-05-16 06:33:26,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747388006,2025-05-16 06:33:26,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747388006,2025-05-16 06:33:26,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747388006,2025-05-16 06:33:26,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747388006,2025-05-16 06:33:26,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747388770,2025-05-16 06:46:10,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747388770,2025-05-16 06:46:10,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747388770,2025-05-16 06:46:10,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747388770,2025-05-16 06:46:10,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747388770,2025-05-16 06:46:10,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747388770,2025-05-16 06:46:10,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747389273,2025-05-16 06:54:33,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747389273,2025-05-16 06:54:33,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747389273,2025-05-16 06:54:33,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747389273,2025-05-16 06:54:33,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747389273,2025-05-16 06:54:33,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747389273,2025-05-16 06:54:33,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747390133,2025-05-16 07:08:53,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747390133,2025-05-16 07:08:53,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747390133,2025-05-16 07:08:53,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747390133,2025-05-16 07:08:53,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747390133,2025-05-16 07:08:53,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747390133,2025-05-16 07:08:53,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747390554,2025-05-16 07:15:54,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747390554,2025-05-16 07:15:54,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747390554,2025-05-16 07:15:54,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747390554,2025-05-16 07:15:54,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747390554,2025-05-16 07:15:54,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747390554,2025-05-16 07:15:54,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747392096,2025-05-16 07:41:36,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747392096,2025-05-16 07:41:36,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747392096,2025-05-16 07:41:36,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747392096,2025-05-16 07:41:36,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747392096,2025-05-16 07:41:36,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747392096,2025-05-16 07:41:36,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747392326,2025-05-16 07:45:26,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747392326,2025-05-16 07:45:26,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747392326,2025-05-16 07:45:26,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747392326,2025-05-16 07:45:26,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747392326,2025-05-16 07:45:26,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747392326,2025-05-16 07:45:26,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747393080,2025-05-16 07:58:00,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747393080,2025-05-16 07:58:00,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747393080,2025-05-16 07:58:00,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747393080,2025-05-16 07:58:00,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747393080,2025-05-16 07:58:00,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747393080,2025-05-16 07:58:00,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747393473,2025-05-16 08:04:33,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747393473,2025-05-16 08:04:33,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747393473,2025-05-16 08:04:33,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747393473,2025-05-16 08:04:33,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747393473,2025-05-16 08:04:33,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747393473,2025-05-16 08:04:33,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747394171,2025-05-16 08:16:11,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747394171,2025-05-16 08:16:11,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747394171,2025-05-16 08:16:11,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747394171,2025-05-16 08:16:11,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747394171,2025-05-16 08:16:11,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747394171,2025-05-16 08:16:11,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747394791,2025-05-16 08:26:31,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747394791,2025-05-16 08:26:31,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747394791,2025-05-16 08:26:31,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747394791,2025-05-16 08:26:31,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747394791,2025-05-16 08:26:31,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747394791,2025-05-16 08:26:31,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747395378,2025-05-16 08:36:18,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747395378,2025-05-16 08:36:18,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747395378,2025-05-16 08:36:18,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747395378,2025-05-16 08:36:18,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747395378,2025-05-16 08:36:18,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747395378,2025-05-16 08:36:18,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747396315,2025-05-16 08:51:55,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747396315,2025-05-16 08:51:55,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
1747396315,2025-05-16 08:51:55,3,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1747396315,2025-05-16 08:51:55,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1747396315,2025-05-16 08:51:55,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1747396315,2025-05-16 08:51:55,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1747396665,2025-05-16 08:57:45,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747396665,2025-05-16 08:57:45,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.83,cpa1-cap1-tlb.bkb.rnp.br
