Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752504070,2025-07-14 11:41:10,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1752504070,2025-07-14 11:41:10,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.25,No-Hostname
1752504070,2025-07-14 11:41:10,3,170.79.213.25,No-Hostname,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1752504070,2025-07-14 11:41:10,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1752504070,2025-07-14 11:41:10,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.214.55,bpi1-cpi1.bkb.rnp.br
1752504070,2025-07-14 11:41:10,6,170.79.214.55,bpi1-cpi1.bkb.rnp.br,200.137.160.155,monipe-pi-atraso.rnp.br
1752505615,2025-07-14 12:06:55,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1752505615,2025-07-14 12:06:55,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.25,No-Hostname
1752505615,2025-07-14 12:06:55,3,170.79.213.25,No-Hostname,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1752505615,2025-07-14 12:06:55,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1752505615,2025-07-14 12:06:55,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.214.55,bpi1-cpi1.bkb.rnp.br
1752505615,2025-07-14 12:06:55,6,170.79.214.55,bpi1-cpi1.bkb.rnp.br,200.137.160.155,monipe-pi-atraso.rnp.br
1752506607,2025-07-14 12:23:27,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1752506607,2025-07-14 12:23:27,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.25,No-Hostname
1752506607,2025-07-14 12:23:27,3,170.79.213.25,No-Hostname,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1752506607,2025-07-14 12:23:27,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1752506607,2025-07-14 12:23:27,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.214.55,bpi1-cpi1.bkb.rnp.br
1752506607,2025-07-14 12:23:27,6,170.79.214.55,bpi1-cpi1.bkb.rnp.br,200.137.160.155,monipe-pi-atraso.rnp.br
1752508879,2025-07-14 13:01:19,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1752508879,2025-07-14 13:01:19,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.25,No-Hostname
1752508879,2025-07-14 13:01:19,3,170.79.213.25,No-Hostname,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1752508879,2025-07-14 13:01:19,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1752508879,2025-07-14 13:01:19,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.214.55,bpi1-cpi1.bkb.rnp.br
1752508879,2025-07-14 13:01:19,6,170.79.214.55,bpi1-cpi1.bkb.rnp.br,200.137.160.155,monipe-pi-atraso.rnp.br
1752509886,2025-07-14 13:18:06,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1752509886,2025-07-14 13:18:06,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.25,No-Hostname
1752509886,2025-07-14 13:18:06,3,170.79.213.25,No-Hostname,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1752509886,2025-07-14 13:18:06,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1752509886,2025-07-14 13:18:06,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.214.55,bpi1-cpi1.bkb.rnp.br
1752509886,2025-07-14 13:18:06,6,170.79.214.55,bpi1-cpi1.bkb.rnp.br,200.137.160.155,monipe-pi-atraso.rnp.br
1752510183,2025-07-14 13:23:03,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1752510183,2025-07-14 13:23:03,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.25,No-Hostname
1752510183,2025-07-14 13:23:03,3,170.79.213.25,No-Hostname,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br
1752510183,2025-07-14 13:23:03,4,170.79.213.240,cma1-cpa1-mobwire.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1752510183,2025-07-14 13:23:03,5,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.214.55,bpi1-cpi1.bkb.rnp.br
1752510183,2025-07-14 13:23:03,6,170.79.214.55,bpi1-cpi1.bkb.rnp.br,200.137.160.155,monipe-pi-atraso.rnp.br
