Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1747392276,2025-05-16 07:44:36,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747392276,2025-05-16 07:44:36,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1747392276,2025-05-16 07:44:36,3,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1747392276,2025-05-16 07:44:36,4,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.130,crr1-crr2.bkb.rnp.br
1747392276,2025-05-16 07:44:36,5,170.79.213.130,crr1-crr2.bkb.rnp.br,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1747392276,2025-05-16 07:44:36,6,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1747392276,2025-05-16 07:44:36,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1747392276,2025-05-16 07:44:36,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1747392276,2025-05-16 07:44:36,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1747392276,2025-05-16 07:44:36,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1747392992,2025-05-16 07:56:32,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747392992,2025-05-16 07:56:32,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1747392992,2025-05-16 07:56:32,3,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1747392992,2025-05-16 07:56:32,4,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.130,crr1-crr2.bkb.rnp.br
1747392992,2025-05-16 07:56:32,5,170.79.213.130,crr1-crr2.bkb.rnp.br,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1747392992,2025-05-16 07:56:32,6,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1747392992,2025-05-16 07:56:32,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1747392992,2025-05-16 07:56:32,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1747392992,2025-05-16 07:56:32,9,170.79.214.71,No-Hostname,No-IP,No-Hostname
1747392992,2025-05-16 07:56:32,10,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1747393467,2025-05-16 08:04:27,1,200.129.167.23,gateway,170.79.214.18,cap1-popap.bkb.rnp.br
1747393467,2025-05-16 08:04:27,2,170.79.214.18,cap1-popap.bkb.rnp.br,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br
1747393467,2025-05-16 08:04:27,3,170.79.213.85,mxam-cap1-tlb.bkb.rnp.br,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br
1747393467,2025-05-16 08:04:27,4,170.79.213.250,crr2-mxam-sidi.bkb.rnp.br,170.79.213.130,crr1-crr2.bkb.rnp.br
1747393467,2025-05-16 08:04:27,5,170.79.213.130,crr1-crr2.bkb.rnp.br,170.79.213.32,cce1-crr1-oi.bkb.rnp.br
1747393467,2025-05-16 08:04:27,6,170.79.213.32,cce1-crr1-oi.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1747393467,2025-05-16 08:04:27,7,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1747393467,2025-05-16 08:04:27,8,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
