Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741819978,2025-03-12 19:52:58,1,200.128.2.1,gateway,100.64.58.1,No-Hostname
1741819978,2025-03-12 19:52:58,2,100.64.58.1,No-Hostname,100.64.51.1,No-Hostname
1741819978,2025-03-12 19:52:58,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1741819978,2025-03-12 19:52:58,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1741819978,2025-03-12 19:52:58,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br
1741819978,2025-03-12 19:52:58,6,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1741819978,2025-03-12 19:52:58,7,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1741819978,2025-03-12 19:52:58,8,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1741819978,2025-03-12 19:52:58,9,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1741819978,2025-03-12 19:52:58,10,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1741820870,2025-03-12 20:07:50,1,200.128.2.1,gateway,100.64.58.1,No-Hostname
1741820870,2025-03-12 20:07:50,2,100.64.58.1,No-Hostname,100.64.51.1,No-Hostname
1741820870,2025-03-12 20:07:50,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1741820870,2025-03-12 20:07:50,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1741820870,2025-03-12 20:07:50,5,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br
1741820870,2025-03-12 20:07:50,6,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1741820870,2025-03-12 20:07:50,7,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1741820870,2025-03-12 20:07:50,8,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1741820870,2025-03-12 20:07:50,9,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1741820870,2025-03-12 20:07:50,10,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1741821642,2025-03-12 20:20:42,1,200.128.2.1,gateway,100.64.58.1,No-Hostname
1741821642,2025-03-12 20:20:42,2,100.64.58.1,No-Hostname,100.64.51.1,No-Hostname
