Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744204163,2025-04-09 10:09:23,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744204163,2025-04-09 10:09:23,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744204163,2025-04-09 10:09:23,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744204163,2025-04-09 10:09:23,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744204163,2025-04-09 10:09:23,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744204163,2025-04-09 10:09:23,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744204163,2025-04-09 10:09:23,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744205014,2025-04-09 10:23:34,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744205014,2025-04-09 10:23:34,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744205014,2025-04-09 10:23:34,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744205014,2025-04-09 10:23:34,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744205014,2025-04-09 10:23:34,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744205014,2025-04-09 10:23:34,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744205014,2025-04-09 10:23:34,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744205794,2025-04-09 10:36:34,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744205794,2025-04-09 10:36:34,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744205794,2025-04-09 10:36:34,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744205794,2025-04-09 10:36:34,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744205794,2025-04-09 10:36:34,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744205794,2025-04-09 10:36:34,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744205794,2025-04-09 10:36:34,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744206321,2025-04-09 10:45:21,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744206321,2025-04-09 10:45:21,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744206321,2025-04-09 10:45:21,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744206321,2025-04-09 10:45:21,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744206321,2025-04-09 10:45:21,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744206321,2025-04-09 10:45:21,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744206321,2025-04-09 10:45:21,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744206575,2025-04-09 10:49:35,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744206575,2025-04-09 10:49:35,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744206575,2025-04-09 10:49:35,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744206575,2025-04-09 10:49:35,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744206575,2025-04-09 10:49:35,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744206575,2025-04-09 10:49:35,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744206575,2025-04-09 10:49:35,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744207259,2025-04-09 11:00:59,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744207259,2025-04-09 11:00:59,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744207259,2025-04-09 11:00:59,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744207259,2025-04-09 11:00:59,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744207259,2025-04-09 11:00:59,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744207259,2025-04-09 11:00:59,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744207259,2025-04-09 11:00:59,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744208253,2025-04-09 11:17:33,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744208253,2025-04-09 11:17:33,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744208253,2025-04-09 11:17:33,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744208253,2025-04-09 11:17:33,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744208253,2025-04-09 11:17:33,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744208253,2025-04-09 11:17:33,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744208253,2025-04-09 11:17:33,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744208433,2025-04-09 11:20:33,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744208433,2025-04-09 11:20:33,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744208433,2025-04-09 11:20:33,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744208433,2025-04-09 11:20:33,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744208433,2025-04-09 11:20:33,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744208433,2025-04-09 11:20:33,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744208433,2025-04-09 11:20:33,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744209269,2025-04-09 11:34:29,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744209269,2025-04-09 11:34:29,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744209269,2025-04-09 11:34:29,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744209269,2025-04-09 11:34:29,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744209269,2025-04-09 11:34:29,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744209269,2025-04-09 11:34:29,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744209269,2025-04-09 11:34:29,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744210087,2025-04-09 11:48:07,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744210087,2025-04-09 11:48:07,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744210087,2025-04-09 11:48:07,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744210087,2025-04-09 11:48:07,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744210087,2025-04-09 11:48:07,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744210087,2025-04-09 11:48:07,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744210087,2025-04-09 11:48:07,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744210682,2025-04-09 11:58:02,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744210682,2025-04-09 11:58:02,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744210682,2025-04-09 11:58:02,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744210682,2025-04-09 11:58:02,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744210682,2025-04-09 11:58:02,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744210682,2025-04-09 11:58:02,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744210682,2025-04-09 11:58:02,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744211210,2025-04-09 12:06:50,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744211210,2025-04-09 12:06:50,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744211210,2025-04-09 12:06:50,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744211210,2025-04-09 12:06:50,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744211210,2025-04-09 12:06:50,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744211210,2025-04-09 12:06:50,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744211210,2025-04-09 12:06:50,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744211463,2025-04-09 12:11:03,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744211463,2025-04-09 12:11:03,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744211463,2025-04-09 12:11:03,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744211463,2025-04-09 12:11:03,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744211463,2025-04-09 12:11:03,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744211463,2025-04-09 12:11:03,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744211463,2025-04-09 12:11:03,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744212347,2025-04-09 12:25:47,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744212347,2025-04-09 12:25:47,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744212347,2025-04-09 12:25:47,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1744212347,2025-04-09 12:25:47,4,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1744212347,2025-04-09 12:25:47,5,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1744212347,2025-04-09 12:25:47,6,200.129.75.6,No-Hostname,No-IP,No-Hostname
1744212347,2025-04-09 12:25:47,7,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1744212706,2025-04-09 12:31:46,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1744212706,2025-04-09 12:31:46,2,100.64.57.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1744212706,2025-04-09 12:31:46,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
