Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1745506790,2025-04-24 11:59:50,1,200.128.2.1,gateway,100.64.59.1,No-Hostname
1745506790,2025-04-24 11:59:50,2,100.64.59.1,No-Hostname,100.64.51.1,No-Hostname
1745506790,2025-04-24 11:59:50,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1745506790,2025-04-24 11:59:50,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1745506790,2025-04-24 11:59:50,5,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br
1745506790,2025-04-24 11:59:50,6,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1745506790,2025-04-24 11:59:50,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1745506790,2025-04-24 11:59:50,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1745507422,2025-04-24 12:10:22,1,200.128.2.1,gateway,100.64.59.1,No-Hostname
1745507422,2025-04-24 12:10:22,2,100.64.59.1,No-Hostname,100.64.51.1,No-Hostname
1745507422,2025-04-24 12:10:22,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1745507422,2025-04-24 12:10:22,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br
1745507422,2025-04-24 12:10:22,5,170.79.213.195,ces1-cba1-100g-telebras.bkb.rnp.br,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br
1745507422,2025-04-24 12:10:22,6,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1745507422,2025-04-24 12:10:22,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1745507422,2025-04-24 12:10:22,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1745508454,2025-04-24 12:27:34,1,200.128.2.1,gateway,100.64.59.1,No-Hostname
1745508454,2025-04-24 12:27:34,2,100.64.59.1,No-Hostname,100.64.51.1,No-Hostname
1745508454,2025-04-24 12:27:34,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1745508454,2025-04-24 12:27:34,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1745508454,2025-04-24 12:27:34,5,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br
1745508454,2025-04-24 12:27:34,6,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1745508454,2025-04-24 12:27:34,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1745508454,2025-04-24 12:27:34,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1745508805,2025-04-24 12:33:25,1,200.128.2.1,gateway,100.64.59.1,No-Hostname
1745508805,2025-04-24 12:33:25,2,100.64.59.1,No-Hostname,100.64.51.1,No-Hostname
1745508805,2025-04-24 12:33:25,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1745508805,2025-04-24 12:33:25,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1745508805,2025-04-24 12:33:25,5,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br
1745508805,2025-04-24 12:33:25,6,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1745508805,2025-04-24 12:33:25,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1745508805,2025-04-24 12:33:25,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1745509445,2025-04-24 12:44:05,1,200.128.2.1,gateway,100.64.59.1,No-Hostname
1745509445,2025-04-24 12:44:05,2,100.64.59.1,No-Hostname,100.64.51.1,No-Hostname
1745509445,2025-04-24 12:44:05,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1745509445,2025-04-24 12:44:05,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1745509445,2025-04-24 12:44:05,5,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br
1745509445,2025-04-24 12:44:05,6,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1745509445,2025-04-24 12:44:05,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1745509445,2025-04-24 12:44:05,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1745509913,2025-04-24 12:51:53,1,200.128.2.1,gateway,100.64.59.1,No-Hostname
1745509913,2025-04-24 12:51:53,2,100.64.59.1,No-Hostname,100.64.51.1,No-Hostname
1745509913,2025-04-24 12:51:53,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1745509913,2025-04-24 12:51:53,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1745509913,2025-04-24 12:51:53,5,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br
1745509913,2025-04-24 12:51:53,6,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1745509913,2025-04-24 12:51:53,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1745509913,2025-04-24 12:51:53,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1745510902,2025-04-24 13:08:22,1,200.128.2.1,gateway,100.64.59.1,No-Hostname
1745510902,2025-04-24 13:08:22,2,100.64.59.1,No-Hostname,100.64.51.1,No-Hostname
1745510902,2025-04-24 13:08:22,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1745510902,2025-04-24 13:08:22,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1745510902,2025-04-24 13:08:22,5,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br
1745510902,2025-04-24 13:08:22,6,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br,200.143.253.22,brj1-crj1.bkb.rnp.br
1745510902,2025-04-24 13:08:22,7,200.143.253.22,brj1-crj1.bkb.rnp.br,200.143.240.35,No-Hostname
1745510902,2025-04-24 13:08:22,8,200.143.240.35,No-Hostname,200.159.254.238,monipe-rj-atraso.rnp.br
1745511124,2025-04-24 13:12:04,1,200.128.2.1,gateway,100.64.59.1,No-Hostname
1745511124,2025-04-24 13:12:04,2,100.64.59.1,No-Hostname,100.64.51.1,No-Hostname
1745511124,2025-04-24 13:12:04,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1745511124,2025-04-24 13:12:04,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br
1745511124,2025-04-24 13:12:04,5,170.79.213.155,cmg1-cba1-100g-infobarra.bkb.rnp.br,170.79.213.199,crj1-cmg1-telebras.bkb.rnp.br
