Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1747060906,2025-05-12 11:41:46,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1747060906,2025-05-12 11:41:46,2,100.64.57.1,No-Hostname,200.219.145.1,as1916.salvador.ba.ix.br
1747060906,2025-05-12 11:41:46,3,200.219.145.1,as1916.salvador.ba.ix.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1747060906,2025-05-12 11:41:46,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1747060906,2025-05-12 11:41:46,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1747060906,2025-05-12 11:41:46,6,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1747061861,2025-05-12 11:57:41,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1747061861,2025-05-12 11:57:41,2,100.64.57.1,No-Hostname,200.219.145.1,as1916.salvador.ba.ix.br
1747061861,2025-05-12 11:57:41,3,200.219.145.1,as1916.salvador.ba.ix.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1747061861,2025-05-12 11:57:41,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1747061861,2025-05-12 11:57:41,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1747061861,2025-05-12 11:57:41,6,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1747062200,2025-05-12 12:03:20,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1747062200,2025-05-12 12:03:20,2,100.64.57.1,No-Hostname,200.219.145.1,as1916.salvador.ba.ix.br
1747062200,2025-05-12 12:03:20,3,200.219.145.1,as1916.salvador.ba.ix.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1747062200,2025-05-12 12:03:20,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1747062200,2025-05-12 12:03:20,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1747062200,2025-05-12 12:03:20,6,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1747063132,2025-05-12 12:18:52,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1747063132,2025-05-12 12:18:52,2,100.64.57.1,No-Hostname,200.219.145.1,as1916.salvador.ba.ix.br
1747063132,2025-05-12 12:18:52,3,200.219.145.1,as1916.salvador.ba.ix.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1747063132,2025-05-12 12:18:52,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1747063132,2025-05-12 12:18:52,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1747063132,2025-05-12 12:18:52,6,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1747064304,2025-05-12 12:38:24,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1747064304,2025-05-12 12:38:24,2,100.64.57.1,No-Hostname,200.219.145.1,as1916.salvador.ba.ix.br
1747064304,2025-05-12 12:38:24,3,200.219.145.1,as1916.salvador.ba.ix.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1747064304,2025-05-12 12:38:24,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.23,crr1-cce1-oi.bkb.rnp.br
1747064304,2025-05-12 12:38:24,5,170.79.213.23,crr1-cce1-oi.bkb.rnp.br,200.129.143.93,No-Hostname
1747064304,2025-05-12 12:38:24,6,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1747064910,2025-05-12 12:48:30,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1747064910,2025-05-12 12:48:30,2,100.64.57.1,No-Hostname,200.219.145.1,as1916.salvador.ba.ix.br
1747064910,2025-05-12 12:48:30,3,200.219.145.1,as1916.salvador.ba.ix.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1747064910,2025-05-12 12:48:30,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.23,crr1-cce1-oi.bkb.rnp.br
1747064910,2025-05-12 12:48:30,5,170.79.213.23,crr1-cce1-oi.bkb.rnp.br,200.129.143.93,No-Hostname
1747064910,2025-05-12 12:48:30,6,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
1747065219,2025-05-12 12:53:39,1,200.128.2.1,gateway,100.64.57.1,No-Hostname
1747065219,2025-05-12 12:53:39,2,100.64.57.1,No-Hostname,200.219.145.1,as1916.salvador.ba.ix.br
1747065219,2025-05-12 12:53:39,3,200.219.145.1,as1916.salvador.ba.ix.br,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br
1747065219,2025-05-12 12:53:39,4,170.79.213.31,cce1-cba1-chesf.bkb.rnp.br,170.79.213.33,crr1-cce1.bkb.rnp.br
1747065219,2025-05-12 12:53:39,5,170.79.213.33,crr1-cce1.bkb.rnp.br,200.129.143.93,No-Hostname
1747065219,2025-05-12 12:53:39,6,200.129.143.93,No-Hostname,200.129.143.217,monipe-rr-atraso.rnp.br
