Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1749858031,2025-06-13 20:40:31,1,200.128.2.1,gateway,100.64.56.1,No-Hostname
1749858031,2025-06-13 20:40:31,2,100.64.56.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1749858031,2025-06-13 20:40:31,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749858031,2025-06-13 20:40:31,4,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749858031,2025-06-13 20:40:31,5,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749858774,2025-06-13 20:52:54,1,200.128.2.1,gateway,100.64.56.1,No-Hostname
1749858774,2025-06-13 20:52:54,2,100.64.56.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1749858774,2025-06-13 20:52:54,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749858774,2025-06-13 20:52:54,4,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749858774,2025-06-13 20:52:54,5,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749859470,2025-06-13 21:04:30,1,200.128.2.1,gateway,100.64.56.1,No-Hostname
1749859470,2025-06-13 21:04:30,2,100.64.56.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1749859470,2025-06-13 21:04:30,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749859470,2025-06-13 21:04:30,4,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749859470,2025-06-13 21:04:30,5,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749860194,2025-06-13 21:16:34,1,200.128.2.1,gateway,100.64.56.1,No-Hostname
1749860194,2025-06-13 21:16:34,2,100.64.56.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1749860194,2025-06-13 21:16:34,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749860194,2025-06-13 21:16:34,4,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749860194,2025-06-13 21:16:34,5,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749860937,2025-06-13 21:28:57,1,200.128.2.1,gateway,100.64.56.1,No-Hostname
1749860937,2025-06-13 21:28:57,2,100.64.56.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1749860937,2025-06-13 21:28:57,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749860937,2025-06-13 21:28:57,4,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749860937,2025-06-13 21:28:57,5,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749861266,2025-06-13 21:34:26,1,200.128.2.1,gateway,100.64.56.1,No-Hostname
1749861266,2025-06-13 21:34:26,2,100.64.56.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1749861266,2025-06-13 21:34:26,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749861266,2025-06-13 21:34:26,4,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749861266,2025-06-13 21:34:26,5,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749863123,2025-06-13 22:05:23,1,200.128.2.1,gateway,100.64.56.1,No-Hostname
1749863123,2025-06-13 22:05:23,2,100.64.56.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1749863123,2025-06-13 22:05:23,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749863123,2025-06-13 22:05:23,4,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749863123,2025-06-13 22:05:23,5,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749863565,2025-06-13 22:12:45,1,200.128.2.1,gateway,100.64.56.1,No-Hostname
1749863565,2025-06-13 22:12:45,2,100.64.56.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1749863565,2025-06-13 22:12:45,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749863565,2025-06-13 22:12:45,4,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749863565,2025-06-13 22:12:45,5,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
1749864444,2025-06-13 22:27:24,1,200.128.2.1,gateway,100.64.56.1,No-Hostname
1749864444,2025-06-13 22:27:24,2,100.64.56.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1749864444,2025-06-13 22:27:24,3,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br
1749864444,2025-06-13 22:27:24,4,170.79.213.29,mxse-cba1-chesf.bkb.rnp.br,170.79.214.223,No-Hostname
1749864444,2025-06-13 22:27:24,5,170.79.214.223,No-Hostname,200.17.118.178,monipe-se-atraso.rnp.br
