Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1750951789,2025-06-26 12:29:49,1,200.128.2.1,gateway,100.64.58.1,No-Hostname
1750951789,2025-06-26 12:29:49,2,100.64.58.1,No-Hostname,100.64.51.1,No-Hostname
1750951789,2025-06-26 12:29:49,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1750951789,2025-06-26 12:29:49,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1750951789,2025-06-26 12:29:49,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1750951789,2025-06-26 12:29:49,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1750951789,2025-06-26 12:29:49,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1750951789,2025-06-26 12:29:49,8,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1750951789,2025-06-26 12:29:49,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1750952901,2025-06-26 12:48:21,1,200.128.2.1,gateway,100.64.58.1,No-Hostname
1750952901,2025-06-26 12:48:21,2,100.64.58.1,No-Hostname,100.64.51.1,No-Hostname
1750952901,2025-06-26 12:48:21,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1750952901,2025-06-26 12:48:21,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1750952901,2025-06-26 12:48:21,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1750952901,2025-06-26 12:48:21,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1750952901,2025-06-26 12:48:21,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1750952901,2025-06-26 12:48:21,8,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1750952901,2025-06-26 12:48:21,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1750953188,2025-06-26 12:53:08,1,200.128.2.1,gateway,100.64.58.1,No-Hostname
1750953188,2025-06-26 12:53:08,2,100.64.58.1,No-Hostname,100.64.51.1,No-Hostname
1750953188,2025-06-26 12:53:08,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1750953188,2025-06-26 12:53:08,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1750953188,2025-06-26 12:53:08,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1750953188,2025-06-26 12:53:08,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1750953188,2025-06-26 12:53:08,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1750953188,2025-06-26 12:53:08,8,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1750953188,2025-06-26 12:53:08,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1750954023,2025-06-26 13:07:03,1,200.128.2.1,gateway,100.64.58.1,No-Hostname
1750954023,2025-06-26 13:07:03,2,100.64.58.1,No-Hostname,100.64.51.1,No-Hostname
1750954023,2025-06-26 13:07:03,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1750954023,2025-06-26 13:07:03,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1750954023,2025-06-26 13:07:03,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1750954023,2025-06-26 13:07:03,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1750954023,2025-06-26 13:07:03,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1750954023,2025-06-26 13:07:03,8,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1750954023,2025-06-26 13:07:03,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1750955156,2025-06-26 13:25:56,1,200.128.2.1,gateway,100.64.58.1,No-Hostname
1750955156,2025-06-26 13:25:56,2,100.64.58.1,No-Hostname,100.64.51.1,No-Hostname
1750955156,2025-06-26 13:25:56,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1750955156,2025-06-26 13:25:56,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1750955156,2025-06-26 13:25:56,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1750955156,2025-06-26 13:25:56,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1750955156,2025-06-26 13:25:56,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1750955156,2025-06-26 13:25:56,8,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1750955156,2025-06-26 13:25:56,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1750955719,2025-06-26 13:35:19,1,200.128.2.1,gateway,100.64.58.1,No-Hostname
1750955719,2025-06-26 13:35:19,2,100.64.58.1,No-Hostname,100.64.51.1,No-Hostname
1750955719,2025-06-26 13:35:19,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1750955719,2025-06-26 13:35:19,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1750955719,2025-06-26 13:35:19,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1750955719,2025-06-26 13:35:19,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1750955719,2025-06-26 13:35:19,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1750955719,2025-06-26 13:35:19,8,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1750955719,2025-06-26 13:35:19,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1750956255,2025-06-26 13:44:15,1,200.128.2.1,gateway,100.64.58.1,No-Hostname
1750956255,2025-06-26 13:44:15,2,100.64.58.1,No-Hostname,100.64.51.1,No-Hostname
1750956255,2025-06-26 13:44:15,3,100.64.51.1,No-Hostname,200.143.252.2,cba1-bba1.bkb.rnp.br
1750956255,2025-06-26 13:44:15,4,200.143.252.2,cba1-bba1.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1750956255,2025-06-26 13:44:15,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1750956255,2025-06-26 13:44:15,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1750956255,2025-06-26 13:44:15,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1750956255,2025-06-26 13:44:15,8,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1750956255,2025-06-26 13:44:15,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
