Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1746480628,2025-05-05 18:30:28,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1746480628,2025-05-05 18:30:28,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br
1746480628,2025-05-05 18:30:28,3,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1746480628,2025-05-05 18:30:28,4,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1746480628,2025-05-05 18:30:28,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1746480628,2025-05-05 18:30:28,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1746481632,2025-05-05 18:47:12,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1746481632,2025-05-05 18:47:12,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br
1746481632,2025-05-05 18:47:12,3,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
1746481632,2025-05-05 18:47:12,4,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br,170.79.214.43,bma1-cma1.bkb.rnp.br
1746481632,2025-05-05 18:47:12,5,170.79.214.43,bma1-cma1.bkb.rnp.br,200.137.140.11,No-Hostname
1746481632,2025-05-05 18:47:12,6,200.137.140.11,No-Hostname,200.137.129.34,monipe-ma-atraso.rnp.br
1746481886,2025-05-05 18:51:26,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1746481886,2025-05-05 18:51:26,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br
1746481886,2025-05-05 18:51:26,3,170.79.213.175,cpi1-cce1-chesf.bkb.rnp.br,170.79.213.102,cma1-cpi1-tlb.bkb.rnp.br
