Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741292454,2025-03-06 17:20:54,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1741292454,2025-03-06 17:20:54,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1741292454,2025-03-06 17:20:54,3,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1741292454,2025-03-06 17:20:54,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1741292454,2025-03-06 17:20:54,5,170.79.214.71,No-Hostname,No-IP,No-Hostname
1741292454,2025-03-06 17:20:54,6,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1741293374,2025-03-06 17:36:14,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1741293374,2025-03-06 17:36:14,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1741293374,2025-03-06 17:36:14,3,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1741293374,2025-03-06 17:36:14,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1741293374,2025-03-06 17:36:14,5,170.79.214.71,No-Hostname,No-IP,No-Hostname
1741293374,2025-03-06 17:36:14,6,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1741293874,2025-03-06 17:44:34,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1741293874,2025-03-06 17:44:34,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1741293874,2025-03-06 17:44:34,3,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1741293874,2025-03-06 17:44:34,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1741293874,2025-03-06 17:44:34,5,170.79.214.71,No-Hostname,No-IP,No-Hostname
1741293874,2025-03-06 17:44:34,6,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1741294492,2025-03-06 17:54:52,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1741294492,2025-03-06 17:54:52,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1741294492,2025-03-06 17:54:52,3,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1741294492,2025-03-06 17:54:52,4,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1741294492,2025-03-06 17:54:52,5,170.79.214.71,No-Hostname,No-IP,No-Hostname
1741294492,2025-03-06 17:54:52,6,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1741295099,2025-03-06 18:04:59,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1741295099,2025-03-06 18:04:59,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1741295099,2025-03-06 18:04:59,3,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
