Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1739882796,2025-02-18 09:46:36,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1739882796,2025-02-18 09:46:36,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1739882796,2025-02-18 09:46:36,3,170.79.213.139,cce2-cce1.bkb.rnp.br,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br
1739882796,2025-02-18 09:46:36,4,200.143.253.81,cdf2-cce2-tlbrs.bkb.rnp.br,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br
1739882796,2025-02-18 09:46:36,5,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br,170.79.214.53,bto2-cto1.bkb.rnp.br
1739882796,2025-02-18 09:46:36,6,170.79.214.53,bto2-cto1.bkb.rnp.br,200.139.26.231,No-Hostname
1739882796,2025-02-18 09:46:36,7,200.139.26.231,No-Hostname,200.139.26.250,No-Hostname
1739882796,2025-02-18 09:46:36,8,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1739883484,2025-02-18 09:58:04,1,200.129.0.99,gateway,170.79.213.124,cce1-bce1.bkb.rnp.br
1739883484,2025-02-18 09:58:04,2,170.79.213.124,cce1-bce1.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1739883484,2025-02-18 09:58:04,3,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1739883484,2025-02-18 09:58:04,4,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br
1739883484,2025-02-18 09:58:04,5,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br,170.79.214.53,bto2-cto1.bkb.rnp.br
1739883484,2025-02-18 09:58:04,6,170.79.214.53,bto2-cto1.bkb.rnp.br,200.139.26.231,No-Hostname
1739883484,2025-02-18 09:58:04,7,200.139.26.231,No-Hostname,200.139.26.250,No-Hostname
