Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1747128508,2025-05-13 06:28:28,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747128508,2025-05-13 06:28:28,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747128508,2025-05-13 06:28:28,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747128508,2025-05-13 06:28:28,4,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1747128508,2025-05-13 06:28:28,5,200.143.252.3,bba1-cba1.bkb.rnp.br,100.64.57.2,No-Hostname
1747128508,2025-05-13 06:28:28,6,100.64.57.2,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1747129381,2025-05-13 06:43:01,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747129381,2025-05-13 06:43:01,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747129381,2025-05-13 06:43:01,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747129381,2025-05-13 06:43:01,4,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1747129381,2025-05-13 06:43:01,5,200.143.252.3,bba1-cba1.bkb.rnp.br,100.64.57.2,No-Hostname
1747129381,2025-05-13 06:43:01,6,100.64.57.2,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1747130161,2025-05-13 06:56:01,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747130161,2025-05-13 06:56:01,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747130161,2025-05-13 06:56:01,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747130161,2025-05-13 06:56:01,4,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1747130161,2025-05-13 06:56:01,5,200.143.252.3,bba1-cba1.bkb.rnp.br,100.64.57.2,No-Hostname
1747130161,2025-05-13 06:56:01,6,100.64.57.2,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1747130537,2025-05-13 07:02:17,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747130537,2025-05-13 07:02:17,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747130537,2025-05-13 07:02:17,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747130537,2025-05-13 07:02:17,4,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1747130537,2025-05-13 07:02:17,5,200.143.252.3,bba1-cba1.bkb.rnp.br,100.64.57.2,No-Hostname
1747130537,2025-05-13 07:02:17,6,100.64.57.2,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1747131247,2025-05-13 07:14:07,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747131247,2025-05-13 07:14:07,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747131247,2025-05-13 07:14:07,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747131247,2025-05-13 07:14:07,4,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1747131247,2025-05-13 07:14:07,5,200.143.252.3,bba1-cba1.bkb.rnp.br,100.64.57.2,No-Hostname
1747131247,2025-05-13 07:14:07,6,100.64.57.2,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1747131929,2025-05-13 07:25:29,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747131929,2025-05-13 07:25:29,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747131929,2025-05-13 07:25:29,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1747131929,2025-05-13 07:25:29,4,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1747131929,2025-05-13 07:25:29,5,200.143.252.3,bba1-cba1.bkb.rnp.br,100.64.57.2,No-Hostname
1747131929,2025-05-13 07:25:29,6,100.64.57.2,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1747132550,2025-05-13 07:35:50,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
