Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1751374922,2025-07-01 10:02:02,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1751374922,2025-07-01 10:02:02,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1751374922,2025-07-01 10:02:02,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1751374922,2025-07-01 10:02:02,4,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1751374922,2025-07-01 10:02:02,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1751374922,2025-07-01 10:02:02,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1751375893,2025-07-01 10:18:13,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1751375893,2025-07-01 10:18:13,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1751375893,2025-07-01 10:18:13,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1751375893,2025-07-01 10:18:13,4,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1751375893,2025-07-01 10:18:13,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1751375893,2025-07-01 10:18:13,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1751376311,2025-07-01 10:25:11,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1751376311,2025-07-01 10:25:11,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1751376311,2025-07-01 10:25:11,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1751376311,2025-07-01 10:25:11,4,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1751376311,2025-07-01 10:25:11,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1751376311,2025-07-01 10:25:11,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1751377114,2025-07-01 10:38:34,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1751377114,2025-07-01 10:38:34,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1751377114,2025-07-01 10:38:34,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1751377114,2025-07-01 10:38:34,4,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1751377114,2025-07-01 10:38:34,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1751377114,2025-07-01 10:38:34,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1751377830,2025-07-01 10:50:30,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1751377830,2025-07-01 10:50:30,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1751377830,2025-07-01 10:50:30,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1751377830,2025-07-01 10:50:30,4,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1751377830,2025-07-01 10:50:30,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1751377830,2025-07-01 10:50:30,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1751378070,2025-07-01 10:54:30,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1751378070,2025-07-01 10:54:30,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1751378070,2025-07-01 10:54:30,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1751378070,2025-07-01 10:54:30,4,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1751378070,2025-07-01 10:54:30,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1751378070,2025-07-01 10:54:30,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1751378831,2025-07-01 11:07:11,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1751378831,2025-07-01 11:07:11,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1751378831,2025-07-01 11:07:11,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1751378831,2025-07-01 11:07:11,4,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1751378831,2025-07-01 11:07:11,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1751378831,2025-07-01 11:07:11,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1751379515,2025-07-01 11:18:35,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1751379515,2025-07-01 11:18:35,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1751379515,2025-07-01 11:18:35,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1751379515,2025-07-01 11:18:35,4,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1751379515,2025-07-01 11:18:35,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1751379515,2025-07-01 11:18:35,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
1751380228,2025-07-01 11:30:28,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1751380228,2025-07-01 11:30:28,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1751380228,2025-07-01 11:30:28,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br
1751380228,2025-07-01 11:30:28,4,200.143.253.77,go-cdf2-tlbrs.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1751380228,2025-07-01 11:30:28,5,200.143.255.222,lango-go.bkb.rnp.br,200.137.224.230,No-Hostname
1751380228,2025-07-01 11:30:28,6,200.137.224.230,No-Hostname,200.18.160.122,monipe-go-atraso.rnp.br
