Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1747071824,2025-05-12 14:43:44,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747071824,2025-05-12 14:43:44,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747071824,2025-05-12 14:43:44,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1747071824,2025-05-12 14:43:44,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br
1747071824,2025-05-12 14:43:44,5,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1747071824,2025-05-12 14:43:44,6,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1747071824,2025-05-12 14:43:44,7,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1747072648,2025-05-12 14:57:28,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747072648,2025-05-12 14:57:28,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747072648,2025-05-12 14:57:28,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1747072648,2025-05-12 14:57:28,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br
1747072648,2025-05-12 14:57:28,5,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1747072648,2025-05-12 14:57:28,6,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1747072648,2025-05-12 14:57:28,7,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1747073462,2025-05-12 15:11:02,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747073462,2025-05-12 15:11:02,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747073462,2025-05-12 15:11:02,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1747073462,2025-05-12 15:11:02,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br
1747073462,2025-05-12 15:11:02,5,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1747073462,2025-05-12 15:11:02,6,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1747073462,2025-05-12 15:11:02,7,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1747073633,2025-05-12 15:13:53,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747073633,2025-05-12 15:13:53,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747073633,2025-05-12 15:13:53,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1747073633,2025-05-12 15:13:53,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br
1747073633,2025-05-12 15:13:53,5,170.79.213.92,cpa1-cto1-tlb.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
1747073633,2025-05-12 15:13:53,6,170.79.214.41,bpa1-cpa1.bkb.rnp.br,No-IP,No-Hostname
1747073633,2025-05-12 15:13:53,7,No-IP,No-Hostname,200.129.149.11,monipe-pa-atraso.rnp.br
1747074285,2025-05-12 15:24:45,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1747074285,2025-05-12 15:24:45,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1747074285,2025-05-12 15:24:45,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1747074285,2025-05-12 15:24:45,4,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br
1747074285,2025-05-12 15:24:45,5,170.79.213.87,cma1-cdf1-tlb.bkb.rnp.br,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br
1747074285,2025-05-12 15:24:45,6,170.79.213.241,cpa1-cma1-mobwire.bkb.rnp.br,170.79.214.41,bpa1-cpa1.bkb.rnp.br
