Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1747128472,2025-05-13 06:27:52,1,200.19.119.67,gateway,200.130.101.19,No-Hostname
1747128472,2025-05-13 06:27:52,2,200.130.101.19,No-Hostname,170.79.214.112,cdf1-bdf1.bkb.rnp.br
1747128472,2025-05-13 06:27:52,3,170.79.214.112,cdf1-bdf1.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1747128472,2025-05-13 06:27:52,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.213.123,csp2-csp1.bkb.rnp.br
1747128472,2025-05-13 06:27:52,5,170.79.213.123,csp2-csp1.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1747128472,2025-05-13 06:27:52,6,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1747128472,2025-05-13 06:27:52,7,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1747129116,2025-05-13 06:38:36,1,200.19.119.67,gateway,200.130.101.19,No-Hostname
1747129116,2025-05-13 06:38:36,2,200.130.101.19,No-Hostname,170.79.214.112,cdf1-bdf1.bkb.rnp.br
1747129116,2025-05-13 06:38:36,3,170.79.214.112,cdf1-bdf1.bkb.rnp.br,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br
1747129116,2025-05-13 06:38:36,4,170.79.213.97,csp1-cdf2-claro.bkb.rnp.br,170.79.213.123,csp2-csp1.bkb.rnp.br
1747129116,2025-05-13 06:38:36,5,170.79.213.123,csp2-csp1.bkb.rnp.br,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br
1747129116,2025-05-13 06:38:36,6,170.79.213.228,crs2-csp2-100g-clara.bkb.rnp.br,No-IP,No-Hostname
1747129116,2025-05-13 06:38:36,7,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1747130016,2025-05-13 06:53:36,1,200.19.119.67,gateway,200.130.101.19,No-Hostname
