Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1748301108,2025-05-26 20:11:48,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748301108,2025-05-26 20:11:48,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748301108,2025-05-26 20:11:48,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748301108,2025-05-26 20:11:48,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748301108,2025-05-26 20:11:48,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748301108,2025-05-26 20:11:48,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748301108,2025-05-26 20:11:48,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748302062,2025-05-26 20:27:42,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748302062,2025-05-26 20:27:42,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748302062,2025-05-26 20:27:42,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748302062,2025-05-26 20:27:42,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748302062,2025-05-26 20:27:42,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748302062,2025-05-26 20:27:42,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748302062,2025-05-26 20:27:42,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748302804,2025-05-26 20:40:04,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748302804,2025-05-26 20:40:04,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748302804,2025-05-26 20:40:04,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748302804,2025-05-26 20:40:04,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748302804,2025-05-26 20:40:04,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748302804,2025-05-26 20:40:04,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748302804,2025-05-26 20:40:04,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748302978,2025-05-26 20:42:58,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748302978,2025-05-26 20:42:58,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748302978,2025-05-26 20:42:58,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748302978,2025-05-26 20:42:58,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748302978,2025-05-26 20:42:58,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748302978,2025-05-26 20:42:58,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748302978,2025-05-26 20:42:58,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748303756,2025-05-26 20:55:56,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748303756,2025-05-26 20:55:56,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748303756,2025-05-26 20:55:56,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748303756,2025-05-26 20:55:56,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748303756,2025-05-26 20:55:56,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748303756,2025-05-26 20:55:56,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748303756,2025-05-26 20:55:56,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748304479,2025-05-26 21:07:59,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748304479,2025-05-26 21:07:59,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748304479,2025-05-26 21:07:59,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748304479,2025-05-26 21:07:59,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748304479,2025-05-26 21:07:59,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748304479,2025-05-26 21:07:59,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748304479,2025-05-26 21:07:59,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748305128,2025-05-26 21:18:48,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748305128,2025-05-26 21:18:48,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748305128,2025-05-26 21:18:48,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748305128,2025-05-26 21:18:48,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748305128,2025-05-26 21:18:48,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748305128,2025-05-26 21:18:48,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748305128,2025-05-26 21:18:48,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748305756,2025-05-26 21:29:16,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748305756,2025-05-26 21:29:16,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748305756,2025-05-26 21:29:16,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br
1748305756,2025-05-26 21:29:16,4,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748305756,2025-05-26 21:29:16,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748305756,2025-05-26 21:29:16,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748305756,2025-05-26 21:29:16,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748305983,2025-05-26 21:33:03,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748305983,2025-05-26 21:33:03,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748305983,2025-05-26 21:33:03,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br
1748305983,2025-05-26 21:33:03,4,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748305983,2025-05-26 21:33:03,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748305983,2025-05-26 21:33:03,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748305983,2025-05-26 21:33:03,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748306935,2025-05-26 21:48:55,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748306935,2025-05-26 21:48:55,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748306935,2025-05-26 21:48:55,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br
1748306935,2025-05-26 21:48:55,4,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748306935,2025-05-26 21:48:55,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748306935,2025-05-26 21:48:55,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748306935,2025-05-26 21:48:55,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748307172,2025-05-26 21:52:52,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748307172,2025-05-26 21:52:52,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748307172,2025-05-26 21:52:52,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br
1748307172,2025-05-26 21:52:52,4,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748307172,2025-05-26 21:52:52,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748307172,2025-05-26 21:52:52,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748307172,2025-05-26 21:52:52,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748308172,2025-05-26 22:09:32,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748308172,2025-05-26 22:09:32,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748308172,2025-05-26 22:09:32,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br
1748308172,2025-05-26 22:09:32,4,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748308172,2025-05-26 22:09:32,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748308172,2025-05-26 22:09:32,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748308172,2025-05-26 22:09:32,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748308345,2025-05-26 22:12:25,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748308345,2025-05-26 22:12:25,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748308345,2025-05-26 22:12:25,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br
1748308345,2025-05-26 22:12:25,4,170.79.212.241,cto1-cdf2-aloha.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748308345,2025-05-26 22:12:25,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748308345,2025-05-26 22:12:25,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748308345,2025-05-26 22:12:25,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748309140,2025-05-26 22:25:40,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748309140,2025-05-26 22:25:40,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748309140,2025-05-26 22:25:40,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748309140,2025-05-26 22:25:40,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748309140,2025-05-26 22:25:40,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748309140,2025-05-26 22:25:40,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748309140,2025-05-26 22:25:40,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748310017,2025-05-26 22:40:17,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748310017,2025-05-26 22:40:17,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748310017,2025-05-26 22:40:17,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748310017,2025-05-26 22:40:17,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748310017,2025-05-26 22:40:17,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748310017,2025-05-26 22:40:17,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748310017,2025-05-26 22:40:17,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748310142,2025-05-26 22:42:22,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748310142,2025-05-26 22:42:22,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748310142,2025-05-26 22:42:22,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748310142,2025-05-26 22:42:22,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748310142,2025-05-26 22:42:22,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748310142,2025-05-26 22:42:22,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748310142,2025-05-26 22:42:22,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748311039,2025-05-26 22:57:19,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748311039,2025-05-26 22:57:19,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748311039,2025-05-26 22:57:19,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748311039,2025-05-26 22:57:19,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748311039,2025-05-26 22:57:19,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748311039,2025-05-26 22:57:19,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748311039,2025-05-26 22:57:19,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748311696,2025-05-26 23:08:16,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748311696,2025-05-26 23:08:16,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748311696,2025-05-26 23:08:16,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748311696,2025-05-26 23:08:16,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748311696,2025-05-26 23:08:16,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748311696,2025-05-26 23:08:16,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748311696,2025-05-26 23:08:16,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748312378,2025-05-26 23:19:38,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748312378,2025-05-26 23:19:38,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748312378,2025-05-26 23:19:38,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748312378,2025-05-26 23:19:38,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748312378,2025-05-26 23:19:38,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748312378,2025-05-26 23:19:38,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748312378,2025-05-26 23:19:38,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748312992,2025-05-26 23:29:52,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748312992,2025-05-26 23:29:52,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748312992,2025-05-26 23:29:52,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748312992,2025-05-26 23:29:52,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748312992,2025-05-26 23:29:52,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748312992,2025-05-26 23:29:52,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748312992,2025-05-26 23:29:52,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748313334,2025-05-26 23:35:34,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748313334,2025-05-26 23:35:34,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748313334,2025-05-26 23:35:34,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748313334,2025-05-26 23:35:34,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748313334,2025-05-26 23:35:34,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748313334,2025-05-26 23:35:34,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748313334,2025-05-26 23:35:34,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748314209,2025-05-26 23:50:09,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748314209,2025-05-26 23:50:09,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748314209,2025-05-26 23:50:09,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748314209,2025-05-26 23:50:09,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748314209,2025-05-26 23:50:09,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748314209,2025-05-26 23:50:09,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748314209,2025-05-26 23:50:09,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748314720,2025-05-26 23:58:40,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748314720,2025-05-26 23:58:40,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748314720,2025-05-26 23:58:40,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748314720,2025-05-26 23:58:40,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748314720,2025-05-26 23:58:40,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748314720,2025-05-26 23:58:40,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748314720,2025-05-26 23:58:40,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748315405,2025-05-27 00:10:05,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748315405,2025-05-27 00:10:05,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748315405,2025-05-27 00:10:05,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748315405,2025-05-27 00:10:05,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748315405,2025-05-27 00:10:05,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748315405,2025-05-27 00:10:05,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748315405,2025-05-27 00:10:05,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748315526,2025-05-27 00:12:06,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748315526,2025-05-27 00:12:06,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
1748315526,2025-05-27 00:12:06,3,170.79.214.114,cdf2-bdf2.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1748315526,2025-05-27 00:12:06,4,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1748315526,2025-05-27 00:12:06,5,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1748315526,2025-05-27 00:12:06,6,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1748315526,2025-05-27 00:12:06,7,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1748316138,2025-05-27 00:22:18,1,200.19.119.67,gateway,200.130.101.214,No-Hostname
1748316138,2025-05-27 00:22:18,2,200.130.101.214,No-Hostname,170.79.214.114,cdf2-bdf2.bkb.rnp.br
