Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1746019843,2025-04-30 10:30:43,1,200.137.76.129,gateway,200.137.84.124,No-Hostname
1746019843,2025-04-30 10:30:43,2,200.137.84.124,No-Hostname,170.79.214.90,ces1-bes1.bkb.rnp.br
1746019843,2025-04-30 10:30:43,3,170.79.214.90,ces1-bes1.bkb.rnp.br,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br
1746019843,2025-04-30 10:30:43,4,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1746019843,2025-04-30 10:30:43,5,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br
1746019843,2025-04-30 10:30:43,6,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1746019843,2025-04-30 10:30:43,7,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1746019843,2025-04-30 10:30:43,8,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1746019843,2025-04-30 10:30:43,9,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1746019843,2025-04-30 10:30:43,10,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1746020843,2025-04-30 10:47:23,1,200.137.76.129,gateway,200.137.84.124,No-Hostname
1746020843,2025-04-30 10:47:23,2,200.137.84.124,No-Hostname,170.79.214.90,ces1-bes1.bkb.rnp.br
1746020843,2025-04-30 10:47:23,3,170.79.214.90,ces1-bes1.bkb.rnp.br,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br
1746020843,2025-04-30 10:47:23,4,170.79.213.197,crj1-ces1-100g-telebras.bkb.rnp.br,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br
1746020843,2025-04-30 10:47:23,5,170.79.213.45,csp1-crj1-furnas.bkb.rnp.br,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br
1746020843,2025-04-30 10:47:23,6,170.79.213.94,cdf2-csp1-claro.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1746020843,2025-04-30 10:47:23,7,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1746020843,2025-04-30 10:47:23,8,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1746020843,2025-04-30 10:47:23,9,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1746020843,2025-04-30 10:47:23,10,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1746021166,2025-04-30 10:52:46,1,200.137.76.129,gateway,200.137.84.124,No-Hostname
1746021166,2025-04-30 10:52:46,2,200.137.84.124,No-Hostname,170.79.214.90,ces1-bes1.bkb.rnp.br
1746021166,2025-04-30 10:52:46,3,170.79.214.90,ces1-bes1.bkb.rnp.br,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br
1746021166,2025-04-30 10:52:46,4,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1746021166,2025-04-30 10:52:46,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1746021166,2025-04-30 10:52:46,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1746021166,2025-04-30 10:52:46,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1746021166,2025-04-30 10:52:46,8,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1746021166,2025-04-30 10:52:46,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1746022168,2025-04-30 11:09:28,1,200.137.76.129,gateway,200.137.84.124,No-Hostname
1746022168,2025-04-30 11:09:28,2,200.137.84.124,No-Hostname,170.79.214.90,ces1-bes1.bkb.rnp.br
1746022168,2025-04-30 11:09:28,3,170.79.214.90,ces1-bes1.bkb.rnp.br,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br
1746022168,2025-04-30 11:09:28,4,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1746022168,2025-04-30 11:09:28,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1746022168,2025-04-30 11:09:28,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1746022168,2025-04-30 11:09:28,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
1746022168,2025-04-30 11:09:28,8,200.139.26.229,No-Hostname,200.139.26.250,No-Hostname
1746022168,2025-04-30 11:09:28,9,200.139.26.250,No-Hostname,200.139.26.37,monipe-to-atraso.rnp.br
1746022524,2025-04-30 11:15:24,1,200.137.76.129,gateway,200.137.84.124,No-Hostname
1746022524,2025-04-30 11:15:24,2,200.137.84.124,No-Hostname,170.79.214.90,ces1-bes1.bkb.rnp.br
1746022524,2025-04-30 11:15:24,3,170.79.214.90,ces1-bes1.bkb.rnp.br,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br
1746022524,2025-04-30 11:15:24,4,170.79.213.194,cba1-ces1-100g-telebras.bkb.rnp.br,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br
1746022524,2025-04-30 11:15:24,5,170.79.213.105,cdf2-cba1-taesa.bkb.rnp.br,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br
1746022524,2025-04-30 11:15:24,6,170.79.213.91,cto1-cdf2-tlb.bkb.rnp.br,170.79.214.67,bto1-cto1.bkb.rnp.br
1746022524,2025-04-30 11:15:24,7,170.79.214.67,bto1-cto1.bkb.rnp.br,200.139.26.229,No-Hostname
