Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1739883186,2025-02-18 09:53:06,1,200.18.160.11,go-pop-br-rt-datacenter,200.143.255.221,go-lango.bkb.rnp.br
1739883186,2025-02-18 09:53:06,2,200.143.255.221,go-lango.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1739883186,2025-02-18 09:53:06,3,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1739883186,2025-02-18 09:53:06,4,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1739883186,2025-02-18 09:53:06,5,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1739883186,2025-02-18 09:53:06,6,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1739883186,2025-02-18 09:53:06,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1739883186,2025-02-18 09:53:06,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1739883875,2025-02-18 10:04:35,1,200.18.160.11,go-pop-br-rt-datacenter,200.143.255.221,go-lango.bkb.rnp.br
1739883875,2025-02-18 10:04:35,2,200.143.255.221,go-lango.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1739883875,2025-02-18 10:04:35,3,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1739883875,2025-02-18 10:04:35,4,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1739883875,2025-02-18 10:04:35,5,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1739883875,2025-02-18 10:04:35,6,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1739883875,2025-02-18 10:04:35,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1739883875,2025-02-18 10:04:35,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1739884058,2025-02-18 10:07:38,1,200.18.160.11,go-pop-br-rt-datacenter,200.143.255.221,go-lango.bkb.rnp.br
1739884058,2025-02-18 10:07:38,2,200.143.255.221,go-lango.bkb.rnp.br,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br
1739884058,2025-02-18 10:07:38,3,200.143.253.78,cdf2-go-tlbrs.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1739884058,2025-02-18 10:07:38,4,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1739884058,2025-02-18 10:07:38,5,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br
1739884058,2025-02-18 10:07:38,6,170.79.213.11,crn1-cpb1-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1739884058,2025-02-18 10:07:38,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1739884058,2025-02-18 10:07:38,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
