Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1739883478,2025-02-18 09:57:58,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.12,No-Hostname
1739883478,2025-02-18 09:57:58,2,200.137.140.12,No-Hostname,170.79.214.56,cma1-bma2.bkb.rnp.br
1739883478,2025-02-18 09:57:58,3,170.79.214.56,cma1-bma2.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1739883478,2025-02-18 09:57:58,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1739883478,2025-02-18 09:57:58,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1739883478,2025-02-18 09:57:58,6,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1739883478,2025-02-18 09:57:58,7,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1739883478,2025-02-18 09:57:58,8,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1739884127,2025-02-18 10:08:47,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.12,No-Hostname
1739884127,2025-02-18 10:08:47,2,200.137.140.12,No-Hostname,170.79.214.56,cma1-bma2.bkb.rnp.br
1739884127,2025-02-18 10:08:47,3,170.79.214.56,cma1-bma2.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1739884127,2025-02-18 10:08:47,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1739884127,2025-02-18 10:08:47,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1739884127,2025-02-18 10:08:47,6,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1739884127,2025-02-18 10:08:47,7,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1739884127,2025-02-18 10:08:47,8,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1739884644,2025-02-18 10:17:24,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.12,No-Hostname
1739884644,2025-02-18 10:17:24,2,200.137.140.12,No-Hostname,170.79.214.56,cma1-bma2.bkb.rnp.br
1739884644,2025-02-18 10:17:24,3,170.79.214.56,cma1-bma2.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1739884644,2025-02-18 10:17:24,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1739884644,2025-02-18 10:17:24,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1739884644,2025-02-18 10:17:24,6,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1739884644,2025-02-18 10:17:24,7,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1739884644,2025-02-18 10:17:24,8,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1739885315,2025-02-18 10:28:35,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.12,No-Hostname
1739885315,2025-02-18 10:28:35,2,200.137.140.12,No-Hostname,170.79.214.56,cma1-bma2.bkb.rnp.br
1739885315,2025-02-18 10:28:35,3,170.79.214.56,cma1-bma2.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1739885315,2025-02-18 10:28:35,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1739885315,2025-02-18 10:28:35,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1739885315,2025-02-18 10:28:35,6,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1739885315,2025-02-18 10:28:35,7,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1739885315,2025-02-18 10:28:35,8,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1739886184,2025-02-18 10:43:04,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.12,No-Hostname
1739886184,2025-02-18 10:43:04,2,200.137.140.12,No-Hostname,170.79.214.56,cma1-bma2.bkb.rnp.br
1739886184,2025-02-18 10:43:04,3,170.79.214.56,cma1-bma2.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1739886184,2025-02-18 10:43:04,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1739886184,2025-02-18 10:43:04,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1739886184,2025-02-18 10:43:04,6,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1739886184,2025-02-18 10:43:04,7,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1739886184,2025-02-18 10:43:04,8,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1739886853,2025-02-18 10:54:13,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.12,No-Hostname
1739886853,2025-02-18 10:54:13,2,200.137.140.12,No-Hostname,170.79.214.56,cma1-bma2.bkb.rnp.br
1739886853,2025-02-18 10:54:13,3,170.79.214.56,cma1-bma2.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1739886853,2025-02-18 10:54:13,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1739886853,2025-02-18 10:54:13,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1739886853,2025-02-18 10:54:13,6,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1739886853,2025-02-18 10:54:13,7,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1739886853,2025-02-18 10:54:13,8,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1739887215,2025-02-18 11:00:15,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.12,No-Hostname
1739887215,2025-02-18 11:00:15,2,200.137.140.12,No-Hostname,170.79.214.56,cma1-bma2.bkb.rnp.br
1739887215,2025-02-18 11:00:15,3,170.79.214.56,cma1-bma2.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1739887215,2025-02-18 11:00:15,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1739887215,2025-02-18 11:00:15,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
1739887215,2025-02-18 11:00:15,6,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1739887215,2025-02-18 11:00:15,7,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1739887215,2025-02-18 11:00:15,8,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1739887983,2025-02-18 11:13:03,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.12,No-Hostname
1739887983,2025-02-18 11:13:03,2,200.137.140.12,No-Hostname,170.79.214.56,cma1-bma2.bkb.rnp.br
1739887983,2025-02-18 11:13:03,3,170.79.214.56,cma1-bma2.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1739887983,2025-02-18 11:13:03,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1739887983,2025-02-18 11:13:03,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.30,cba1-cce1-chesf.bkb.rnp.br
