Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1741426872,2025-03-08 06:41:12,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1741426872,2025-03-08 06:41:12,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1741426872,2025-03-08 06:41:12,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1741426872,2025-03-08 06:41:12,4,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1741426872,2025-03-08 06:41:12,5,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741426872,2025-03-08 06:41:12,6,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1741426872,2025-03-08 06:41:12,7,200.143.255.222,lango-go.bkb.rnp.br,200.18.160.122,monipe-go-atraso.rnp.br
1741427999,2025-03-08 06:59:59,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1741427999,2025-03-08 06:59:59,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1741427999,2025-03-08 06:59:59,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1741427999,2025-03-08 06:59:59,4,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1741427999,2025-03-08 06:59:59,5,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741427999,2025-03-08 06:59:59,6,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1741427999,2025-03-08 06:59:59,7,200.143.255.222,lango-go.bkb.rnp.br,200.18.160.122,monipe-go-atraso.rnp.br
1741428253,2025-03-08 07:04:13,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1741428253,2025-03-08 07:04:13,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1741428253,2025-03-08 07:04:13,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1741428253,2025-03-08 07:04:13,4,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1741428253,2025-03-08 07:04:13,5,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741428253,2025-03-08 07:04:13,6,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1741428253,2025-03-08 07:04:13,7,200.143.255.222,lango-go.bkb.rnp.br,200.18.160.122,monipe-go-atraso.rnp.br
1741428728,2025-03-08 07:12:08,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1741428728,2025-03-08 07:12:08,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1741428728,2025-03-08 07:12:08,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1741428728,2025-03-08 07:12:08,4,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1741428728,2025-03-08 07:12:08,5,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741428728,2025-03-08 07:12:08,6,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1741428728,2025-03-08 07:12:08,7,200.143.255.222,lango-go.bkb.rnp.br,200.18.160.122,monipe-go-atraso.rnp.br
1741429280,2025-03-08 07:21:20,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1741429280,2025-03-08 07:21:20,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1741429280,2025-03-08 07:21:20,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1741429280,2025-03-08 07:21:20,4,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1741429280,2025-03-08 07:21:20,5,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741429280,2025-03-08 07:21:20,6,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1741429280,2025-03-08 07:21:20,7,200.143.255.222,lango-go.bkb.rnp.br,200.18.160.122,monipe-go-atraso.rnp.br
1741430268,2025-03-08 07:37:48,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1741430268,2025-03-08 07:37:48,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1741430268,2025-03-08 07:37:48,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1741430268,2025-03-08 07:37:48,4,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1741430268,2025-03-08 07:37:48,5,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741430268,2025-03-08 07:37:48,6,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1741430268,2025-03-08 07:37:48,7,200.143.255.222,lango-go.bkb.rnp.br,200.18.160.122,monipe-go-atraso.rnp.br
1741430743,2025-03-08 07:45:43,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1741430743,2025-03-08 07:45:43,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1741430743,2025-03-08 07:45:43,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1741430743,2025-03-08 07:45:43,4,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1741430743,2025-03-08 07:45:43,5,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741430743,2025-03-08 07:45:43,6,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
1741430743,2025-03-08 07:45:43,7,200.143.255.222,lango-go.bkb.rnp.br,200.18.160.122,monipe-go-atraso.rnp.br
1741431934,2025-03-08 08:05:34,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1741431934,2025-03-08 08:05:34,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1741431934,2025-03-08 08:05:34,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br
1741431934,2025-03-08 08:05:34,4,170.79.213.86,cdf1-cma1-tlb.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1741431934,2025-03-08 08:05:34,5,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br
1741431934,2025-03-08 08:05:34,6,170.79.213.170,mxgo-cmt1-acessonline.bkb.rnp.br,200.143.255.222,lango-go.bkb.rnp.br
