Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1749857892,2025-06-13 20:38:12,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1749857892,2025-06-13 20:38:12,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1749857892,2025-06-13 20:38:12,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1749857892,2025-06-13 20:38:12,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1749857892,2025-06-13 20:38:12,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1749857892,2025-06-13 20:38:12,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1749857892,2025-06-13 20:38:12,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1749857892,2025-06-13 20:38:12,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
1749857892,2025-06-13 20:38:12,9,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1749858879,2025-06-13 20:54:39,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1749858879,2025-06-13 20:54:39,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1749858879,2025-06-13 20:54:39,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1749858879,2025-06-13 20:54:39,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1749858879,2025-06-13 20:54:39,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1749858879,2025-06-13 20:54:39,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1749858879,2025-06-13 20:54:39,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1749858879,2025-06-13 20:54:39,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
1749858879,2025-06-13 20:54:39,9,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1749859434,2025-06-13 21:03:54,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1749859434,2025-06-13 21:03:54,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1749859434,2025-06-13 21:03:54,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1749859434,2025-06-13 21:03:54,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1749859434,2025-06-13 21:03:54,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1749859434,2025-06-13 21:03:54,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1749859434,2025-06-13 21:03:54,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1749859434,2025-06-13 21:03:54,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
1749859434,2025-06-13 21:03:54,9,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1749859919,2025-06-13 21:11:59,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1749859919,2025-06-13 21:11:59,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1749859919,2025-06-13 21:11:59,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1749859919,2025-06-13 21:11:59,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1749859919,2025-06-13 21:11:59,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1749859919,2025-06-13 21:11:59,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1749859919,2025-06-13 21:11:59,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1749859919,2025-06-13 21:11:59,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
1749859919,2025-06-13 21:11:59,9,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1749860373,2025-06-13 21:19:33,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1749860373,2025-06-13 21:19:33,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1749860373,2025-06-13 21:19:33,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1749860373,2025-06-13 21:19:33,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1749860373,2025-06-13 21:19:33,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1749860373,2025-06-13 21:19:33,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1749860373,2025-06-13 21:19:33,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1749860373,2025-06-13 21:19:33,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
1749860373,2025-06-13 21:19:33,9,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1749861025,2025-06-13 21:30:25,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1749861025,2025-06-13 21:30:25,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1749861025,2025-06-13 21:30:25,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1749861025,2025-06-13 21:30:25,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1749861025,2025-06-13 21:30:25,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1749861025,2025-06-13 21:30:25,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1749861025,2025-06-13 21:30:25,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1749861025,2025-06-13 21:30:25,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
1749861025,2025-06-13 21:30:25,9,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1749861591,2025-06-13 21:39:51,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1749861591,2025-06-13 21:39:51,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1749861591,2025-06-13 21:39:51,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1749861591,2025-06-13 21:39:51,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1749861591,2025-06-13 21:39:51,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1749861591,2025-06-13 21:39:51,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1749861591,2025-06-13 21:39:51,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1749861591,2025-06-13 21:39:51,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
1749861591,2025-06-13 21:39:51,9,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1749863173,2025-06-13 22:06:13,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1749863173,2025-06-13 22:06:13,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1749863173,2025-06-13 22:06:13,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1749863173,2025-06-13 22:06:13,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1749863173,2025-06-13 22:06:13,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1749863173,2025-06-13 22:06:13,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1749863173,2025-06-13 22:06:13,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1749863173,2025-06-13 22:06:13,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
1749863173,2025-06-13 22:06:13,9,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1749863692,2025-06-13 22:14:52,1,200.137.129.5,core-popma-10g.pop-ma.rnp.br,200.137.140.10,No-Hostname
1749863692,2025-06-13 22:14:52,2,200.137.140.10,No-Hostname,170.79.214.42,cma1-bma1.bkb.rnp.br
1749863692,2025-06-13 22:14:52,3,170.79.214.42,cma1-bma1.bkb.rnp.br,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br
1749863692,2025-06-13 22:14:52,4,170.79.213.103,cpi1-cma1-tlb.bkb.rnp.br,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br
1749863692,2025-06-13 22:14:52,5,170.79.213.174,cce1-cpi1-chesf.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1749863692,2025-06-13 22:14:52,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1749863692,2025-06-13 22:14:52,7,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1749863692,2025-06-13 22:14:52,8,170.79.214.71,No-Hostname,No-IP,No-Hostname
1749863692,2025-06-13 22:14:52,9,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
