Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1748531902,2025-05-29 12:18:22,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1748531902,2025-05-29 12:18:22,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1748531902,2025-05-29 12:18:22,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1748531902,2025-05-29 12:18:22,4,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1748531902,2025-05-29 12:18:22,5,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1748531902,2025-05-29 12:18:22,6,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1748532560,2025-05-29 12:29:20,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1748532560,2025-05-29 12:29:20,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1748532560,2025-05-29 12:29:20,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1748532560,2025-05-29 12:29:20,4,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1748532560,2025-05-29 12:29:20,5,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1748532560,2025-05-29 12:29:20,6,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1748533352,2025-05-29 12:42:32,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1748533352,2025-05-29 12:42:32,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1748533352,2025-05-29 12:42:32,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1748533352,2025-05-29 12:42:32,4,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1748533352,2025-05-29 12:42:32,5,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1748533352,2025-05-29 12:42:32,6,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1748533932,2025-05-29 12:52:12,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1748533932,2025-05-29 12:52:12,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1748533932,2025-05-29 12:52:12,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1748533932,2025-05-29 12:52:12,4,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1748533932,2025-05-29 12:52:12,5,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1748533932,2025-05-29 12:52:12,6,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1748534727,2025-05-29 13:05:27,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1748534727,2025-05-29 13:05:27,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1748534727,2025-05-29 13:05:27,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1748534727,2025-05-29 13:05:27,4,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1748534727,2025-05-29 13:05:27,5,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1748534727,2025-05-29 13:05:27,6,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1748534989,2025-05-29 13:09:49,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1748534989,2025-05-29 13:09:49,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1748534989,2025-05-29 13:09:49,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br
1748534989,2025-05-29 13:09:49,4,170.79.213.154,cba1-cmg1-100g-infobarra.bkb.rnp.br,200.143.252.3,bba1-cba1.bkb.rnp.br
1748534989,2025-05-29 13:09:49,5,200.143.252.3,bba1-cba1.bkb.rnp.br,No-IP,No-Hostname
1748534989,2025-05-29 13:09:49,6,No-IP,No-Hostname,200.128.2.21,monipe-ba-atraso.rnp.br
1748535555,2025-05-29 13:19:15,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
