Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744796659,2025-04-16 06:44:19,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1744796659,2025-04-16 06:44:19,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1744796659,2025-04-16 06:44:19,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1744796659,2025-04-16 06:44:19,4,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br
1744796659,2025-04-16 06:44:19,5,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1744796659,2025-04-16 06:44:19,6,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1744796659,2025-04-16 06:44:19,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1744796659,2025-04-16 06:44:19,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1744797720,2025-04-16 07:02:00,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1744797720,2025-04-16 07:02:00,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1744797720,2025-04-16 07:02:00,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1744797720,2025-04-16 07:02:00,4,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br
1744797720,2025-04-16 07:02:00,5,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1744797720,2025-04-16 07:02:00,6,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1744797720,2025-04-16 07:02:00,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1744797720,2025-04-16 07:02:00,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1744798219,2025-04-16 07:10:19,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1744798219,2025-04-16 07:10:19,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1744798219,2025-04-16 07:10:19,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1744798219,2025-04-16 07:10:19,4,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br
1744798219,2025-04-16 07:10:19,5,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1744798219,2025-04-16 07:10:19,6,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1744798219,2025-04-16 07:10:19,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1744798219,2025-04-16 07:10:19,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1744798898,2025-04-16 07:21:38,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1744798898,2025-04-16 07:21:38,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1744798898,2025-04-16 07:21:38,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1744798898,2025-04-16 07:21:38,4,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br
1744798898,2025-04-16 07:21:38,5,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1744798898,2025-04-16 07:21:38,6,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1744798898,2025-04-16 07:21:38,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1744798898,2025-04-16 07:21:38,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1744799760,2025-04-16 07:36:00,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1744799760,2025-04-16 07:36:00,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1744799760,2025-04-16 07:36:00,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1744799760,2025-04-16 07:36:00,4,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br
1744799760,2025-04-16 07:36:00,5,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1744799760,2025-04-16 07:36:00,6,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1744799760,2025-04-16 07:36:00,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1744799760,2025-04-16 07:36:00,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1744800614,2025-04-16 07:50:14,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1744800614,2025-04-16 07:50:14,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1744800614,2025-04-16 07:50:14,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1744800614,2025-04-16 07:50:14,4,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br
1744800614,2025-04-16 07:50:14,5,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
1744800614,2025-04-16 07:50:14,6,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br,170.79.214.71,No-Hostname
1744800614,2025-04-16 07:50:14,7,170.79.214.71,No-Hostname,No-IP,No-Hostname
1744800614,2025-04-16 07:50:14,8,No-IP,No-Hostname,200.137.0.196,monipe-rn-atraso.rnp.br
1744801266,2025-04-16 08:01:06,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1744801266,2025-04-16 08:01:06,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1744801266,2025-04-16 08:01:06,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br
1744801266,2025-04-16 08:01:06,4,170.79.213.153,csp2-cmg1-infobarra.bkb.rnp.br,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br
1744801266,2025-04-16 08:01:06,5,170.79.213.2,cce2-csp2-tisparkle.bkb.rnp.br,170.79.213.40,crn1-cce2-chesf.bkb.rnp.br
