Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1751892825,2025-07-07 09:53:45,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1751892825,2025-07-07 09:53:45,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1751892825,2025-07-07 09:53:45,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.135,cmg2-cmg1.bkb.rnp.br
1751892825,2025-07-07 09:53:45,4,170.79.213.135,cmg2-cmg1.bkb.rnp.br,200.143.252.74,csp2-cmg2-infobarra.bkb.rnp.br
1751892825,2025-07-07 09:53:45,5,200.143.252.74,csp2-cmg2-infobarra.bkb.rnp.br,170.79.213.230,cpr2-csp2-100g-brdigital.bkb.rnp.br
1751892825,2025-07-07 09:53:45,6,170.79.213.230,cpr2-csp2-100g-brdigital.bkb.rnp.br,170.79.213.204,csc1-cpr2-brdigital.bkb.rnp.br
1751892825,2025-07-07 09:53:45,7,170.79.213.204,csc1-cpr2-brdigital.bkb.rnp.br,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br
1751892825,2025-07-07 09:53:45,8,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br,No-IP,No-Hostname
1751892825,2025-07-07 09:53:45,9,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1751893698,2025-07-07 10:08:18,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1751893698,2025-07-07 10:08:18,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1751893698,2025-07-07 10:08:18,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.135,cmg2-cmg1.bkb.rnp.br
1751893698,2025-07-07 10:08:18,4,170.79.213.135,cmg2-cmg1.bkb.rnp.br,200.143.252.74,csp2-cmg2-infobarra.bkb.rnp.br
1751893698,2025-07-07 10:08:18,5,200.143.252.74,csp2-cmg2-infobarra.bkb.rnp.br,170.79.213.230,cpr2-csp2-100g-brdigital.bkb.rnp.br
1751893698,2025-07-07 10:08:18,6,170.79.213.230,cpr2-csp2-100g-brdigital.bkb.rnp.br,170.79.213.204,csc1-cpr2-brdigital.bkb.rnp.br
1751893698,2025-07-07 10:08:18,7,170.79.213.204,csc1-cpr2-brdigital.bkb.rnp.br,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br
1751893698,2025-07-07 10:08:18,8,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br,No-IP,No-Hostname
1751893698,2025-07-07 10:08:18,9,No-IP,No-Hostname,200.132.1.23,monipe-rs-atraso.rnp.br
1751894134,2025-07-07 10:15:34,1,200.131.2.161,brigadeiro-gti-rnp.pop-mg.rnp.br,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br
1751894134,2025-07-07 10:15:34,2,200.131.0.233,ptp-couve-brigadeiro.pop-mg.rnp.br,200.143.253.161,cmg1-lanmg.bkb.rnp.br
1751894134,2025-07-07 10:15:34,3,200.143.253.161,cmg1-lanmg.bkb.rnp.br,170.79.213.135,cmg2-cmg1.bkb.rnp.br
1751894134,2025-07-07 10:15:34,4,170.79.213.135,cmg2-cmg1.bkb.rnp.br,200.143.252.74,csp2-cmg2-infobarra.bkb.rnp.br
1751894134,2025-07-07 10:15:34,5,200.143.252.74,csp2-cmg2-infobarra.bkb.rnp.br,170.79.213.230,cpr2-csp2-100g-brdigital.bkb.rnp.br
1751894134,2025-07-07 10:15:34,6,170.79.213.230,cpr2-csp2-100g-brdigital.bkb.rnp.br,170.79.213.204,csc1-cpr2-brdigital.bkb.rnp.br
1751894134,2025-07-07 10:15:34,7,170.79.213.204,csc1-cpr2-brdigital.bkb.rnp.br,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br
1751894134,2025-07-07 10:15:34,8,170.79.212.253,crs2-csc1-eltsul.bkb.rnp.br,No-IP,No-Hostname
