Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1752167596,2025-07-10 14:13:16,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752167596,2025-07-10 14:13:16,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1752167596,2025-07-10 14:13:16,3,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1752167596,2025-07-10 14:13:16,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1752167596,2025-07-10 14:13:16,5,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1752167596,2025-07-10 14:13:16,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1752167596,2025-07-10 14:13:16,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1752167596,2025-07-10 14:13:16,8,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1752167596,2025-07-10 14:13:16,9,200.129.75.6,No-Hostname,No-IP,No-Hostname
1752167596,2025-07-10 14:13:16,10,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1752168332,2025-07-10 14:25:32,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752168332,2025-07-10 14:25:32,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1752168332,2025-07-10 14:25:32,3,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1752168332,2025-07-10 14:25:32,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1752168332,2025-07-10 14:25:32,5,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
1752168332,2025-07-10 14:25:32,6,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br
1752168332,2025-07-10 14:25:32,7,170.79.213.111,cpb1-cba1-chesf.bkb.rnp.br,170.79.214.145,bpb2-cpb2.bkb.rnp.br
1752168332,2025-07-10 14:25:32,8,170.79.214.145,bpb2-cpb2.bkb.rnp.br,200.129.75.6,No-Hostname
1752168332,2025-07-10 14:25:32,9,200.129.75.6,No-Hostname,No-IP,No-Hostname
1752168332,2025-07-10 14:25:32,10,No-IP,No-Hostname,200.129.75.228,monipe-pb-atraso.rnp.br
1752168920,2025-07-10 14:35:20,1,200.129.207.133,gateway,200.143.255.241,ms-lanms.bkb.rnp.br
1752168920,2025-07-10 14:35:20,2,200.143.255.241,ms-lanms.bkb.rnp.br,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br
1752168920,2025-07-10 14:35:20,3,170.79.213.183,cmt1-mxms-telebras.bkb.rnp.br,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br
1752168920,2025-07-10 14:35:20,4,170.79.213.184,cdf1-cmt1-telebras.bkb.rnp.br,170.79.214.127,cdf2-cdf1.bkb.rnp.br
1752168920,2025-07-10 14:35:20,5,170.79.214.127,cdf2-cdf1.bkb.rnp.br,170.79.213.104,cba1-cdf2-taesa.bkb.rnp.br
